site,site_name,filter_no,pre_dry_mass_g,pan_mass_g,dry_mass_g,burn_dry_mass_g
2018_L_02,Natzuhini,2,0.12670,1.29098,1.49999,1.46804
2018_L_02,Natzuhini,4,0.12684,1.27177,1.4654,1.442
2018_L_02,Natzuhini,6,0.12622,1.27939,1.44144,1.42954
2018_L_03,Sukkwan,14,0.12403,1.2835,1.43896,1.42593
2018_L_03,Sukkwan,16,0.12424,1.27859,1.46932,1.44576
2018_L_03,Sukkwan,18,0.12576,1.28929,1.44336,1.42815
2018_L_01,North Pass,8,0.12825,1.29921,1.4655,1.44789
2018_L_01,North Pass,10,0.12369,1.29075,1.47781,1.45825
2018_L_01,North Pass,12,0.12693,1.28639,1.45432,1.44368
2018_H_01,Kaguk Cove,28,0.12648,1.28639,1.47364,1.4457
2018_H_01,Kaguk Cove,30,0.12640,1.28692,1.46636,1.44145
2018_H_01,Kaguk Cove,32,0.12683,1.28726,1.49468,1.45399
2018_H_02,Gaktu Cove,22,0.12557,1.28116,1.50121,1.45811
2018_H_02,Gaktu Cove,24,0.12410,1.28652,1.51433,1.46609
2018_H_02,Gaktu Cove,26,0.12598,1.28389,1.50089,1.45652
2018_H_03,Nossuk Bay,20,0.12466,1.29587,1.45025,1.43365
