otter_region,site,latitude,longitude,core_letter,layer_number,layer_thickness,layer_volume,sample_volume,pan_number,pan_weight,pan_sed_ww_pre_60C,pan_sed_dw_post_60C,dry_bulk_density,pan_sed_dw_pre_450C,pan_sed_dw_post450C,crucible_weight,crucible_sed_dw_pre_950C,crucible_sed_dw_post_950C
Low,L06,55.19112,-133.105314,A,1,1.1,21.5875,21.5875,1,1.29409,25.23823,17.17096,0.73547,17.17096,11.29137,,,
Low,L06,55.19112,-133.105314,A,2,1.1,21.5875,21.5875,2,1.29186,39.12236,28.33694,1.25281,28.33694,11.07443,27.32424,37.33955,36.8753
Low,L06,55.19112,-133.105314,A,3,1.3,25.5125,25.5125,3,1.28577,46.55486,33.83475,1.27581,33.83475,11.80249,,,
Low,L06,55.19112,-133.105314,A,4,1.1,21.5875,21.5875,4,1.27816,36.85464,27.09433,1.19589,27.09433,11.77326,,,
Low,L06,55.19112,-133.105314,A,5,1.4,27.475,27.475,5,1.29332,44.44818,32.33891,1.12996,32.33891,11.3854,,,
Low,L06,55.19112,-133.105314,A,6,1.1,21.5875,21.5875,6,1.27617,36.4029,26.86238,1.18523,26.86238,11.43155,,,
Low,L06,55.19112,-133.105314,A,7,1.1,21.5875,21.5875,7,1.28285,40.1781,29.31035,1.29832,29.31035,11.09889,27.18162,37.31168,36.73588
Low,L06,55.19112,-133.105314,A,8,1.2,23.55,23.55,8,1.2873,34.7275,23.91346,0.96077,23.91346,11.65552,,,
Low,L06,55.19112,-133.105314,A,9,1.1,21.5875,21.5875,9,1.29924,39.85357,26.74388,1.17867,26.74388,10.81595,,,
Low,L06,55.19112,-133.105314,A,10,1,19.625,19.625,10,1.28011,37.7601,25.28452,1.22315,25.28452,11.29277,,,
Low,L06,55.19112,-133.105314,A,11,1.1,21.5875,21.5875,11,1.28492,35.10722,24.45962,1.07352,24.45962,10.96677,,,
Low,L06,55.19112,-133.105314,A,12,1.1,21.5875,21.5875,12,1.2796,36.41581,24.0124,1.05305,24.0124,11.07397,27.03366,37.37755,36.47293
Low,L06,55.19112,-133.105314,A,13,1.1,21.5875,21.5875,13,1.29248,37.06989,25.30367,1.11227,25.30367,11.02946,,,
Low,L06,55.19112,-133.105314,A,14,1.1,21.5875,21.5875,14,1.28497,40.15793,29.06922,1.28705,29.06922,11.08434,,,
Low,L06,55.19112,-133.105314,A,15,1,19.625,19.625,15,1.30373,36.17991,27.3691,1.32817,27.3691,11.15469,,,
Low,L06,55.19112,-133.105314,A,16,1.3,25.5125,25.5125,16,1.28411,45.3992,34.14238,1.28793,34.14238,11.18173,,,
Low,L06,55.19112,-133.105314,A,17,1,19.625,19.625,17,1.27044,36.99406,28.6972,1.39754,28.6972,11.57455,28.20961,38.73111,38.21217
Low,L06,55.19112,-133.105314,A,18,1.1,21.5875,21.5875,18,1.27591,41.85765,32.30245,1.43725,32.30245,11.94743,,,
Low,L06,55.19112,-133.105314,A,19,1.1,21.5875,21.5875,19,1.27407,42.26951,31.5261,1.40137,31.5261,11.18118,,,
Low,L06,55.19112,-133.105314,A,20,1.1,21.5875,21.5875,20,1.27525,34.22254,26.12619,1.15117,26.12619,11.0349,,,
Low,L06,55.19112,-133.105314,A,21,1,19.625,19.625,21,1.28873,44.56082,34.22778,1.67842,34.22778,10.97885,,,
Low,L06,55.19112,-133.105314,A,22,1.2,23.55,23.55,22,1.27349,44.7545,35.86514,1.46886,35.86514,11.02654,27.1399,37.15038,36.66595
Low,L06,55.19112,-133.105314,A,23,1.2,23.55,23.55,23,1.26936,49.19373,39.73353,1.6333,39.73353,11.05383,,,
Low,L06,55.19112,-133.105314,A,24,1,19.625,19.625,24,1.26402,38.07285,30.08491,1.46858,30.08491,11.08657,,,
Low,L06,55.19112,-133.105314,A,25,1.1,21.5875,21.5875,25,1.27216,46.73594,37.41476,1.67424,37.41476,11.27969,,,
Low,L06,55.19112,-133.105314,A,26,1.3,25.5125,25.5125,26,1.3002,44.06041,32.42995,1.22018,32.42995,11.08425,,,
Low,L06,55.19112,-133.105314,A,27,1.1,21.5875,21.5875,27,1.26125,42.08234,32.28478,1.43711,32.28478,11.38028,24.97717,35.32026,34.87266
Low,L06,55.19112,-133.105314,A,28,1.2,23.55,23.55,28,1.27401,45.51101,35.62807,1.45877,35.62807,11.1566,,,
Low,L06,55.19112,-133.105314,A,29,1.1,21.5875,21.5875,29,1.30522,41.45744,31.89644,1.41708,31.89644,11.55447,,,
Low,L06,55.19112,-133.105314,A,30,1.1,21.5875,21.5875,30,1.27443,42.65996,33.73925,1.50387,33.73925,11.26737,,,
Mid,M08,55.282137,-133.334028,A,1,1.1,21.5875,21.5875,1,1.2987,35.53727,21.28956,0.92604,21.28956,19.02408,,,
Mid,M08,55.282137,-133.334028,A,2,1.1,21.5875,21.5875,2,1.28076,33.16456,19.75047,0.85557,19.75047,17.86721,28.01184,46.80922,45.15714
Mid,M08,55.282137,-133.334028,A,3,1,19.625,19.625,3,1.29038,26.99028,14.24553,0.66014,14.24553,12.57679,,,
Mid,M08,55.282137,-133.334028,A,4,1,19.625,19.625,4,1.2831,27.19499,14.15712,0.656,14.15712,12.2234,,,
Mid,M08,55.282137,-133.334028,A,5,0.9,17.6625,17.6625,5,1.26625,26.34577,13.4209,0.68816,13.4209,11.54752,,,
Mid,M08,55.282137,-133.334028,A,6,0.9,17.6625,17.6625,6,1.27614,26.7762,14.22653,0.73321,14.22653,12.20966,,,
Mid,M08,55.282137,-133.334028,A,7,0.9,17.6625,17.6625,7,1.28676,30.00836,18.45379,0.97195,18.45379,16.18262,25.85583,42.90735,36.24903
Mid,M08,55.282137,-133.334028,A,8,0.9,17.6625,17.6625,8,1.29676,28.7506,16.70819,0.87255,16.70819,14.5328,,,
Mid,M08,55.282137,-133.334028,A,9,0.9,17.6625,17.6625,9,1.28858,28.57663,16.16622,0.84233,16.16622,14.17849,,,
Mid,M08,55.282137,-133.334028,A,10,0.8,15.7,15.7,10,1.28758,27.95512,15.99326,0.93667,15.99326,13.82888,,,
Mid,M08,55.282137,-133.334028,A,11,0.8,15.7,15.7,11,1.29405,31.36377,22.16881,1.3296,22.16881,20.3202,,,
Mid,M08,55.282137,-133.334028,A,12,0.9,17.6625,17.6625,12,1.28501,30.98365,22.55499,1.20425,22.55499,20.74073,29.57194,50.9931,47.65769
Mid,M08,55.282137,-133.334028,A,13,1,19.625,19.625,13,1.28866,36.45768,25.2529,1.22111,25.2529,23.13576,,,
Mid,M08,55.282137,-133.334028,A,14,1,19.625,19.625,14,1.28271,32.15986,21.93838,1.05252,21.93838,19.79296,,,
Mid,M08,55.282137,-133.334028,A,15,0.9,17.6625,17.6625,15,1.30049,32.1355,23.09045,1.23368,23.09045,21.00101,,,
Mid,M08,55.282137,-133.334028,A,16,0.9,17.6625,17.6625,16,1.28147,32.13356,22.79587,1.21808,22.79587,20.28688,,,
Mid,M08,55.282137,-133.334028,A,17,1,19.625,19.625,17,1.28899,36.21708,26.88213,1.30411,26.88213,24.52244,24.59652,49.98712,42.75714
Mid,M08,55.282137,-133.334028,A,18,0.9,17.6625,17.6625,18,1.29998,33.18968,24.28878,1.30156,24.28878,21.76751,,,
Mid,M08,55.282137,-133.334028,A,19,0.9,17.6625,17.6625,19,1.28554,35.22683,26.46217,1.42543,26.46217,23.93383,,,
