site,place_name,date,latitude,longitude,start_time,end_time,tide_height_m,tide_time,weather,freshwater,sediment_description,general_description,dissolved_02_mg/l_surface,dissolved_02_percent_surface,specific_conductivity_surface,salinity_ppt_surface,temperature_C_surface,dissolved_02_mg/l_transect,dissolved_02_percent_transect,specific_conductivity_transect,salinity_ppt_transect,temperature_C_transect,light_intensity_umol/m2/sec_air,light_intensity_umol/m2/sec_surface,light_intensity_umol/m2/sec_transect,sediment_core_A_internal_cm,sediment_core_A_external_cm,sediment_core_B_internal_cm,sediment_core_B_external_cm,Notes
2017_H_01,Salt Lake Bay,29/4/17,55.672389,-133.377184,900,1130,-0.71,938,"cloudy, light wind, cool",stream near one end of transect,fine sand/mud. Lots of clam shells,"Gradually sloping back of bay. Eelgrass extensive, pits throughout",12.8,NA,NA,6,8,13.3,NA,NA,28,8,591,341,219,27,10,29,10,internal and external compation number were not given just the compaction itslef. Values reported here are just to make math more to reflect what is written on the data sheet
2017_H_02,Nossuk Bay,29/5/17,55.7073,-133.342,1030,1300,-0.53,1048,high overcast calm,one stream,soft mud with shells intermixed. Changes to sand/mud higher. Cobble outcrops around edge of bay,Gently sloping beach with lots of eelgrass extending to 0 MLLW,10.58,115.6,47004,30.4,10.9,10.72,116.6,47741,30.9,10.3,438.4,235.5,145.4,10.2,3.6,11.2,2.8,
2017_H_03,Chusini Cove,25/6/17,55.80692,-133.171,820,1120,-1.10,830,"mostly cloudy, occasional sprinkle",1 small stream bed mid bay,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,Very gradual large eelgrass bed. Back of bay with rocky outcrops around with eelgrass inbetween,8.68,98.8,4549.4,29.4,12.9,8.95,101.4,45527,29.5,12.8,298.7,249.5,138.8,47.6,16,52.8,21,
2017_H_04,Kaguk Cove,24/6/17,55.73361,-133.29,745,1010,-1.03,743,"mostly cloudy, intermittent rain",2 small streams,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,Back of narrow inlet. Bedrock at entrance. Part of bay has fucus patch in mid intertidal,9.55,104.5,44498,28.9,11.7,10.03,108.2,47365,30.6,11,786.2,452.8,245.5,38.2,19.4,41,33,
2017_H_05,Naukati Bay,25/7/17,55.862405,-133.190722,730,1000,-0.78,855,"high overcast, calm",no obvious sources,"Transect muddy, quickly changes to sand with gravel then to gravel with cobble high",Moderatly sloped beach along straight section of beach. To right of transect near house more gradual slopping and connect to island the transect is on. Some human debris on beach,11.62,135.3,44808,29,14.1,10.7,124.4,45655,29.7,13.7,363.4,218.6,71.1,45.4,37.2,51.8,49,
2017_H_06,Guktu Bay,24/7/17,55.739816,-133.312022,720,930,-0.69,855,"high overcast, calm",one small stream,muddy. Mud switches to pepple and sand and gravel then gravel high,Gradually slopping beach back of bay. Eeglrass bed farly narrow. Bounded low by steep drop. Sea otter pits very abundant. Lots of clam shells. One rocky outcrop near center of back of bay. Opposite shore mostly cobble.,8.8,99,48220,31.3,12,8.5,92,48250,31.4,11.8,560.4,380.1,215.2,24.4,7.2,21.8,9,
2017_H_07,Blanquizal Point,20/8/17,55.62082,-133.38664,615,830,-0.55,620,"high overcast, calm",no obvious souces,muddy sand low at transect changing to gravel high. Cobble at edges of transect,Relativley small isolated eelgrass bed. Moderatly sloped. Kelp on edges and in deeper subtidal. Eelgrass wasting samples also collected,8.24,92.6,47300,30.7,12.9,8.22,93.1,47185,30.6,12.9,131.22,98.18,42.58,37.2,16.4,33.6,12.4,
2017_L_01,Soda Bay,30/4/17,55.26366,-132.995,1025,1300,-0.48,1048,"partly cloudy, light wind",no obvious souces,fine sand/mud changing to gravel and cobble high,small embayment with eelgrass throuhgout. Moderatly sloped on edges and gradual in back of bay,12.7,,,15,10,,10.9,,30,10,785,605,460,20,10,20,10,internal and external compation number were not given just the compaction itslef. Values reported here are just to make math more to reflect what is written on the data sheet
2017_L_02,Goats mouth inlet,27/5/17,55.192784,-132.900113,730,1100,-0.91,854,"clear, calm, warm",two moderate streams near transect,semi-consolidated sand/mud some shells. One end of transect had cobble on top,Gradually sloping beach for all of inlet,9.88,109.1,47115,30.6,11.3,10.14,112.3,47300,30.7,11.1,2100,1647.3,1166.5,10.1,2,13.5,5,2 crab pot strings were out of water at ~1.5
2017_L_03,North Pass,26/5/17,55.229358,-132.924121,655,1000,-0.88,755,"partly cloudy, calm",moderate stream off one end of transect,semi-consolidated mud. Lots of clam shells on surface and just below. Turns to sand/mud then cobble high. Two rocky outcrops high,"Fairly linear beach, gradual slope. Lots of clam shell litter ",9.74,104.9,46392,30,10.3,9.87,105,46422,30,9.9,2181,1680.4,1082.9,19,7,18,5.1,
