site,place_name,date,YYYYMMDD,latitude,longitude,species_common,species_scientific,sp_code,fork_length_mm,stomach_ID,notes
,North Fish Egg Experiment,6/27/2018,20180627,55.497174,-133.170108,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,153,LEAR_1,
,North Fish Egg Experiment,6/27/2018,20180627,55.497174,-133.170108,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,210,LEAR_2,
,North Fish Egg Experiment,6/27/2018,20180627,55.497174,-133.170108,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,144,LEAR_3,
,North Fish Egg Experiment,6/27/2018,20180627,55.497174,-133.170108,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,154,LEAR_4,
,North Fish Egg Experiment,6/27/2018,20180627,55.497174,-133.170108,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,128,LEAR_5,
,North Fish Egg Experiment,6/27/2018,20180627,55.497174,-133.170108,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,105,LEAR_6,
,Nossuk Bay Experiment,6/30/2018,20180630,55.721733,-133.327055,Shiner Perch,Cymatogaster aggregata,PERCHSH,135,CYAG_1,
,Nossuk Bay Experiment,7/1/2018,20180701,55.721733,-133.327055,Shiner Perch,Cymatogaster aggregata,PERCHSH,128,CYAG_2,
,Nossuk Bay Experiment,7/1/2018,20180701,55.721733,-133.327055,Shiner Perch,Cymatogaster aggregata,PERCHSH,122,CYAG_3,
,Nossuk Bay Experiment,7/1/2018,20180701,55.721733,-133.327055,Shiner Perch,Cymatogaster aggregata,PERCHSH,115,CYAG_4,
,,7/22/2018,20180722,,,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,,LEAR_7,
,,7/22/2018,20180722,,,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,,LEAR_8,
,,7/22/2018,20180722,,,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,,LEAR_9,
,,7/22/2018,20180722,,,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,,LEAR_10,
2018_L_01,North Pass,7/26/2018,20180726,55.229743,-132.924047,Shiner Perch,Cymatogaster aggregata,PERCHSH,118,CYAG_5,B_239
2018_L_01,North Pass,7/26/2018,20180726,55.229743,-132.924047,Shiner Perch,Cymatogaster aggregata,PERCHSH,116,CYAG_6,B_240
2018_L_01,North Pass,7/26/2018,20180726,55.229743,-132.924047,Shiner Perch,Cymatogaster aggregata,PERCHSH,118,CYAG_7,B_241
2018_L_01,North Pass,7/26/2018,20180726,55.229743,-132.924047,Shiner Perch,Cymatogaster aggregata,PERCHSH,129,CYAG_8,
2018_L_01,North Pass,7/26/2018,20180726,55.229743,-132.924047,Shiner Perch,Cymatogaster aggregata,PERCHSH,132,CYAG_9,
2018_L_01,North Pass,7/26/2018,20180726,55.229743,-132.924047,Shiner Perch,Cymatogaster aggregata,PERCHSH,124,CYAG_10,
2018_L_01,North Pass,7/26/2018,20180726,55.229743,-132.924047,Shiner Perch,Cymatogaster aggregata,PERCHSH,117,CYAG_11,
2018_L_01,North Pass,7/26/2018,20180726,55.229743,-132.924047,Shiner Perch,Cymatogaster aggregata,PERCHSH,115,CYAG_12,
2018_L_01,North Pass,7/26/2018,20180726,55.229743,-132.924047,Shiner Perch,Cymatogaster aggregata,PERCHSH,119,CYAG_13,
2018_L_01,North Pass,7/26/2018,20180726,55.229743,-132.924047,Shiner Perch,Cymatogaster aggregata,PERCHSH,118,CYAG_14,
2018_L_01,North Pass,7/26/2018,20180726,55.229743,-132.924047,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,132,LEAR_11,B_246
2018_L_01,North Pass,7/26/2018,20180726,55.229743,-132.924047,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,116,LEAR_12,B_247
2018_L_01,North Pass,7/26/2018,20180726,55.229743,-132.924047,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,108,LEAR_13,B_248
2018_L_02,Natzuhini,7/27/2018,20180727,55.249258,-132.881141,Shiner Perch,Cymatogaster aggregata,PERCHSH,114,CYAG_15,
2018_L_02,Natzuhini,7/27/2018,20180727,55.249258,-132.881141,Shiner Perch,Cymatogaster aggregata,PERCHSH,112,CYAG_16,
2018_L_02,Natzuhini,7/27/2018,20180727,55.249258,-132.881141,Shiner Perch,Cymatogaster aggregata,PERCHSH,124,CYAG_17,
2018_L_02,Natzuhini,7/27/2018,20180727,55.249258,-132.881141,Shiner Perch,Cymatogaster aggregata,PERCHSH,110,CYAG_18,
2018_L_02,Natzuhini,7/27/2018,20180727,55.249258,-132.881141,Shiner Perch,Cymatogaster aggregata,PERCHSH,124,CYAG_19,
2018_L_02,Natzuhini,7/27/2018,20180727,55.249258,-132.881141,Shiner Perch,Cymatogaster aggregata,PERCHSH,120,CYAG_20,
