"site","longitude","latitude","date_grass_MM.DD.YY","date_otts1_MM.DD.YY","date_otts2_MM.DD.YY","site_polygon_area_km2","so_duration","pop_dens_surv_km2","dense_otter_avg","n_pits","prop_otter_shells","sea_otter_index"
"Big Clam Bay",-132.973932,55.227691,"07/13/18","07/18/18","07/26/18",6.485,7,0.154,0.0771010023130301,4,0.179487179487179,-0.705530614874844
"Big Tree Bay",-133.215512,55.585855,"07/11/18","07/19/18","08/01/18",13.8025,14,1.341,5.83227676145626,14,0.194174757281553,0.242593385443539
"Blanquizal Bay",-133.387067,55.621174,"06/18/18","06/25/18","08/05/18",14.5775,14,2.877,4.18453095523924,47,0.461538461538462,0.571289933602445
"Chusini",-133.167403,55.813558,"06/13/18","06/07/18","07/27/18",12.57,14,2.877,5.56881463802705,133,0.330357142857143,0.666948166853855
"Dunbar Inlet",-132.826,55.0848,"08/11/18","07/24/18","08/10/18",9.44,7,0.154,1.80084745762712,23,0.1,-0.424850401328101
"Garcia Cove",-133.430032,55.552181,"07/12/18","05/23/18","07/25/18",10.0575,14,2.877,4.22570221227939,278,0.608465608465608,0.623012511977935
"Goat Mouth Inlet",-132.9,55.19286,"06/14/18","06/12/18","07/26/18",4.4925,7,0.154,0,52,0.676470588235294,-0.672288996914741
"Guktu Cove",-133.311306,55.740264,"05/31/18","06/06/18","07/31/18",8.33,14,2.877,10.6842737094838,94,0.282178217821782,0.79411906734368
"Hauti Island",-133.156399,55.865721,"05/29/18","06/06/18","07/31/18",11.3525,14,2.877,2.07002862805549,134,0.482758620689655,0.480239731264089
"Kaguk Cove",-133.29047,55.733423,"05/30/18","06/06/18","07/31/18",6.745,14,2.877,10.6745737583395,27,0.474576271186441,0.744379317550578
"Kinani",-133.250006,55.889904,"07/14/18","06/07/18","08/05/18",10.41,14,2.877,8.74159462055716,67,0.197183098591549,0.745479890470296
"Mushroom Island",-132.846741,55.214375,"06/16/18","06/12/18","07/26/18",17.635,7,0.154,0,34,0.684210526315789,-0.686012521120987
"N Fish Egg Island",-133.170812,55.496472,"06/28/18","07/09/18","08/08/18",15.49,14,1.341,0.12911555842479,12,0.315789473684211,-0.192913932486223
"Natzuhini Bay 1",-132.879147,55.247539,"06/15/18","06/12/18","07/26/18",13.15,7,0.154,0,46,0.586206896551724,-0.672159381635851
"Natzuhini Bay 2",-132.837131,55.241887,"06/16/18","06/12/18","07/26/18",15.03,7,0.154,0,50,0.888888888888889,-0.682166671621884
"North Pass",-132.910143,55.228252,"06/15/18","06/12/18","07/26/18",8.1725,7,0.154,0,41,0.769230769230769,-0.683694302519121
"Nossuk Bay 1",-133.348326,55.709094,"05/19/18","05/05/18","08/05/18",6.4025,14,2.877,3.43615775087856,98,0.53030303030303,0.554617123362064
"Nossuk Bay 2",-133.325372,55.722637,"06/30/18","05/05/18","08/05/18",7.435,14,2.877,3.16072629455279,80,0.112781954887218,0.556113951574999
"Port Caldera",-133.161232,55.36209,"07/10/18","07/09/18","07/26/18",5.83,7,1.341,0,4,0.101694915254237,-0.431554462260424
"Port Refugio",-133.334028,55.282137,"08/10/18","07/24/18","08/14/18",5.025,7,0.154,0,4,0,-0.711067809953929
"S Fish Egg Island",-133.174447,55.485687,"06/25/18","07/09/18","08/08/18",24.2725,14,1.341,0.82397775260068,95,0.26510067114094,-0.0126302400597147
"S Wadleigh Island",-133.147345,55.528424,"06/12/18","06/11/18","08/03/18",20.6,14,1.341,0.364077669902913,28,0.485294117647059,-0.131283855751764
"Salt Lake Bay",-133.377377,55.684275,"05/18/18","05/07/18","07/12/18",12.49,14,2.877,6.6453162530024,165,0.5,0.700902515580268
"Shinaku Inlet",-133.160431,55.599083,"06/17/18","07/15/18","08/01/18",11.335,14,1.341,6.61667401852669,35,0.317460317460317,0.289321223180509
"Soda Bay",-132.994318,55.264232,"06/27/18","07/18/18","07/29/18",9.52,7,0.154,3.51890756302521,24,0.151785714285714,-0.314234711183673
"Sukkwan Narrows",-132.842514,55.188785,"06/14/18","06/12/18","07/26/18",13.8775,7,0.154,0.0360295442262655,69,0.535714285714286,-0.648628916493
