"site","longitude","latitude","otter_region","date_otts1_MM.DD.YY","date_otts2_MM.DD.YY","site_water_area","so_duration_1","so_pop_1","so_dens_avg","pits_all","shell_n_otter","shell_prop_otter","so_index_pc1","so_index_pc2"
"Big Clam Bay",-132.973932,55.227691,"low","07/18/18","07/26/18",6.485,7,0.154,0.0771010023130301,4,7,0.179487179487179,-0.712299954461842,-0.408107901454663
"Big Tree Bay",-133.215512,55.585855,"mid","07/19/18","08/01/18",13.8025,14,1.341,5.83227676145626,14,20,0.194174757281553,0.261954228394655,-0.24514656253548
"Blanquizal Bay",-133.387067,55.621174,"high","06/25/18","08/05/18",14.5775,14,2.877,4.18453095523924,47,36,0.461538461538462,0.572682864065606,0.0747783706594926
"Chusini",-133.167403,55.813558,"high","06/07/18","07/27/18",12.57,14,2.877,5.56881463802705,133,37,0.330357142857143,0.673206295462905,0.0418115063927343
"Dunbar Inlet",-132.826,55.0848,"low","07/24/18","08/10/18",9.44,7,0.154,1.80084745762712,23,14,0.1,-0.409563656876582,-0.3161740392465
"Garcia Cove",-133.430032,55.552181,"high","05/23/18","07/25/18",10.0575,14,1.341,4.22570221227939,278,115,0.608465608465608,0.287886790445084,0.503472070839356
"Goat Mouth Inlet",-132.9,55.19286,"low","06/12/18","07/26/18",4.4925,7,0.154,0,52,23,0.676470588235294,-0.675568784705407,0.291342576278167
"Guktu Cove",-133.311306,55.740264,"high","06/06/18","07/31/18",8.33,14,2.877,10.6842737094838,94,57,0.282178217821782,0.816721485659168,0.0135261687792888
"Hauti Island",-133.156399,55.865721,"high","06/06/18","07/31/18",11.3525,14,2.877,2.07002862805549,134,42,0.482758620689655,0.477821583432828,0.190365265924252
"Kaguk Cove",-133.29047,55.733423,"high","06/06/18","07/31/18",6.745,14,2.877,10.6745737583395,27,28,0.474576271186441,0.74816789278182,0.00830525100043336
"Kinani",-133.250006,55.889904,"high","06/07/18","08/05/18",10.41,14,2.877,8.74159462055716,67,14,0.197183098591549,0.740940656281399,-0.236732700147614
"Mushroom Island",-132.846741,55.214375,"low","06/12/18","07/26/18",17.635,7,0.154,0,34,52,0.684210526315789,-0.671670411049787,0.353633037175616
"N Fish Egg Island",-133.170812,55.496472,"mid","07/09/18","08/08/18",15.49,14,1.341,0.12911555842479,12,6,0.315789473684211,-0.216837949927653,-0.242452718867144
"Natzuhini Bay 1",-132.879147,55.247539,"low","06/12/18","07/26/18",13.15,7,0.154,0,46,34,0.586206896551724,-0.664686730948934,0.260523077321255
"Natzuhini Bay 2",-132.837131,55.241887,"low","06/12/18","07/26/18",15.03,7,0.154,0,50,48,0.888888888888889,-0.675178728528824,0.504443529997597
"North Pass",-132.910143,55.228252,"low","06/12/18","07/26/18",8.1725,7,0.154,0,41,20,0.769230769230769,-0.691771711990241,0.321489159503692
"Nossuk Bay 1",-133.348326,55.709094,"high","05/05/18","08/05/18",6.4025,14,2.877,3.43615775087856,98,35,0.53030303030303,0.550759383871054,0.179650631956683
"Nossuk Bay 2",-133.325372,55.722637,"high","05/05/18","08/05/18",7.435,14,2.877,3.16072629455279,80,15,0.112781954887218,0.548428778664495,-0.290051370452535
"Port Caldera",-133.161232,55.36209,"low","07/09/18","07/26/18",5.83,7,1.341,0,4,6,0.101694915254237,-0.451939392521246,-0.549509679515164
"Port Refugio",-133.334028,55.282137,"low","07/24/18","08/14/18",5.025,7,1.341,0,4,0,0,-0.482654715541831,-0.875549495306912
"S Fish Egg Island",-133.174447,55.485687,"mid","07/09/18","08/08/18",24.2725,14,1.341,0.82397775260068,95,79,0.26510067114094,0.0182120203113076,0.121556093076684
"S Wadleigh Island",-133.147345,55.528424,"mid","06/11/18","08/03/18",20.6,14,1.341,0.364077669902913,28,33,0.485294117647059,-0.126218695734627,0.127635311252759
"Salt Lake Bay",-133.377377,55.684275,"high","05/07/18","07/12/18",12.49,14,2.877,6.6453162530024,165,41,0.5,0.705035682880728,0.20462130447745
"Shinaku Inlet",-133.160431,55.599083,"mid","07/15/18","08/01/18",11.335,14,1.341,6.61667401852669,35,20,0.317460317460317,0.303777523939479,-0.0693984948172816
"Soda Bay",-132.994318,55.264232,"low","07/18/18","07/29/18",9.52,7,0.154,3.51890756302521,24,17,0.151785714285714,-0.292931930041323,-0.246247166441063
"Sukkwan Narrows",-132.842514,55.188785,"low","06/12/18","07/26/18",13.8775,7,0.154,0.0360295442262655,69,45,0.535714285714286,-0.634272523862235,0.282216774148895
