"site","longitude","latitude","so_region","site_water_area_km2","so_duration_1","so_duration_2","so_tinker_km2_1","so_tinker_km2_2","so_n_1","so_n_2","so_n_avg","so_dens_km2_1","so_dens_km2_2","so_dens_avg","pits_all_outside","pits_all","shells_n_otter","shells_prop_otter","so_index_pc1","so_index_pc2"
"Big Clam Bay",-132.973932,55.227691,"low",6.485,7,0,0.163,0.154,1,0,0.5,0.15420200462606,0,0.0771010023130301,4,4,7,0.179487179487179,-2.95719633807074,-0.782026534308935
"Big Tree Bay",-133.215512,55.585855,"mid",13.8025,14,14,1.443,1.341,70,91,80.5,5.07154500996196,6.59300851295055,5.83227676145626,10,14,20,0.194174757281553,0.131387322150429,-1.34881955522606
"Blanquizal Bay",-133.387067,55.621174,"high",14.5775,14,14,3.663,2.877,52,70,61,3.56714114217115,4.80192076830732,4.18453095523924,42,47,36,0.461538461538462,1.54703020476143,-0.383267129543132
"Chusini",-133.167403,55.813558,"high",12.57,14,14,3.663,2.877,93,47,70,7.39856801909308,3.73906125696102,5.56881463802705,74,133,37,0.330357142857143,2.04325234626222,-0.505680581816941
"Dunbar Inlet",-132.826,55.0848,"low",9.44,7,7,0.163,0.154,6,28,17,0.635593220338983,2.96610169491525,1.80084745762712,18,23,14,0.1,-1.61747684194704,-0.598946431567867
"Garcia Cove",-133.430032,55.552181,"high",10.0575,14,14,1.443,1.341,47,38,42.5,4.67312950534427,3.77827491921452,4.22570221227939,236,278,115,0.608465608465608,2.20141384794134,1.57039271031002
"Goat Mouth Inlet",-132.9,55.19286,"low",4.4925,7,0,0.163,0.154,0,0,0,0,0,0,37,52,23,0.676470588235294,-1.23854998162603,1.81074967880808
"Guktu Cove",-133.311306,55.740264,"high",8.33,14,14,3.663,2.877,47,131,89,5.6422569027611,15.7262905162065,10.6842737094838,40,94,57,0.282178217821782,2.30990019544447,-0.732154421647103
"Hauti Island",-133.156399,55.865721,"high",11.3525,14,14,3.663,2.877,19,28,23.5,1.67364016736402,2.46641708874697,2.07002862805549,131,134,42,0.482758620689655,1.8168028781405,0.22494603173442
"Kaguk Cove",-133.29047,55.733423,"high",6.745,14,14,3.663,2.877,36,108,72,5.33728687916976,16.0118606375093,10.6745737583395,25,27,28,0.474576271186441,1.61395468425859,-0.90063038961704
"Kinani",-133.250006,55.889904,"high",10.41,14,14,3.663,2.877,91,91,91,8.74159462055716,8.74159462055716,8.74159462055716,67,67,14,0.197183098591549,1.48099839364549,-1.69513353634185
"Mushroom Island",-132.846741,55.214375,"low",17.635,7,0,0.163,0.154,0,0,0,0,0,0,25,34,52,0.684210526315789,-1.0998789663945,2.09655580734613
"N Fish Egg Island",-133.170812,55.496472,"mid",15.49,14,14,1.443,1.341,1,3,2,0.0645577792123951,0.193673337637185,0.12911555842479,6,12,6,0.315789473684211,-1.15954816005946,-0.957821910237643
"Natzuhini Bay 1",-132.879147,55.247539,"low",13.15,7,0,0.163,0.154,0,0,0,0,0,0,28,46,34,0.586206896551724,-1.18557784702568,1.75116706163388
"Natzuhini Bay 2",-132.837131,55.241887,"low",15.03,7,0,0.163,0.154,0,0,0,0,0,0,34,50,48,0.888888888888889,-0.873507446279221,2.60368143162697
"North Pass",-132.910143,55.228252,"low",8.1725,7,0,0.163,0.154,0,0,0,0,0,0,18,41,20,0.769230769230769,-1.3494266457553,1.8812260905322
"Nossuk Bay 1",-133.348326,55.709094,"high",6.4025,14,14,3.663,2.877,11,33,22,1.71807887543928,5.15423662631784,3.43615775087856,97,98,35,0.53030303030303,1.8140988256918,0.0424923779081752
"Nossuk Bay 2",-133.325372,55.722637,"high",7.435,14,14,3.663,2.877,13,34,23.5,1.74848688634835,4.57296570275723,3.16072629455279,78,80,15,0.112781954887218,1.11268637181012,-1.603368335959
"Port Caldera",-133.161232,55.36209,"low",5.83,7,7,1.443,1.341,0,0,0,0,0,0,1,4,6,0.101694915254237,-2.72652895438122,-1.37818275845432
"Port Refugio",-133.334028,55.282137,"low",5.025,7,7,1.443,1.341,0,0,0,0,0,0,4,4,0,0,-3.58145698081523,-2.70373685132283
"S Fish Egg Island",-133.174447,55.485687,"mid",24.2725,14,14,1.443,1.341,24,16,20,0.988773303120816,0.659182202080544,0.82397775260068,68,95,79,0.26510067114094,0.883889413901579,0.517248500104635
"S Wadleigh Island",-133.147345,55.528424,"mid",20.6,14,14,1.443,1.341,7,8,7.5,0.339805825242718,0.388349514563107,0.364077669902913,21,28,33,0.485294117647059,0.0107849280343926,0.45184350143535
"Salt Lake Bay",-133.377377,55.684275,"high",12.49,14,14,3.663,2.877,63,103,83,5.04403522818255,8.24659727782226,6.6453162530024,149,165,41,0.5,2.34763762708701,0.0109017650348227
"Shinaku Inlet",-133.160431,55.599083,"mid",11.335,14,14,1.443,1.341,40,110,75,3.5288928098809,9.70445522717247,6.61667401852669,33,35,20,0.317460317460317,0.645845780308079,-0.755714332995862
"Soda Bay",-132.994318,55.264232,"low",9.52,7,7,0.163,0.154,49,18,33.5,5.14705882352941,1.89075630252101,3.51890756302521,20,24,17,0.151785714285714,-1.25848247305979,-0.483530393046028
"Sukkwan Narrows",-132.842514,55.188785,"low",13.8775,7,0,0.163,0.154,1,0,0.5,0.0720590884525311,0,0.0360295442262655,56,69,45,0.535714285714286,-0.912052184023237,1.86780820560993
