"","otter_region","site","latitude","longitude","layer_number","layer_depth","layer_thickness","layer_volume_cm3","pan_weight","pan_sed_ww_pre_60C","pan_sed_dw_post_60C","sed_ww_pre_60C","sed_dw_post_60C","pan_sed_dw_pre_450C","pan_sed_dw_post450C","sed_dw_pre_450C","sed_dw_post_450C","crucible_weight","crucible_sed_dw_pre_950C","crucible_sed_dw_post_950C","sed_dw_pre_950C","sed_dw_post_950C","dry_bulk_density","om_dw","im_dw"
"1","Low","2017_L_06",55.19112,-133.105314,1,2,1.1,21.5984494934298,1.29409,25.23823,17.17096,23.94414,15.87687,17.17096,11.29137,15.87687,9.99728,NA,NA,NA,NA,NA,0.735093044749795,5.87959,NA
"2","Low","2017_L_06",55.19112,-133.105314,2,4,1.1,21.5984494934298,1.29186,39.12236,28.33694,37.8305,27.04508,28.33694,11.07443,27.04508,9.78257,27.32424,37.33955,36.8753,10.01531,9.55106,1.25217692169186,17.26251,0.46425
"3","Low","2017_L_06",55.19112,-133.105314,3,6,1.3,25.5254403104171,1.28577,46.55486,33.83475,45.26909,32.54898,33.83475,11.80249,32.54898,10.51672,NA,NA,NA,NA,NA,1.27515841467058,22.03226,NA
"4","Low","2017_L_06",55.19112,-133.105314,4,8,1.1,21.5984494934298,1.27816,36.85464,27.09433,35.57648,25.81617,27.09433,11.77326,25.81617,10.4951,NA,NA,NA,NA,NA,1.19527885591293,15.32107,NA
"5","Low","2017_L_06",55.19112,-133.105314,5,10,1.4,27.4889357189107,1.29332,44.44818,32.33891,43.15486,31.04559,32.33891,11.3854,31.04559,10.09208,NA,NA,NA,NA,NA,1.12938493936099,20.95351,NA
"6","Low","2017_L_06",55.19112,-133.105314,6,12,1.1,21.5984494934298,1.27617,36.4029,26.86238,35.12673,25.58621,26.86238,11.43155,25.58621,10.15538,NA,NA,NA,NA,NA,1.18463179534176,15.43083,NA
"7","Low","2017_L_06",55.19112,-133.105314,7,14,1.1,21.5984494934298,1.28285,40.1781,29.31035,38.89525,28.0275,29.31035,11.09889,28.0275,9.81604,27.18162,37.31168,36.73588,10.13006,9.55426,1.29766259418417,18.21146,0.575800000000001
"8","Low","2017_L_06",55.19112,-133.105314,8,16,1.2,23.5619449019235,1.2873,34.7275,23.91346,33.4402,22.62616,23.91346,11.65552,22.62616,10.36822,NA,NA,NA,NA,NA,0.960284055250165,12.25794,NA
"9","Low","2017_L_06",55.19112,-133.105314,9,18,1.1,21.5984494934298,1.29924,39.85357,26.74388,38.55433,25.44464,26.74388,10.81595,25.44464,9.51671,NA,NA,NA,NA,NA,1.17807715816546,15.92793,NA
"10","Low","2017_L_06",55.19112,-133.105314,10,20,1,19.6349540849362,1.28011,37.7601,25.28452,36.47999,24.00441,25.28452,11.29277,24.00441,10.01266,NA,NA,NA,NA,NA,1.22253456240145,13.99175,NA
