site_name,site_code,date_mm.dd.yy,replicate,leaf_beaker_g,leaf_tissue_dw_beaker_g,rhizome_beaker_g,rhizome_tissue_dw_beaker_g
Big Clam Bay a,L_10_a,7/13/18,1,,,,
Big Tree Bay a,M_10_a,07/11/18,1,25.60769,28.52309,25.60769,27.7198
Big Tree Bay a,M_10_a,07/11/18,2,25.60769,31.43263,25.60769,29.88553
Big Tree Bay a,M_10_a,07/11/18,3,25.60769,30.18731,25.60769,28.5783
Big Tree Bay a,M_10_a,07/11/18,4,25.60769,32.00603,25.60769,28.80372
Big Tree Bay a,M_10_a,07/11/18,5,25.60769,31.70038,25.60769,29.09078
Blanquizal Bay a,H_07_a,6/18/18,1,25.98776,30.21749,25.98776,30.16934
Blanquizal Bay a,H_07_a,6/18/18,2,25.98776,35.33423,25.98776,32.45112
Blanquizal Bay a,H_07_a,6/18/18,3,25.98776,33.9153,25.98776,30.8413
Blanquizal Bay a,H_07_a,6/18/18,4,25.98776,32.46108,25.98776,31.70592
Blanquizal Bay a,H_07_a,6/18/18,5,25.98776,33.13908,25.98776,32.58397
Chusini Cove b,H_03_b,6/13/18,1,25.60769,31.1018,25.60769,29.65445
Chusini Cove b,H_03_b,6/13/18,2,25.60769,28.50045,25.60769,29.04011
Chusini Cove b,H_03_b,6/13/18,3,25.60769,30.10379,25.60769,29.2912
Chusini Cove b,H_03_b,6/13/18,4,25.60769,27.85669,25.60769,26.87557
Chusini Cove b,H_03_b,6/13/18,5,25.60769,32.79607,25.60769,29.56519
Dunbar Inlet a,L_05_a,08/11/18,1,25.99458,31.72389,25.99458,29.10675
Dunbar Inlet a,L_05_a,08/11/18,2,25.99458,31.38748,25.99458,30.29159
Dunbar Inlet a,L_05_a,08/11/18,3,25.99458,30.27619,25.99458,29.94854
Dunbar Inlet a,L_05_a,08/11/18,4,25.99458,30.73515,25.99458,30.0171
Dunbar Inlet a,L_05_a,08/11/18,5,25.99458,31.14698,25.99458,29.41699
Garcia Cove a,M_07_a,5/20/18,1,25.60769,30.33517,25.60769,28.12468
Garcia Cove a,M_07_a,5/20/18,2,25.60769,28.37878,25.60769,28.02434
Garcia Cove a,M_07_a,5/20/18,3,25.60769,30.3317,25.60769,28.50813
Garcia Cove a,M_07_a,5/20/18,4,25.60769,29.90903,25.60769,29.04233
Garcia Cove a,M_07_a,5/20/18,5,25.60769,28.99512,25.60769,27.97305
Goats Mouth Inlet a,L_02_a,6/14/18,1,25.60769,32.52349,25.60769,30.27624
Goats Mouth Inlet a,L_02_a,6/14/18,2,25.60769,32.05121,25.60769,32.40783
Goats Mouth Inlet a,L_02_a,6/14/18,3,25.60769,32.41668,25.60769,30.4164
Goats Mouth Inlet a,L_02_a,6/14/18,4,25.60769,32.03061,25.60769,31.67615
