site_name,site_code,latitude_N,longitude_E,so_region,cage_present,date_dd.mm.yy,time_waterline_marked,replicate,waterline_elev_stadia_cm,waterline_elev_stadia_avg_cm,waterline_elev_mllw_ft_uncorrected,waterline_elev_mllw_ft_noaa_suggested,waterline_elev_mllw_ft_corrected,fucus_upper_elev_stadia_cm,fucus_lower_elev_stadia_cm,edge_diffuse_elev_stadia_cm,edge_continuous_elev_stadia_cm,distance_diffuse_band_cm,shoot_density_inside_0.25m2,shoot_density_continuous_0.25m2,shoot_density_diffuse_0.25m2,flower_density_inside_0.25m2,flower_density_continuous_0.25m2,flower_density_diffuse_0.25m2
Salt Lake Bay b,H_01_b,55.684275,-133.377377,High,Yes,26/6/18,07:35,1,327,327.2,-0.03,-0.8025,-0.8025,88,165,346,360,296,65,23,3,1,1,0
Salt Lake Bay b,H_01_b,55.684275,-133.377377,High,Yes,26/6/18,07:35,2,327,327.2,-0.03,-0.8025,-0.8025,93,155,360,363,55,77,42,2,0,5,0
Salt Lake Bay b,H_01_b,55.684275,-133.377377,High,Yes,26/6/18,07:35,3,327,327.2,-0.03,-0.8025,-0.8025,95,181,360,368,74,58,37,10,5,1,0
Salt Lake Bay b,H_01_b,55.684275,-133.377377,High,Yes,26/6/18,07:35,4,327,327.2,-0.03,-0.8025,-0.8025,91,163,358,370,78,64,20,6,1,0,0
Salt Lake Bay b,H_01_b,55.684275,-133.377377,High,Yes,26/6/18,07:35,5,327,327.2,-0.03,-0.8025,-0.8025,85,176,361,370,102,58,34,16,2,0,0
Salt Lake Bay b,H_01_b,55.684275,-133.377377,High,Yes,26/6/18,07:35,6,328,327.2,-0.03,-0.8025,-0.8025,76,172,359,372,137,46,38,14,0,3,1
Salt Lake Bay b,H_01_b,55.684275,-133.377377,High,Yes,26/6/18,07:35,7,326,327.2,-0.03,-0.8025,-0.8025,88,154,365,370,56,71,29,11,2,4,0
Salt Lake Bay b,H_01_b,55.684275,-133.377377,High,Yes,26/6/18,07:35,8,327,327.2,-0.03,-0.8025,-0.8025,86,154,362,365,60,37,28,22,3,1,0
Salt Lake Bay b,H_01_b,55.684275,-133.377377,High,Yes,26/6/18,07:35,9,328,327.2,-0.03,-0.8025,-0.8025,89,144,355,360,69,69,39,17,0,2,0
Salt Lake Bay b,H_01_b,55.684275,-133.377377,High,Yes,26/6/18,07:35,10,328,327.2,-0.03,-0.8025,-0.8025,83,164,346,357,105,78,25,7,1,1,0
