site,longitude,latitude,so_region1,so_region2,sed1,sed2,date_grass_MM.DD.YY,date_otts1_MM.DD.YY,date_otts2_MM.DD.YY
Big Clam Bay,-132.973932,55.227691,low,low,sugar,sand,07/13/18,07/18/18,07/26/18
Big Tree Bay,-133.215512,55.585855,mid,high,sugar,sand,07/11/18,07/19/18,08/01/18
Blanquizal Bay,-133.387067,55.621174,high,high,sand,sand,06/18/18,06/25/18,08/05/18
Chusini,-133.167403,55.813558,high,high,mud,mud,06/13/18,06/07/18,07/27/18
Dunbar Inlet,-132.826,55.0848,low,low,sand,sand,08/11/18,07/24/18,08/10/18
Garcia Cove,-133.430032,55.552181,high,high,sand,sand,07/12/18,05/23/18,07/25/18
Goat Mouth Inlet,-132.9,55.19286,low,low,sand,sand,06/14/18,06/12/18,07/26/18
Guktu Cove,-133.311306,55.740264,high,high,mud,mud,05/31/18,06/06/18,07/31/18
Hauti Island,-133.156399,55.865721,high,high,sand,sand,05/29/18,06/06/18,07/31/18
Kaguk Cove,-133.29047,55.733423,high,high,mud,mud,05/30/18,06/06/18,07/31/18
Kinani,-133.250006,55.889904,high,high,mud,mud,07/14/18,06/07/18,08/05/18
Mushroom Island,-132.846741,55.214375,low,low,mud,mud,06/16/18,06/12/18,07/26/18
N Fish Egg Island,-133.170812,55.496472,mid,low,sugar,sand,06/28/18,07/09/18,08/08/18
Natzuhini Bay 1,-132.879147,55.247539,low,low,sand,sand,06/15/18,06/12/18,07/26/18
Natzuhini Bay 2,-132.837131,55.241887,low,low,sand,sand,06/16/18,06/12/18,07/26/18
North Pass,-132.910143,55.228252,low,low,mud,mud,06/15/18,06/12/18,07/26/18
Nossuk Bay 1,-133.348326,55.709094,high,high,sand,sand,05/19/18,05/05/18,08/05/18
Nossuk Bay 2,-133.325372,55.722637,high,high,mud,mud,06/30/18,05/05/18,08/05/18
Port Caldera,-133.161232,55.36209,low,low,sand,sand,07/10/18,07/09/18,07/26/18
Port Refugio,-133.334028,55.282137,low,low,sand,sand,08/10/18,07/24/18,08/14/18
S Fish Egg Island,-133.174447,55.485687,mid,low,sugar,sand,06/25/18,07/09/18,08/08/18
S Wadleigh Island,-133.147345,55.528424,mid,low,mud,mud,06/12/18,06/11/18,08/03/18
Salt Lake Bay,-133.377377,55.684275,high,high,sand,sand,05/18/18,05/07/18,07/12/18
Shinaku Inlet,-133.160431,55.599083,mid,high,mud,mud,06/17/18,07/15/18,08/01/18
Soda Bay,-132.994318,55.264232,low,low,sand,sand,06/27/18,07/18/18,07/29/18
Sukkwan Narrows,-132.842514,55.188785,low,low,sand,sand,06/14/18,06/12/18,07/26/18
