site_name,site_water_area_km2,count_2017,count_2018,dens_2017,dens_2018,dens_2yr_avg
Big Clam Bay,6.485,NA,0.5,NA,0.077101002,0.077101002
Big Tree Bay,13.8025,NA,80.5,NA,5.832276761,5.832276761
Blanquizal Bay,14.5775,50,61,3.429943406,4.184530955,3.807237181
Chusini Cove 1,12.58,54,NA,4.292527822,5.568814638,4.292527822
Chusini Cove 2,12.57,NA,70,4.292527822,5.568814638,5.568814638
Dunbar Inlet,9.44,1.5,17,0.158898305,1.800847458,0.979872881
Farallon Bay,7.475,0,NA,0,NA,0
Garcia Cove,10.0575,25,42.5,2.485707184,4.225702212,3.355704698
Goat Mouth Inlet,4.4925,0,0,0,0,0
Guktu Cove 1,8.7775,67,NA,7.633152948,10.68427371,7.633152948
Guktu Cove 2,8.33,NA,89,7.633152948,10.68427371,10.68427371
Hauti Island,11.3525,NA,23.5,1.77762871,2.070028628,2.070028628
Hetta Cove,11.6425,0,NA,0,NA,0
Kaguk Cove,6.745,69.5,72,10.30392884,10.67457376,10.4892513
Kinani Point,10.41,NA,91,NA,8.741594621,8.741594621
Mushroom Island,17.635,NA,0,NA,0,0
N Fish Egg Island,15.49,21.5,2,1.387992253,0.129115558,0.758553906
Natzuhini Bay 1,11.1025,0,NA,0,NA,0
Natzuhini Bay 2,13.15,NA,0,0,0,0
Natzuhini Bay 3,15.03,NA,0,0,0,0
Naukati Bay,14.9075,26.5,NA,1.77762871,2.070028628,1.77762871
North Pass 1,6.59,0,NA,0,0,0
North Pass 2,8.1725,NA,0,0,0,0
Nossuk Bay 1,6.4375,43.5,NA,6.757281553,3.436157751,6.757281553
Nossuk Bay 2,6.4025,NA,22,6.757281553,3.436157751,3.436157751
Nossuk Bay 3,7.435,NA,23.5,6.757281553,3.160726295,3.160726295
Port Caldera,5.83,NA,0,NA,0,0
Port Refugio,5.025,1,0,0.199004975,0,0.099502488
S Fish Egg Island,24.2725,NA,20,1.05,0.823977753,0.823977753
S Wadleigh Island,20.6,9.5,7.5,0.461165049,0.36407767,0.412621359
Salt Lake Bay 1,9.05,104,NA,11.49171271,6.645316253,11.49171271
Salt Lake Bay 2,12.49,NA,83,11.49171271,6.645316253,6.645316253
Shinaku Inlet,11.335,48,75,4.234671372,6.616674019,5.425672695
Soda Bay,9.52,14.5,33.5,1.523109244,3.518907563,2.521008403
Sukkwan Narrows,13.8775,NA,0.5,NA,0.036029544,0.036029544
Trocadero Bay,10.9825,1,NA,0.091053949,NA,0.091053949
