site,replicate,tissue,beaker_weight,tissue_beaker_weight
Nossuk,1,blades,25.98776,33.65319
Nossuk,2,blades,25.98776,33.9313
Nossuk,3,blades,25.98776,37.06383
Nossuk,4,blades,25.98776,37.12849
Nossuk,5,blades,25.98776,34.46888
Nossuk,1,rhizomes,25.98776,28.24459
Nossuk,2,rhizomes,25.98776,29.05054
Nossuk,3,rhizomes,25.98776,31.81865
Nossuk,4,rhizomes,25.98776,28.95576
Nossuk,5,rhizomes,25.98776,28.98966
Hauti,1,blades,25.98776,28.49615
Hauti,2,blades,25.98776,30.06637
Hauti,3,blades,25.98776,31.26943
Hauti,4,blades,25.98776,30.6493
Hauti,5,blades,25.98776,29.96112
Hauti,1,rhizomes,25.98776,27.39221
Hauti,2,rhizomes,25.60452,27.63063
Hauti,3,rhizomes,25.98776,28.53963
Hauti,4,rhizomes,25.98776,28.6186
Hauti,5,rhizomes,25.98776,27.80719
Chusini,1,blades,25.60769,31.1018
Chusini,2,blades,25.60769,28.50045
Chusini,3,blades,25.60769,30.10379
Chusini,4,blades,25.60769,27.85669
Chusini,5,blades,25.60769,32.79607
Chusini,1,rhizomes,25.60769,29.65445
Chusini,2,rhizomes,25.60769,29.04011
Chusini,3,rhizomes,25.60769,29.2912
Chusini,4,rhizomes,25.60769,26.87557
Chusini,5,rhizomes,25.60769,29.56519
Mushroom,1,blades,25.99458,36.24515
Mushroom,2,blades,25.99458,30.30496
Mushroom,3,blades,25.99458,31.84015
Mushroom,4,blades,25.99458,32.55758
Mushroom,5,blades,25.99458,31.30481
Mushroom,1,rhizomes,25.99458,33.65492
Mushroom,2,rhizomes,25.99458,28.35226
Mushroom,3,rhizomes,25.99458,28.27434
Mushroom,4,rhizomes,25.99458,29.76301
Mushroom,5,rhizomes,25.99458,29.73288
Shinaku,1,blades,25.98776,28.6154
Shinaku,2,blades,25.98776,28.74271
Shinaku,3,blades,25.98776,27.50799
Shinaku,4,blades,25.98776,27.93865
Shinaku,5,blades,25.98776,28.87133
Shinaku,1,rhizomes,25.98776,28.7942
Shinaku,2,rhizomes,25.98776,28.55909
Shinaku,3,rhizomes,25.98776,27.88579
Shinaku,4,rhizomes,25.98776,27.45979
Shinaku,5,rhizomes,25.98776,27.54707
Kaguk,1,blades,25.60769,29.68473
Kaguk,2,blades,25.60769,29.77864
Kaguk,3,blades,25.60769,32.28029
Kaguk,4,blades,25.60769,28.64897
Kaguk,5,blades,25.60769,28.58735
Kaguk,1,rhizomes,25.60769,26.91286
Kaguk,2,rhizomes,25.60769,27.81516
Kaguk,3,rhizomes,25.60769,27.98868
Kaguk,4,rhizomes,25.60769,27.32905
Kaguk,5,rhizomes,25.60769,26.62081
Natzuhini 1,1,blades,25.99458,28.31629
Natzuhini 1,2,blades,25.99458,29.30423
Natzuhini 1,3,blades,25.99458,28.52401
Natzuhini 1,4,blades,25.99458,27.66937
Natzuhini 1,5,blades,25.99458,28.62516
Natzuhini 1,1,rhizomes,25.99458,27.22929
Natzuhini 1,2,rhizomes,25.99458,27.76268
Natzuhini 1,3,rhizomes,25.99458,28.08417
Natzuhini 1,4,rhizomes,25.99458,27.99288
Natzuhini 1,5,rhizomes,25.99458,28.01464
Garcia Cove,1,blades,25.60769,30.33517
Garcia Cove,2,blades,25.60769,28.37878
Garcia Cove,3,blades,25.60769,30.3317
Garcia Cove,4,blades,25.60769,29.90903
Garcia Cove,5,blades,25.60769,28.99512
Garcia Cove,1,rhizomes,25.60769,28.12468
Garcia Cove,2,rhizomes,25.60769,28.02434
Garcia Cove,3,rhizomes,25.60769,28.50813
Garcia Cove,4,rhizomes,25.60769,29.04233
Garcia Cove,5,rhizomes,25.60769,27.97305
Guktu,1,blades,25.60769,30.57065
Guktu,2,blades,25.60769,32.08586
Guktu,3,blades,25.60769,34.38365
Guktu,4,blades,25.60769,31.04948
Guktu,5,blades,25.60769,31.93078
Guktu,1,rhizomes,25.60769,27.64877
Guktu,2,rhizomes,25.60769,27.36112
Guktu,3,rhizomes,25.60769,27.84098
Guktu,4,rhizomes,25.60769,27.56423
Guktu,5,rhizomes,25.60769,28.06222
Sukkwan Narrows,1,blades,25.98776,29.03835
Sukkwan Narrows,2,blades,25.98776,30.50112
Sukkwan Narrows,3,blades,25.98776,31.15587
Sukkwan Narrows,4,blades,25.98776,31.37711
Sukkwan Narrows,5,blades,25.99458,30.35707
Sukkwan Narrows,1,rhizomes,25.98776,27.63938
Sukkwan Narrows,2,rhizomes,25.98776,27.24358
Sukkwan Narrows,3,rhizomes,25.98776,30.04318
Sukkwan Narrows,4,rhizomes,25.98776,29.34907
Sukkwan Narrows,5,rhizomes,25.99458,29.06605
Natzuhini 2,1,blades,25.98776,30.85937
Natzuhini 2,2,blades,25.98776,27.00344
Natzuhini 2,3,blades,25.98776,31.50615
Natzuhini 2,4,blades,25.98776,31.02494
Natzuhini 2,5,blades,25.98776,31.99202
Natzuhini 2,1,rhizomes,25.98776,29.1969
Natzuhini 2,2,rhizomes,25.98776,28.0623
Natzuhini 2,3,rhizomes,25.98776,29.24058
Natzuhini 2,4,rhizomes,25.98776,30.10773
Natzuhini 2,5,rhizomes,25.98776,31.1279
South Fish Egg Island,1,blades,25.60769,26.91213
South Fish Egg Island,2,blades,25.60769,29.57025
South Fish Egg Island,3,blades,25.60769,27.97153
South Fish Egg Island,4,blades,25.60769,30.02535
South Fish Egg Island,5,blades,25.60769,29.73527
South Fish Egg Island,1,rhizomes,25.60769,27.309
South Fish Egg Island,2,rhizomes,25.60769,31.4202
South Fish Egg Island,3,rhizomes,25.60769,29.43071
South Fish Egg Island,4,rhizomes,25.60769,32.62876
South Fish Egg Island,5,rhizomes,25.60769,30.1822
Blanquizal,1,blades,25.98776,30.21749
Blanquizal,2,blades,25.98776,35.33423
Blanquizal,3,blades,25.98776,33.9153
Blanquizal,4,blades,25.98776,32.46108
Blanquizal,5,blades,25.98776,33.13908
Blanquizal,1,rhizomes,25.98776,30.16934
Blanquizal,2,rhizomes,25.98776,32.45112
Blanquizal,3,rhizomes,25.98776,30.8413
Blanquizal,4,rhizomes,25.98776,31.70592
Blanquizal,5,rhizomes,25.98776,32.58397
South Wadleigh,1,blades,,
South Wadleigh,2,blades,,
South Wadleigh,3,blades,,
South Wadleigh,4,blades,,
South Wadleigh,5,blades,,
South Wadleigh,1,rhizomes,,
South Wadleigh,2,rhizomes,,
South Wadleigh,3,rhizomes,,
South Wadleigh,4,rhizomes,,
South Wadleigh,5,rhizomes,,
North Pass,1,blades,25.60769,29.63494
North Pass,2,blades,25.60769,30.37605
North Pass,3,blades,25.60769,31.28848
North Pass,4,blades,25.60769,31.67122
North Pass,5,blades,25.60769,31.97034
North Pass,1,rhizomes,25.60769,28.74898
North Pass,2,rhizomes,25.60769,28.69704
North Pass,3,rhizomes,25.60769,30.92008
North Pass,4,rhizomes,25.60769,27.59088
North Pass,5,rhizomes,25.60769,30.57739
Goat Mouth Inlet,1,blades,25.60769,32.52349
Goat Mouth Inlet,2,blades,25.60769,32.05121
Goat Mouth Inlet,3,blades,25.60769,32.41668
Goat Mouth Inlet,4,blades,25.60769,32.03061
Goat Mouth Inlet,5,blades,25.60769,30.38981
Goat Mouth Inlet,1,rhizomes,25.60769,30.27624
Goat Mouth Inlet,2,rhizomes,25.60769,32.40783
Goat Mouth Inlet,3,rhizomes,25.60769,30.4164
Goat Mouth Inlet,4,rhizomes,25.60769,31.67615
Goat Mouth Inlet,5,rhizomes,25.60769,29.76271
Port Refugio,1,blades,,
Port Refugio,2,blades,,
Port Refugio,3,blades,,
Port Refugio,4,blades,,
Port Refugio,5,blades,,
Port Refugio,1,rhizomes,,
Port Refugio,2,rhizomes,,
Port Refugio,3,rhizomes,,
Port Refugio,4,rhizomes,,
Port Refugio,5,rhizomes,,
North Fish Egg Island,1,blades,,
North Fish Egg Island,2,blades,,
North Fish Egg Island,3,blades,,
North Fish Egg Island,4,blades,,
North Fish Egg Island,5,blades,,
North Fish Egg Island,1,rhizomes,,
North Fish Egg Island,2,rhizomes,,
North Fish Egg Island,3,rhizomes,,
North Fish Egg Island,4,rhizomes,,
North Fish Egg Island,5,rhizomes,,
Kinani,1,blades,,
Kinani,2,blades,,
Kinani,3,blades,,
Kinani,4,blades,,
Kinani,5,blades,,
Kinani,1,rhizomes,,
Kinani,2,rhizomes,,
Kinani,3,rhizomes,,
Kinani,4,rhizomes,,
Kinani,5,rhizomes,,
Soda Bay,1,blades,25.99458,28.43415
Soda Bay,2,blades,25.99458,27.42869
Soda Bay,3,blades,25.99458,27.3442
Soda Bay,4,blades,25.99458,29.32807
Soda Bay,5,blades,25.99458,28.48619
Soda Bay,1,rhizomes,25.99458,30.1641
Soda Bay,2,rhizomes,25.99458,27.78582
Soda Bay,3,rhizomes,25.99458,27.75681
Soda Bay,4,rhizomes,25.99458,28.79621
Soda Bay,5,rhizomes,25.99458,27.97131
Dunbar,1,blades,25.99458,31.72389
Dunbar,2,blades,25.99458,31.38748
Dunbar,3,blades,25.99458,30.27619
Dunbar,4,blades,25.99458,30.73515
Dunbar,5,blades,25.99458,31.14698
Dunbar,1,rhizomes,25.99458,29.10675
Dunbar,2,rhizomes,25.99458,30.29159
Dunbar,3,rhizomes,25.99458,29.94854
Dunbar,4,rhizomes,25.99458,30.0171
Dunbar,5,rhizomes,25.99458,29.41699
Big Tree Bay,1,blades,25.60769,28.52309
Big Tree Bay,2,blades,25.60769,31.43263
Big Tree Bay,3,blades,25.60769,30.18731
Big Tree Bay,4,blades,25.60769,32.00603
Big Tree Bay,5,blades,25.60769,31.70038
Big Tree Bay,1,rhizomes,25.60769,27.7198
Big Tree Bay,2,rhizomes,25.60769,29.88553
Big Tree Bay,3,rhizomes,25.60769,28.5783
Big Tree Bay,4,rhizomes,25.60769,28.80372
