site,zzz
Big Clam Bay,1.500140181
Big Tree Bay,1.935856183
Blanquizal Bay,-0.114889683
Chusini,-0.854985434
Dunbar Inlet,0.747515585
Garcia Cove,-1.317011702
Goat Mouth Inlet,-1.192694895
Guktu Cove,-0.444485578
Hauti Island,-0.91565811
Kaguk Cove,-1.043445312
Kinani,-0.226301387
Mushroom Island,0.739922503
N Fish Egg Island,2.091115746
Natzuhini Bay 1,-0.387704176
Natzuhini Bay 2,-0.695767291
North Pass,-0.979188213
Nossuk Bay 1,0.162193962
Nossuk Bay 2,-0.246852716
Port Caldera,0.85140891
Port Refugio,-0.511164577
S Fish Egg Island,0.917399288
S Wadleigh Island,0.429965275
Salt Lake Bay,-1.582905936
Shinaku Inlet,0.714419129
Soda Bay,0.780393161
Sukkwan Narrows,-0.357274912
