site_code,site_name,latitude_N,longitude_E,date_MMDDYYYY,depth_m_MLLW,layer_number,layer_thickness_cm,layer_depth_cm,layer_volume_cm3,dry_bulk_density,organic_dw_g,organic_dw_percent,organic_density,inorganic_dw_g,inorganic_dw_percent,inorganic_density
2017_H_07,Blanquizal Bay,55.62082,-133.38664,8/20/2017,-0.55,1,1.2,0,23.5619449,1.189713757,0.51315,1.936428978,0.610501615,NA,NA,NA
2017_H_07,Blanquizal Bay,55.62082,-133.38664,8/20/2017,-0.55,2,1.2,2,23.5619449,1.148415384,0.65018,2.554085464,0.746676714,0.40413,1.948794065,0.464109109
2017_H_07,Blanquizal Bay,55.62082,-133.38664,8/20/2017,-0.55,3,1,4,19.63495408,1.159179181,0.57736,2.710867416,0.669263692,NA,NA,NA
2017_H_07,Blanquizal Bay,55.62082,-133.38664,8/20/2017,-0.55,4,0.9,6,17.67145868,1.305195028,0.55865,2.601183791,0.729147202,NA,NA,NA
2017_H_07,Blanquizal Bay,55.62082,-133.38664,8/20/2017,-0.55,5,0.9,8,17.67145868,1.295111537,0.51849,2.421289075,0.671502381,NA,NA,NA
2017_H_07,Blanquizal Bay,55.62082,-133.38664,8/20/2017,-0.55,6,0.9,10,17.67145868,1.312509082,0.55691,2.589610589,0.730949433,NA,NA,NA
2017_H_07,Blanquizal Bay,55.62082,-133.38664,8/20/2017,-0.55,7,1,12,19.63495408,1.352939247,0.6958,2.803012816,0.941375128,1.8588,7.240731334,2.514843473
2017_H_07,Blanquizal Bay,55.62082,-133.38664,8/20/2017,-0.55,8,1.1,14,21.59844949,1.295350854,0.80415,3.052848851,1.041656389,NA,NA,NA
2017_H_07,Blanquizal Bay,55.62082,-133.38664,8/20/2017,-0.55,9,1,16,19.63495408,1.174307814,0.68153,3.17057796,0.800326004,NA,NA,NA
2017_H_07,Blanquizal Bay,55.62082,-133.38664,8/20/2017,-0.55,10,0.9,18,17.67145868,1.241364417,0.55326,2.709630782,0.686797277,NA,NA,NA
2017_H_07,Blanquizal Bay,55.62082,-133.38664,8/20/2017,-0.55,11,1,20,19.63495408,1.371114996,0.49624,1.940022862,0.680402106,NA,NA,NA
2017_H_07,Blanquizal Bay,55.62082,-133.38664,8/20/2017,-0.55,12,1,22,19.63495408,1.669162039,0.53074,1.690016345,0.885891061,1.44892,5.665538058,2.418482262
2017_H_07,Blanquizal Bay,55.62082,-133.38664,8/20/2017,-0.55,13,0.9,24,17.67145868,1.562534282,0.4886,1.876506947,0.76345425,NA,NA,NA
2017_H_07,Blanquizal Bay,55.62082,-133.38664,8/20/2017,-0.55,14,1,26,19.63495408,1.469482937,0.47888,1.745721364,0.703705989,NA,NA,NA
2017_H_07,Blanquizal Bay,55.62082,-133.38664,8/20/2017,-0.55,15,1,28,19.63495408,1.426134733,0.5047,1.898062712,0.7197702,NA,NA,NA
2017_H_03,Chusini,55.80692,-133.171,6/25/2017,-1.1,1,1.1,0,21.59844949,0.508992092,0.53322,5.390329311,0.271404764,NA,NA,NA
2017_H_03,Chusini,55.80692,-133.171,6/25/2017,-1.1,2,1.2,2,23.5619449,0.614614373,1.51952,10.55599012,0.933918833,0.92765,9.906800359,0.570147023
2017_H_03,Chusini,55.80692,-133.171,6/25/2017,-1.1,3,1.1,4,21.59844949,0.572570267,0.73787,6.67535762,0.422482423,NA,NA,NA
2017_H_03,Chusini,55.80692,-133.171,6/25/2017,-1.1,4,1.2,6,23.5619449,0.67899276,0.80069,5.37057209,0.543662713,NA,NA,NA
2017_H_03,Chusini,55.80692,-133.171,6/25/2017,-1.1,5,1,8,19.63495408,0.703194922,0.63878,5.005975541,0.449186852,NA,NA,NA
