site,latitude_N_dd,longitude_E_dd,date_YYYY/MM/DD,transect,replicate,sample_volume_cm3,bag_weight_g,bag_sed_ww_g,bag_sed_dw_g,pan_weight_g,pan_sed_dw_pre_450C_g,pan_sed_dw_post_450C_g
Nossuk Bay 1,55.714689,-133.358474,2/6/18,inside,1,115,4.3191,207.99,145.19,1.29086,42.4077,41.26009
Nossuk Bay 1,55.714689,-133.358474,2/6/18,inside,2,115,4.3106,218.41,158.39,1.28416,41.78095,40.65292
Nossuk Bay 1,55.714689,-133.358474,2/6/18,inside,3,115,4.2917,196.65,131.61,1.28839,40.92038,39.38895
Nossuk Bay 1,55.714689,-133.358474,2/6/18,inside,4,115,4.2858,214.22,152.46,1.28337,40.8183,39.81366
Nossuk Bay 1,55.714689,-133.358474,2/6/18,inside,5,115,4.3367,214.84,162.06,1.27241,54.39333,53.47836
Nossuk Bay 1,55.714689,-133.358474,2/6/18,outside,1,115,4.328,224.09,172.23,1.29392,44.67905,43.89155
Nossuk Bay 1,55.714689,-133.358474,2/6/18,outside,2,115,4.3243,228.95,175.27,1.29245,52.49869,51.44914
Nossuk Bay 1,55.714689,-133.358474,2/6/18,outside,3,115,4.3412,196.64,137.32,1.27798,42.17653,40.64385
Nossuk Bay 1,55.714689,-133.358474,2/6/18,outside,4,115,4.3899,231.3,175.35,1.30088,49.34312,48.64822
Nossuk Bay 1,55.714689,-133.358474,2/6/18,outside,5,115,4.3523,228.44,180.25,1.30076,49.74793,49.16595
Hauti Island,55.865721,-133.156399,28/5/18,inside,1,115,4.389,219.15,170.01,1.2805,34.15406,33.74933
Hauti Island,55.865721,-133.156399,28/5/18,inside,2,115,4.349,205.34,163.23,1.28254,46.01365,45.43738
Hauti Island,55.865721,-133.156399,28/5/18,inside,3,115,4.353,247.73,206.52,1.26861,48.2346,47.82756
Hauti Island,55.865721,-133.156399,28/5/18,inside,4,115,4.34,226.1,174.38,1.2613,44.89622,44.31808
Hauti Island,55.865721,-133.156399,28/5/18,inside,5,115,4.328,239.56,196.61,1.26281,54.44539,53.84078
Hauti Island,55.865721,-133.156399,28/5/18,outside,1,115,4.314,237.42,189.93,1.29282,53.02676,52.51614
Hauti Island,55.865721,-133.156399,28/5/18,outside,2,115,4.332,245.37,202.75,1.28953,53.36016,52.80066
Hauti Island,55.865721,-133.156399,28/5/18,outside,3,115,4.345,243.19,202.17,1.2862,53.38963,52.75291
Hauti Island,55.865721,-133.156399,28/5/18,outside,4,115,4.347,230.72,182.82,1.3024,46.83136,46.33887
Hauti Island,55.865721,-133.156399,28/5/18,outside,5,115,4.339,237.71,187.4,1.28811,61.20949,60.40354
Chusini,55.813558,-133.167403,13/6/18,inside,1,115,4.3415,193.15,121.02,1.2929,36.64151,35.4362
Chusini,55.813558,-133.167403,13/6/18,inside,2,115,4.3444,202.4,137.61,1.28851,48.81867,41.57666
Chusini,55.813558,-133.167403,13/6/18,inside,3,115,4.3243,194.92,126.45,1.28652,40.29476,39.02857
Chusini,55.813558,-133.167403,13/6/18,inside,4,115,4.3194,210.06,141.4,1.29429,36.75785,35.76282
Chusini,55.813558,-133.167403,13/6/18,inside,5,115,4.3437,198.46,133.9,1.29632,38.26875,37.09586
Chusini,55.813558,-133.167403,13/6/18,outside,1,115,4.2824,242.74,195.01,1.29198,47.98335,47.41279
Chusini,55.813558,-133.167403,13/6/18,outside,2,115,4.2749,229.93,190.99,1.29615,51.57752,51.07018
Chusini,55.813558,-133.167403,13/6/18,outside,3,115,4.2814,255.24,208.23,1.29705,51.42631,50.86946
Chusini,55.813558,-133.167403,13/6/18,outside,4,115,4.2684,219.98,161.41,1.30406,38.41483,37.71834
Chusini,55.813558,-133.167403,13/6/18,outside,5,115,4.3021,251.19,205.33,1.29421,45.05531,44.4547
Mushroom Island,55.21407,-132.847233,16/6/18,inside,1,115,4.3478,188.87,114.72,1.29525,32.35754,31.19528
Mushroom Island,55.21407,-132.847233,16/6/18,inside,2,115,4.3378,198.5,135.85,1.29611,37.62634,36.60152
Mushroom Island,55.21407,-132.847233,16/6/18,inside,3,115,4.3402,219.19,160.64,1.27328,39.18406,38.49641
Mushroom Island,55.21407,-132.847233,16/6/18,inside,4,115,4.3577,218.95,158.16,1.28391,40.46557,39.65839
Mushroom Island,55.21407,-132.847233,16/6/18,inside,5,115,4.3806,212.1,157.46,1.29072,48.41065,47.58513
Mushroom Island,55.21407,-132.847233,16/6/18,outside,1,115,4.3799,249.33,206,1.29819,54.01566,53.47189
Mushroom Island,55.21407,-132.847233,16/6/18,outside,2,115,4.3747,210.08,164.71,1.275,36.78101,36.27578
Mushroom Island,55.21407,-132.847233,16/6/18,outside,3,115,4.361,223.33,170.25,1.28636,49.64684,49.0006
Mushroom Island,55.21407,-132.847233,16/6/18,outside,4,115,4.3268,237.05,187.3,1.30159,45.34273,44.79829
Mushroom Island,55.21407,-132.847233,16/6/18,outside,5,115,4.3238,261.07,209.79,1.29742,52.24087,51.76815
Shinaku Inlet,55.599299,-133.157644,17/6/18,inside,1,115,4.3948,168.6,79.94,1.29506,28.57495,26.8092
Shinaku Inlet,55.599299,-133.157644,17/6/18,inside,2,115,4.361,180.56,104.16,1.29208,32.06562,30.62653
Shinaku Inlet,55.599299,-133.157644,17/6/18,inside,3,115,4.3814,181.89,104.24,1.2793,34.62686,33.11213
Shinaku Inlet,55.599299,-133.157644,17/6/18,inside,4,115,4.3911,166.84,83.48,1.27918,36.47568,34.17497
