"","site_name","dry_bulk_density","organic_dw_g","organic_dw_percent","organic_density","density1_km2_2017","density2_km2_2017","so_duration_yrs","density_pop_surv_km2","n_pits","prop_so_shells","so_index","otter_densityavg_km2_2017"
"1","Blanquizal Bay",1.3315010192,8.60864,2.37999106346667,0.758761296066667,4.0625,1.875,14,2.877,128,0.509433962,0.837842317,2.96875
"2","Chusini",0.8017447036,10.9768,4.69688830513333,0.568784426,3.466666667,3.4,14,2.877,3,0.352201258,0.548218328,3.4333333335
"3","Dunbar Inlet",1.63042385493333,33.59256,8.28707133186667,3.652447946,0.090909091,0.090909091,7,0.154,0,0.083333333,-0.894604343,0.090909091
"5","Garcia Cove",1.66518335853333,14.74795,3.4347213162,1.658978769,1.333333333,1.6,14,1.341,64,0.504823151,0.351490141,1.4666666665
"6","Goat Mouth Inlet",1.5813037988,13.1822,2.1988635622,1.4420598304,0,0,7,0.154,2,0.055555556,-0.867704116,0
"7","Guktu Cove",1.01844880913333,27.89374,8.25345309913333,1.91102305826667,7,7.8,14,2.877,244,0.368534483,1.11365068,7.4
"8","Hetta Cove",1.63678641046667,10.26237,1.59999086826667,1.1206733602,0,0,7,0.154,5,0.13559322,-0.753815695,0
"9","Kaguk Cove",1.03987256433333,12.54382,3.5609590658,0.8938633758,6.5,5.625,14,2.877,49,0.41025641,0.950404747,6.0625
"10","N Fish Egg Island",1.0435514445,4.78859,0.640037816,0.496306295357143,1.041666667,0.333333333,14,1.341,8,0.074074074,-0.242636668,0.6875
"11","Natzuhini Bay 1",1.27967261886667,17.88488,2.91609985226667,1.56181606726667,0,0,7,0.154,0,0.133828996,-0.88948856,0
"12","Naukati Bay",0.910283309933333,17.2277,5.0987357724,1.03958553413333,1.692307692,2.384615385,14,2.877,83,0.399305556,0.660432052,2.0384615385
"13","North Pass",1.327429666,12.90588,2.88036072093333,1.1798455964,0,0,7,0.154,1,0.122807018,-0.845787558,0
"14","Nossuk Bay",1.01023560146667,17.56157,4.83568683466667,1.1842374456,4.142857143,8.142857143,14,2.877,23,0.378548896,0.873424164,6.142857143
"15","Port Refugio",0.945105855733333,30.25499,12.135754123,1.9135832312,0.166666667,0,14,1.341,0,0.076086957,-0.565716958,0.0833333335
"16","S Fish Egg Island",1.35487901293333,3.54965,0.2411942462,0.434781418733333,1.821428571,0.285714286,14,1.341,190,0.292237443,0.194237765,1.0535714285
"17","S Wadleigh Island",1.01950930146667,11.80509,4.962816386,0.820884190133333,0.476190476,0.428571429,14,1.341,51,0.302752294,0.007743841,0.4523809525
"18","Salt Lake Bay",1.25290599126667,31.46653,9.38336640186667,2.632751685,9.3,4.8,14,2.877,114,0.487179487,1.088186484,7.05
"19","Shinaku Inlet",0.612173402533333,29.54664,17.9360942809333,1.23559291393333,1.615384615,5.769230769,14,1.341,11,0.196226415,0.245971907,3.692307692
"20","Soda Bay",1.4668949174,40.20471,7.16198520506667,3.93314590686667,1.692307692,0.538461538,7,0.154,0,0.190909091,-0.580843073,1.115384615
"21","Trocadero Bay",1.76748349073333,9.16442,1.6132301316,1.10949602173333,0,0.083333333,14,1.341,1,0.371428571,-0.319901604,0.0416666665
