"","site","longitude","latitude","so_region1","so_region2","sed1","sed2","so_duration","pop_dens_surv_km2","dens_otter1","dens_otter2","n_pits","prop_otter_shells","sea_otter_index","date_MM.DD.YY","leaf_dw_g_m2","rhizome_dw_g_m2","leaf.rhizome","tot_biomass_dw_g_m2","date_julian","transect","dry_bulk_density","organic_carbon_percent","organic_dw_g","tot.carb.surface","diffuse_band_height_cm","beach_slope","shoot_density_inside_m2","shoot_density_continuous_m2","shoot_density_diffuse_m2","flower_density_inside_m2","flower_density_continuous_m2","flower_density_diffuse_m2"
"1","Big Tree Bay",-133.215512,55.585855,"mid","high","sugar","sand",14,1.341,5.07154500996196,6.59300851295055,14,0.194174757281553,0.394133165071571,2018-07-11,20.648792,12.831744,1.60696160341226,33.480536,192,"inside",1.121356,0.835357304564118,1.114204,24.360803516727,1.63636363636363,0.0335041638833911,621.090909090909,604,54,17.8181818181818,23.2727272727273,3
"2","Big Tree Bay",-133.215512,55.585855,"mid","high","sugar","sand",14,1.341,5.07154500996196,6.59300851295055,14,0.194174757281553,0.394133165071571,2018-07-11,20.648792,12.831744,1.60696160341226,33.480536,192,"outside",1.62126139130435,0.430542656144403,0.956679999999999,11.1434937665722,1.63636363636363,0.0335041638833911,621.090909090909,604,54,17.8181818181818,23.2727272727273,3
"3","Blanquizal Bay",-133.387067,55.621174,"high","high","sand","sand",14,2.877,3.56714114217115,4.80192076830732,47,0.461538461538462,0.625943512914429,2018-06-18,28.102704,22.25028,1.26143122922693,50.352984,169,"inside",1.26018156521739,0.846367254350261,1.091912,25.182349088713,26.7272727272727,0.0576775610117277,721.454545454545,365.090909090909,134.4,8.36363636363636,2.54545454545455,3.63636363636364
"4","Blanquizal Bay",-133.387067,55.621174,"high","high","sand","sand",14,2.877,3.56714114217115,4.80192076830732,47,0.461538461538462,0.625943512914429,2018-06-18,28.102704,22.25028,1.26143122922693,50.352984,169,"outside",1.86480173913043,0.166559900672281,0.454959999999998,2.09262376969685,26.7272727272727,0.0576775610117277,721.454545454545,365.090909090909,134.4,8.36363636363636,2.54545454545455,3.63636363636364
"5","Chusini",-133.167403,55.813558,"high","high","mud","mud",14,2.877,7.39856801909308,3.73906125696102,133,0.330357142857143,0.758251085388494,2018-06-13,17.85628,13.110456,1.40225111993149,30.966736,164,"inside",1.11079426086957,1.63202396311861,2.376286,197.393795907535,22,0.0205288586244446,168.727272727273,96.7272727272727,75.6363636363636,7.27272727272727,1.09090909090909,0
"6","Chusini",-133.167403,55.813558,"high","high","mud","mud",14,2.877,7.39856801909308,3.73906125696102,133,0.330357142857143,0.758251085388494,2018-06-13,17.85628,13.110456,1.40225111993149,30.966736,164,"outside",1.6340187826087,0.298228473714883,0.586370000000001,4.71618038178957,22,0.0205288586244446,168.727272727273,96.7272727272727,75.6363636363636,7.27272727272727,1.09090909090909,0
"7","Dunbar Inlet",-132.826,55.0848,"low","low","sand","sand",7,0.154,0.635593220338983,2.96610169491525,23,0.1,-0.407592174933333,2018-08-11,20.237432,15.046456,1.37256708930506,35.283888,223,"inside",1.46721791304348,0.168723817850857,0.421945999999998,1.99645783513694,3.90909090909091,0.0691100413740413,458.545454545455,301.090909090909,18.3636363636364,2.54545454545455,0,0
"8","Dunbar Inlet",-132.826,55.0848,"low","low","sand","sand",7,0.154,0.635593220338983,2.96610169491525,23,0.1,-0.407592174933333,2018-08-11,20.237432,15.046456,1.37256708930506,35.283888,223,"outside",1.65391947826087,0.056982384016101,0.309202000000002,0.466522914842574,3.90909090909091,0.0691100413740413,458.545454545455,301.090909090909,18.3636363636364,2.54545454545455,0,0
"9","Garcia Cove",-133.430032,55.552181,"high","high","sand","sand",14,2.877,4.67312950534427,3.77827491921452,278,0.608465608465608,0.684596465907966,2018-05-20,15.92908,10.907264,1.467611048222,26.836344,140,"inside",1.57564,0.70423887366267,1.22305,36.9137677970442,11.9,0.0118476680289651,198.545454545455,150.181818181818,5.45454545454545,1.09090909090909,1.09090909090909,0
"10","Garcia Cove",-133.430032,55.552181,"high","high","sand","sand",14,2.877,4.67312950534427,3.77827491921452,278,0.608465608465608,0.684596465907966,2018-05-20,15.92908,10.907264,1.467611048222,26.836344,140,"outside",1.73865043478261,0.391539206495781,0.698772000000002,7.48273173271853,11.9,0.0118476680289651,198.545454545455,150.181818181818,5.45454545454545,1.09090909090909,1.09090909090909,0
