Sample,Site,Latitude,Longitude,Depth_m,Replicate,Type,Sample_date,Notes,Nitrate_um/L,NitrateNitrite_um/L,Phos_um/L
2018H01-1m-A,2018_H_01,55.735283,-133.295189,1,A,Unknown,7/25/18,7/25/18,0.025,0.526,0.203
2018H01-1m-B,2018_H_01,55.735283,-133.295189,1,B,Unknown,7/25/18,7/25/18,0.021,0.422,0.185
2018H01-5m-A,2018_H_01,55.735283,-133.295189,5,A,Unknown,7/25/18,7/25/18,0.032,0.685,0.187
2018H01-5m-B,2018_H_01,55.735283,-133.295189,5,B,Unknown,7/25/18,7/25/18,0.041,0.706,0.371
2018H02-1m-A,2018_H_02,55.738953,-133.313514,1,A,Unknown,7/25/18,7/25/18,0.051,0.923,0.380
2018H02-1m-B,2018_H_02,55.738953,-133.313514,1,B,Unknown,7/25/18,7/25/18,0.032,0.546,0.191
2018H02-5m-A,2018_H_02,55.738953,-133.313514,5,A,Unknown,7/25/18,7/25/18,0.057,1.066,0.290
2018H02-5m-B,2018_H_02,55.738953,-133.313514,5,B,Unknown,7/25/18,7/25/18,0.057,1.042,0.280
2018H03-1m-A,2018_H_03,55.706493,-133.341566,1,A,Unknown,7/25/18,7/25/18,0.001,0.212,0.113
2018H03-1m-B,2018_H_03,55.706493,-133.341566,1,B,Unknown,7/25/18,7/25/18,0.017,0.249,0.128
2018H03-5m-A,2018_H_03,55.706493,-133.341566,5,A,Unknown,7/25/18,7/25/18,0.005,0.198,0.107
2018H03-5m-B,2018_H_03,55.706493,-133.341566,5,B,Unknown,7/25/18,7/25/18,0.000,0.178,0.117
2018L01-1m-A,2018_L_01,55.229743,-132.924047,1,A,Unknown,7/24/18,7/24/18,0.001,0.158,0.135
2018L01-1m-B,2018_L_01,55.229743,-132.924047,1,B,Unknown,7/24/18,7/24/18,-0.003,0.209,0.148
2018L01-5m-A,2018_L_01,55.229743,-132.924047,5,A,Unknown,7/24/18,7/24/18,0.012,0.166,0.309
2018L01-5m-A -DUP,2018_L_01,55.229743,-132.924047,5,C,Unknown,7/24/2018,7/24/18 - DUP,0.011,0.170,0.296
2018L01-5m-B,2018_L_01,55.229743,-132.924047,5,B,Unknown,7/24/18,7/24/18,0.009,0.290,0.189
2018L02-1m-A,2018_L_02,55.249258,-132.881141,1,A,Unknown,7/24/18,7/24/18,-0.004,0.167,0.247
2018L02-1m-B,2018_L_02,55.249258,-132.881141,1,B,Unknown,7/24/18,7/24/18,-0.008,0.064,0.092
2018L02-5m-A,2018_L_02,55.249258,-132.881141,5,A,Unknown,7/24/18,7/24/18,0.022,0.411,0.234
2018L02-5m-B,2018_L_02,55.249258,-132.881141,5,B,Unknown,7/24/18,7/24/18,0.016,0.301,0.285
2018L03-1m-A,2018_L_03,55.189095,-132.84324,1,A,Unknown,7/24/18,7/24/18,0.003,0.174,0.134
2018L03-1m-A,2018_L_03,55.189095,-132.84324,1,A,Unknown,7/18/18,7/18/18,0.028,0.850,0.293
2018L03-1m-B,2018_L_02,55.249258,-132.881141,1,B,Unknown,7/24/18,7/24/18,-0.009,0.168,0.175
2018L03-1m-B,2018_L_03,55.189095,-132.84324,1,B,Unknown,7/18/18,7/18/18,0.007,0.806,0.313
2018L03-5m-A,2018_L_03,55.189095,-132.84324,5,A,Unknown,7/24/18,7/24/18,0.000,0.193,0.111
2018L03-5m-A,2018_L_03,55.189095,-132.84324,5,A,Unknown,7/18/18,7/18/18,0.024,0.796,0.214
2018L03-5m-B,2018_L_03,55.189095,-132.84324,5,B,Unknown,7/24/18,7/24/18,0.004,0.205,0.113
2018L03-5m-B,2018_L_03,55.189095,-132.84324,5,B,Unknown,7/18/18,7/18/18,0.030,0.873,0.331
