species_common,species_scientific,sp_code,a,b,reference,notes
Baltic macoma,Macoma baltica,CLAMMB,0.0046,2.5212,Oftedal et al 2007,used Macoma nasuta values
Bentnose macoma,Macoma nasuta,CLAMMB,0.0046,2.5212,Oftedal et al 2007,used Macoma nasuta values
Butter clam,Saxidomus gigantea,CLAMBU,0.00006742,3.319,Bradbury et al 2005,
Butter clam,Saxidomus gigantea,CLAMBU,0.000132,3.167,Bradbury et al 2005,
Butter clam,Saxidomus gigantea,CLAMBU,0.0006571,2.827531,Bradbury et al 2005,
Butter clam,Saxidomus gigantea,CLAMBU,0.00007324,3.31,Bradbury et al 2005,
Cockle,Clinocardium nuttalli,CLAMCK,0.0002298,3.074,Bradbury et al 2005,
Cockle,Clinocardium nuttalli,CLAMCK,0.0006184,2.848,Bradbury et al 2005,
Cockle,Clinocardium nuttalli,CLAMCK,0.000462,2.914,Bradbury et al 2005,
Hiatella calm,Hiatella sp,CALMHI,0.166,3.135,Robinson et al 2010,convert to cm
Horse clam,Tresus nuttallii,CLAMHO,0.0002,2.073,Lauzier et al 1998,combination of T. nattuallii and T. capax
Pointed macoma,Macoma inquinata,CLAMMP,0.0046,2.5212,Oftedal et al 2007,used Macoma nasuta values
Softshell clam,Mya arenaria,CLAMSS,0.0003333,2.837202,Bradbury et al 2005,
Softshell clam,Mya arenaria,CLAMSS,0.000146,3.023,Bradbury et al 2005,
Softshell clam,Mya arenaria,CLAMSS,0.000356,2.823295,Bradbury et al 2005,
Softshell clam,Mya arenaria,CLAMSS,0.0002341,2.899,Bradbury et al 2005,
Steamer clam,Protothaca staminea,CLAMST,0.00046,2.708,Oftedal et al 2007,
