sp_code,site,place_name,date_set,YYYYMMDD_set,time_set,date_pulled,YYYYMMDD_pulled,time_pulled,time_soak_hr,trap_type,string,species_common,species_scientific,taxon,carapace_width_mm,sex,mass_g
CRABDUN,2018_H_01,Kaguk Cove,7/21/2018,20180721,1430,7/22/2018,20180722,1500,24.5,minnow,2,Graceful crab,Metacarcinus gracilis,Decapoda,52,M,31.0134628
CRABDUN,2018_H_01,Kaguk Cove,7/21/2018,20180721,1430,7/22/2018,20180722,1500,24.5,minnow,2,Graceful crab,Metacarcinus gracilis,Decapoda,67,M,54.09362743
CRABDUN,2018_H_02,Gaktu Cove,7/21/2018,20180721,1400,7/22/2018,20180722,1425,24.45,minnow,4,Graceful crab,Metacarcinus gracilis,Decapod,51,M,29.71941802
CRABDUN,2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Graceful crab,Metacarcinus gracilis,Decapoda,57,M,37.93710982
CRABDUN,2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Graceful crab,Metacarcinus gracilis,Decapoda,60,M,42.45791865
CRABDUN,2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Graceful crab,Metacarcinus gracilis,Decapoda,61,M,44.02658257
CRABDUN,2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Graceful crab,Metacarcinus gracilis,Decapoda,54,M,33.69190632
CRABDUN,2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Graceful crab,Metacarcinus gracilis,Decapoda,60,M,42.45791865
CRABDUN,2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Graceful crab,Metacarcinus gracilis,Decapoda,51,F,29.71941802
CRABDUN,2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Graceful crab,Metacarcinus gracilis,Decapoda,69,M,57.70113957
