"sp_code","site","place_name","date_set","YYYYMMDD_set","time_set","date_pulled","YYYYMMDD_pulled","time_pulled","time_soak_hr","trap_type","string","species_common","species_scientific","taxon","carapace_width_mm","sex","mass_g"
"CRABDUN","2018_H_01","Kaguk Cove",2018-07-21,20180721,1430,2018-07-22,20180722,1500,24.5,"minnow",2,"Dungeness crab","Metacarcinus magister","Decapoda",52,"M",31.0134628032229
"CRABDUN","2018_H_01","Kaguk Cove",2018-07-21,20180721,1430,2018-07-22,20180722,1500,24.5,"minnow",2,"Dungeness crab","Metacarcinus magister","Decapoda",67,"M",54.0936274343286
"CRABDUN","2018_H_02","Gaktu Cove",2018-07-21,20180721,1400,2018-07-22,20180722,1425,24.45,"minnow",4,"Dungeness crab","Metacarcinus magister","Decapod",51,"M",29.7194180194087
"CRABDUN","2018_H_03","Nossuk Bay",2018-07-21,20180721,1310,2018-07-22,20180722,1325,24.25,"minnow",1,"Dungeness crab","Metacarcinus magister","Decapoda",57,"M",37.9371098232429
"CRABDUN","2018_H_03","Nossuk Bay",2018-07-21,20180721,1310,2018-07-22,20180722,1325,24.25,"minnow",1,"Dungeness crab","Metacarcinus magister","Decapoda",60,"M",42.4579186455904
"CRABDUN","2018_H_03","Nossuk Bay",2018-07-21,20180721,1310,2018-07-22,20180722,1325,24.25,"minnow",1,"Dungeness crab","Metacarcinus magister","Decapoda",61,"M",44.0265825670941
"CRABDUN","2018_H_03","Nossuk Bay",2018-07-21,20180721,1310,2018-07-22,20180722,1325,24.25,"minnow",1,"Dungeness crab","Metacarcinus magister","Decapoda",54,"M",33.6919063236521
"CRABDUN","2018_H_03","Nossuk Bay",2018-07-21,20180721,1310,2018-07-22,20180722,1325,24.25,"minnow",1,"Dungeness crab","Metacarcinus magister","Decapoda",60,"M",42.4579186455904
"CRABDUN","2018_H_03","Nossuk Bay",2018-07-21,20180721,1310,2018-07-22,20180722,1325,24.25,"minnow",1,"Dungeness crab","Metacarcinus magister","Decapoda",51,"F",29.7194180194087
"CRABDUN","2018_H_03","Nossuk Bay",2018-07-21,20180721,1310,2018-07-22,20180722,1325,24.25,"minnow",1,"Dungeness crab","Metacarcinus magister","Decapoda",69,"M",57.7011395688381
"CRABDUN","2018_H_03","Nossuk Bay",2018-07-21,20180721,1310,2018-07-22,20180722,1325,24.25,"minnow",1,"Dungeness crab","Metacarcinus magister","Decapoda",65,"M",50.6125300439617
"CRABDUN","2018_H_03","Nossuk Bay",2018-07-21,20180721,1310,2018-07-22,20180722,1325,24.25,"minnow",1,"Dungeness crab","Metacarcinus magister","Decapoda",55,"F",35.0765271478837
"CRABDUN","2018_H_03","Nossuk Bay",2018-07-21,20180721,1310,2018-07-22,20180722,1325,24.25,"minnow",1,"Dungeness crab","Metacarcinus magister","Decapoda",64,"M",48.9191549201151
"CRABDUN","2018_H_03","Nossuk Bay",2018-07-21,20180721,1310,2018-07-22,20180722,1325,24.25,"minnow",1,"Dungeness crab","Metacarcinus magister","Decapoda",58,"M",39.4132841292962
"CRABDUN","2018_H_02","Gaktu Cove",2018-07-21,20180721,1400,2018-07-22,20180722,1425,24.45,"minnow",1,"Dungeness crab","Metacarcinus magister","Decapoda",51,"M",29.7194180194087
"CRABDUN","2018_H_03","Nossuk Bay",2018-07-21,20180721,1310,2018-07-22,20180722,1325,24.25,"minnow",2,"Dungeness crab","Metacarcinus magister","Decapoda",48,"F",26.0166223556409
"CRABDUN","2018_H_03","Nossuk Bay",2018-07-21,20180721,1310,2018-07-22,20180722,1325,24.25,"minnow",2,"Dungeness crab","Metacarcinus magister","Decapoda",59,"M",40.9201862198533
"CRABDUN","2018_H_03","Nossuk Bay",2018-07-21,20180721,1310,2018-07-22,20180722,1325,24.25,"minnow",2,"Dungeness crab","Metacarcinus magister","Decapoda",55,"M",35.0765271478837
"CRABDUN","2018_H_03","Nossuk Bay",2018-07-21,20180721,1310,2018-07-22,20180722,1325,24.25,"minnow",2,"Dungeness crab","Metacarcinus magister","Decapoda",51,"M",29.7194180194087
"CRABDUN","2018_H_03","Nossuk Bay",2018-07-21,20180721,1310,2018-07-22,20180722,1325,24.25,"minnow",2,"Dungeness crab","Metacarcinus magister","Decapoda",59,"M",40.9201862198533
"CRABDUN","2018_H_03","Nossuk Bay",2018-07-21,20180721,1310,2018-07-22,20180722,1325,24.25,"minnow",3,"Dungeness crab","Metacarcinus magister","Decapoda",50,"F",28.4553402905669
"CRABDUN","2018_H_03","Nossuk Bay",2018-07-21,20180721,1310,2018-07-22,20180722,1325,24.25,"minnow",4,"Dungeness crab","Metacarcinus magister","Decapoda",57,"M",37.9371098232429
"CRABDUN","2018_H_03","Nossuk Bay",2018-07-21,20180721,1310,2018-07-22,20180722,1325,24.25,"minnow",1,"Dungeness crab","Metacarcinus magister","Decapoda",56,"M",36.4915593173524
"CRABDUN","2018_L_02","Natzuhini",2018-07-28,20180728,1211,2018-07-29,20180729,1158,23.2,"minnow",1,"Dungeness crab","Metacarcinus magister","Decapoda",33,"M",11.4309090083544
"CRABDUN","2018_H_03","Nossuk Bay",2018-07-21,20180721,1310,2018-07-22,20180722,1325,24.25,"minnow",4,"Dungeness crab","Metacarcinus magister","Decapoda",56,"M",36.4915593173524
"CRABDUN","2018_L_01","North Pass",2018-07-28,20180728,1144,2018-07-29,20180729,1110,23.5,"minnow",2,"Dungeness crab","Metacarcinus magister","Decapoda",68,"F",55.8815358255716
"CRABDUN","2018_H_03","Nossuk Bay",2018-07-21,20180721,1310,2018-07-22,20180722,1325,24.25,"minnow",1,"Dungeness crab","Metacarcinus magister","Decapoda",56,"M",36.4915593173524
