"site","total_crab","crab_width","crab_width_se","crab_mass","crab_mass_se","shan_divese","simp_divese"
"2017_H_01",26,52.3076923076923,2.72129450574212,41.5881614357736,4.09906506420948,0.58249224388496,0.393491124260355
"2017_H_02",7,50.5714285714286,2.12532510518299,35.595473266231,2.39489445174526,0.682908104700472,0.489795918367347
"2017_H_03",2,52.5,1.5,31.7056621715304,1.98624415212173,0,0
"2017_H_04",5,48.8,1.93390796058137,29.710953551193,4.07695108420089,0.500402423538188,0.32
"2017_H_05",11,51.9090909090909,3.65676097474887,33.3059436985286,4.90816117236451,0.304636097349238,0.165289256198347
"2017_H_06",10,45,4.03870166156292,27.6658070658269,3.7843016328822,1.27985422583367,0.7
"2017_H_07",10,70.2,5.06140077229395,61.7191687992567,9.38626859522057,0.943348392329039,0.58
"2017_L_01",17,64.4117647058823,7.85440061344848,63.7218216092925,16.568816662005,0.752974682765889,0.442906574394464
"2017_L_02",23,118.608695652174,7.22444771483103,211.50373292169,26.4404009983905,0.691502198054099,0.404536862003781
"2017_L_03",14,105.428571428571,8.62064624034973,161.501458129117,27.7168557225158,0.89820533970415,0.561224489795918
"2017_L_04",13,116.923076923077,12.1145502358186,215.641272237829,42.7823605298111,0.666278442414676,0.473372781065089
"2017_L_05",16,NA,6.94600776054302,NA,21.9266107468113,0.601923971732289,0.3203125
"2017_L_06",16,98.0625,4.14775918418608,122.032538793849,10.9039135976118,0.562335144618808,0.375
"2017_L_07",13,90.5384615384615,5.16598264861955,104.720140364026,12.0732665202511,0.690185676018804,0.497041420118343
"2017_M_02",24,119.666666666667,4.6864229841611,197.124454472106,13.66087317871,0.173205206749177,0.0798611111111109
"2017_M_03",1,23,NA,7.52640791011505,NA,0,0
"2017_M_04",14,93.2142857142857,5.39961188209274,114.232928830294,13.8486070193459,0.796311640173813,0.448979591836735
"2017_M_05",6,69.6666666666667,4.78655524475704,65.3121391344362,11.3588703928525,0.450561208866305,0.277777777777778
"2017_M_06",9,88.5555555555556,6.2563547940188,96.8624522491682,13.4939882190793,0.529706199057654,0.345679012345679
"2017_M_07",13,57.9230769230769,3.28840530766139,41.302663277548,4.61665003141646,0.535961049709069,0.272189349112426
"2017_M_08",17,77.7647058823529,6.88269858357807,88.1146580926603,18.7416850914977,0.790234755343283,0.394463667820069
