"site","date_set","date_pulled","date_set_julian","date_pulled_julian","time_soak_hr","total_crab","crab_width","crab_width_se","crab_mass","crab_mass_se","shan_diverse","simp_diverse"
"2017_H_01",2017-05-29,2017-05-30,"149","150",20.95,26,52.3076923076923,2.72129450574212,41.5881614357736,4.09906506420948,0.58249224388496,0.393491124260355
"2017_H_02",2017-05-29,2017-05-30,"149","150",23.83,7,50.5714285714286,2.12532510518299,35.595473266231,2.39489445174526,0.682908104700472,0.489795918367347
"2017_H_03",2017-06-24,2017-06-25,"175","176",24.78,2,52.5,1.5,31.7056621715304,1.98624415212173,0,0
"2017_H_04",2017-06-24,2017-06-25,"175","176",24.78,5,48.8,1.93390796058137,29.710953551193,4.07695108420089,0.500402423538188,0.32
"2017_H_05",2017-08-08,2017-08-09,"220","221",28.55,11,51.9090909090909,3.65676097474887,33.3059436985286,4.90816117236451,0.304636097349238,0.165289256198347
"2017_H_06",2014-08-08,2017-08-09,"220","221",24.3,10,45,4.03870166156292,27.6658070658269,3.7843016328822,1.27985422583367,0.7
"2017_H_07",2017-08-06,2017-08-07,"218","219",23.97,10,70.2,5.06140077229395,61.7191687992567,9.38626859522057,0.943348392329039,0.58
"2017_L_01",2017-05-26,2017-05-27,"146","147",23.32,17,64.4117647058823,7.85440061344848,63.7218216092925,16.568816662005,0.752974682765889,0.442906574394464
"2017_L_02",2017-05-26,2017-05-27,"146","147",23.42,23,118.608695652174,7.22444771483103,211.50373292169,26.4404009983905,0.691502198054099,0.404536862003781
"2017_L_03",2017-05-26,2017-05-26,"146","146",23.42,14,105.428571428571,8.62064624034973,161.501458129117,27.7168557225158,0.89820533970415,0.561224489795918
"2017_L_04",2017-06-27,2017-06-28,"178","179",23.92,13,116.923076923077,12.1145502358186,215.641272237829,42.7823605298111,0.666278442414676,0.473372781065089
"2017_L_05",2017-06-27,2017-06-28,"178","179",24.05,16,NA,6.94600776054302,NA,21.9266107468113,0.601923971732289,0.3203125
"2017_L_06",2017-08-10,2017-08-11,"222","223",25.17,16,98.0625,4.14775918418608,122.032538793849,10.9039135976118,0.562335144618808,0.375
"2017_L_07",2017-08-10,2017-08-11,"222","223",26.92,13,90.5384615384615,5.16598264861955,104.720140364026,12.0732665202511,0.690185676018804,0.497041420118343
"2017_M_02",2017-05-10,2017-05-11,"130","131",24,24,119.666666666667,4.6864229841611,197.124454472106,13.66087317871,0.173205206749177,0.0798611111111109
"2017_M_03",2017-05-24,2017-05-25,"144","145",23.83,1,23,NA,7.52640791011505,NA,0,0
"2017_M_04",2017-06-20,2017-06-21,"171","172",24.05,14,93.2142857142857,5.39961188209274,114.232928830294,13.8486070193459,0.796311640173813,0.448979591836735
"2017_M_05",2017-06-20,2017-06-21,"171","172",24,6,69.6666666666667,4.78655524475704,65.3121391344362,11.3588703928525,0.450561208866305,0.277777777777778
"2017_M_06",2017-08-06,2017-08-07,"218","219",20.28,9,88.5555555555556,6.2563547940188,96.8624522491682,13.4939882190793,0.529706199057654,0.345679012345679
"2017_M_07",2017-08-06,2017-08-07,"218","219",26.05,13,57.9230769230769,3.28840530766139,41.302663277548,4.61665003141646,0.535961049709069,0.272189349112426
"2017_M_08",2017-08-12,2017-08-13,"224","225",24.4,17,77.7647058823529,6.88269858357807,88.1146580926603,18.7416850914977,0.790234755343283,0.394463667820069
