"site","sp_code","total_crab_sp","width","width_se","mass","mass_se"
"2018_H_01","CRABDUN",4,60.75,3.25,44.1210409508142,4.9753472201355
"2018_H_01","CRABHEL",11,44.4545454545455,1.65893523553588,31.6258352094909,2.49322956346159
"2018_H_02","CRABDUN",2,53.5,2.5,33.1054886683805,3.38607064897186
"2018_H_02","CRABHEL",5,45.8,2.51793566240283,33.6450100599512,3.77397952301456
"2018_H_03","CRABDUN",28,57.75,0.929562962680475,39.3996807894292,1.39254704582476
"2018_L_01","CRABDUN",3,109.666666666667,28.0376730687679,187.084191325416,98.83957829363
"2018_L_01","CRABRR",17,137,4.94157036245148,269.040620198496,22.420307085769
"2018_L_02","CRABDUN",2,61.5,28.5,57.4084154909985,45.9775064826441
"2018_L_02","CRABRR",19,146.473684210526,3.18473003349934,310.449071323029,15.5974431090495
"2018_L_03","CRABRR",16,144.3125,2.47944676288885,297.173112174674,12.2917459109141
