"site","place_name","date","date_julian","latitude","longitude","site_start_time","site_end_time","tide_height_m","tide_time","secondary_observer","transect_start_time","transect_end_time","depth_m","dens_surv_avg","pop_mod_dens","n_pits","prop_otter_shells","sea_otter_index_tr","dissolved_02_mg.l_surface","dissolved_02_percent_surface","specific_conductivity_surface","salinity_ppt_surface","temperature_C_surface","dissolved_02_mg.l_transect","dissolved_02_percent_transect","specific_conductivity_transect","salinity_ppt_transect","temperature_C_transect","light_intensity_umol.m2.sec_air","light_intensity_umol.m2.sec_surface","light_intensity_umol.m2.sec_transect","shoot_dens","shoot_dens_se","macro_dens","macro_dens_se","diatom_dens","diatom_dens_se","flower_dens","flower_dens_se","shoot_area","shoot_area_se","epi_mass","epi_mass_se","shoot_mass","shoot_mass_se","rhi_mass","rhi_mass_se","node1","node1_se","node2","node2_se","node3","node3_se","node4","node4_se","node5","node5_se","exshoot_mass","exshoot_mass_se","exepi_mass","exepi_mass_se","abvgnd_mass","abvgnd_mass_se","blwgnd_mass","blwgnd_mass_se","epiphmass_shootarea","epiphmass_shootarea_se","epiphmass_shootmass","epiphmass_shootmass_se","grazer_mass","grazer_mass_se","crus_mass","crus_mass_se","gast_mass","gast_mass_se","grazermass_shootmass","grazermass_shootmass_se","crusmass_shootmass","crusmass_shootmass_se","gastmass_shootmass","gastmass_shootmass_se"
"2017_H_01","Salt Lake Bay",2017-04-29,"119",55.67264,-133.378,900,1130,-0.71,938,"WR",1055,1115,-0.5,7.594936709,3.663,114,0.487179487,0.884804316,12.8,NA,NA,6,8,13.3,NA,NA,28,8,591,341,219,226.5,14.2214626533279,0.625,0.625,NA,NA,0,0,22.38725,2.10706986586654,0.0070025,0.000596542867577129,0.04945,0.0049793588227516,0.046415963093431,0.00396726771697443,0.51,0.0290320020470023,0.44,0.0485504156227612,0.34,0.029277002188456,0.2725,0.0135949045076245,0.240625,0.0191897829028143,0.2217375,0.0568260344557342,NA,NA,11.09021,1.12087696084679,10.3947389775113,0.888183346288338,0.000329030791289687,4.05202293086792e-05,0.149941349715292,0.0186371310340978,0.00304999999999999,0.000581561936266715,0.00278749999999999,0.000476384261164994,0.000262499999999999,0.000248522419224389,0.0129888898907851,0.00296000602945795,0.0117344666392101,0.00238548228307462,0.00125442325157498,0.00117947177855435
"2017_H_02","Nossuk Bay",2017-05-29,"149",55.7073,-133.342,1030,1300,-0.53,1048,"CM",1135,1205,-0.5,5.825242718,3.663,23,0.378548896,0.639417387,10.58,115.6,47004,30.4,10.9,10.72,116.6,47741,30.9,10.3,438.4,235.5,145.4,245,20.3505001693535,0,0,44.75,11.7241356671977,0,0,76.859,7.71111097239376,0.011245,0.000508509727396779,0.18315,0.0206005301596134,0.0835714293523014,0.00628970958722539,1.13,0.0698978847012861,1.295,0.157105515043689,0.761875,0.0842240713598468,0.548333333333333,0.0779066392834683,0.357083333333333,0.0474767591430814,1.4231625,0.299008835235862,NA,NA,46.13512,7.86322844045262,20.4727069396882,2.47689577484132,0.00015665325353939,1.64943696890277e-05,0.0671494678662051,0.00818006034715337,0.0194,0.00796445227244158,0.0103,0.00710995278264409,0.00909999999999999,0.00319413525073688,0.00971583660210464,0.00309585998202058,0.0043634750406555,0.00289644864149664,0.00535236156144914,0.00125533700816402
"2017_H_03","Chusini Cove",2017-06-25,"176",55.80692,-133.171,820,1120,-1.1,830,"CM",1000,1030,-0.5,5.003411417,3.663,3,0.352201258,0.429366707,8.68,98.8,4549.4,29.4,12.9,8.95,101.4,45527,29.5,12.8,298.7,245.5,138.8,220.5,25.4045833884923,0,0,100,0,6,1.30930734141595,158.24525,13.3940281145714,0.00219999999999999,0.00106562523565142,0.43073,0.0438237839860634,0.0806416666666666,0.0109106561243352,1.26,0.0574456264653803,1.89458333333333,0.100668277935702,1.53541666666667,0.112442114737614,0.95,0.0984250984251476,0.466666666666667,0.0889756521002609,2.269175,0.31912141260364,NA,NA,95.5658,13.0704923699585,17.85511,2.70906566853645,1.13707727549244e-05,5.08337392353585e-06,0.00404510154338462,0.0017747835244016,0.16905,0.0310105915086166,0.029875,0.0164099245884922,0.139175,0.0299308772125757,0.0614183151341762,0.00909695214849085,0.0111295540255947,0.00641801393806313,0.0502887611085815,0.00812705581366379
"2017_H_04","Kaguk Cove",2017-06-24,"175",55.73361,-133.29,745,1010,-1.03,743,"CM",923,1050,-0.61,13.22081575,3.663,49,0.41025641,0.879956113,9.55,104.5,44498,28.9,11.7,10.03,108.2,47365,30.6,11,786.2,452.8,245.5,180.5,17.22850627801,0,0,91.25,4.88711863693,0,0,161.435,14.0875210584201,0.00720749999999999,0.00164127971630154,0.414075,0.0491791466767892,0.0944551386822397,0.00617437472859371,1.3175,0.113605677675018,1.52166666666667,0.0565088839763622,1.16979166666667,0.0464497910147878,0.610416666666667,0.0539084964737795,0.55,0.0968245836551854,3.9841125,0.77738701256138,0.0337,NA,74.62484,10.8116536910555,16.9353364873779,1.68994011066803,4.87096150266616e-05,1.26242915616398e-05,0.0206350039274487,0.00593679856096545,0.1243625,0.060148076021658,0.0721,0.0468160114551788,0.0522625,0.014979795171926,0.023960361152524,0.00776426903262132,0.0121434778128823,0.00654017364391945,0.0118168833396417,0.00193119110972269
"2017_H_05","Naukati Bay",2017-07-25,"206",55.862405,-133.190722,730,1000,-0.78,855,"CM",1030,1110,-0.65,1.744673712,3.663,83,0.399305556,0.573575894,11.62,135.3,44808,29,14.1,10.7,124.4,45655,29.7,13.7,363.4,219.6,71.1,205,12.5527458578364,0,0,100,0,2.5,1.0522085616183,143.7985,7.55210581559872,0.014115,0.00047783365306349,0.4093125,0.0386159883500345,0.0719651136363636,0.00180657012866823,1.44,0.108430359480834,1.60125,0.124648613252271,1.30190476190476,0.115626528303928,1.19444444444444,0.0745976863904961,1,0,1.3053625,0.24939594733898,NA,NA,83.53737,8.26719077818111,14.7467522727273,0.95522392465115,0.000100010415122419,6.35976574235474e-06,0.0363577980711993,0.0033950252773557,0.1093375,0.0271078331951433,0.0138125,0.00931951557409045,0.095525,0.022309453073273,0.0610208431418146,0.0114613926621288,0.00627009143490637,0.00322677666546296,0.0547507517069082,0.0110070546265755
"2017_H_06","Guktu Bay",2017-07-24,"205",55.739816,-133.312022,720,930,-0.69,855,"CM",850,925,-0.7,13.75178317,3.663,244,0.368534483,1.021359724,8.8,99,48220,31.3,12,8.5,92,48250,31.4,11.8,560.4,380.1,215.2,186,28.2337184434296,0,0,96.5,2.03540097839643,2,1.0690449676497,179.2525,14.9377045126466,0.03219,0.00219051526880256,0.51724,0.0537399766069384,0.087455,0.00509247589236176,1.5625,0.150163601258285,1.80875,0.118795104216101,1.36395833333333,0.0765410056481813,0.82,0.125374439181198,0.7,0.15,3.5366125,1.00982551718416,0.0304000000000001,NA,101.21096,20.6219999251895,16.26161,2.53175638626908,0.000185920440898251,1.63980165984897e-05,0.0657489911726187,0.00625451751486788,0.026225,0.00774377053784892,0.00405,0.00338373209003651,0.022175,0.00742867874235673,0.00820507368919677,0.00275926924768285,0.000886544014791095,0.000611925298561586,0.00731852967440568,0.00274698227209808
"2017_H_07","Blanquizal Point",2017-08-20,"232",55.62082,-133.38664,615,830,-0.55,620,"CM",745,815,-0.52,3.924914676,1.443,128,0.509433962,0.465362084,8.24,92.6,47300,30.7,12.9,8.22,93.1,47185,30.6,12.9,131.22,98.18,42.58,401,34.7377933339797,0.375,0.375,15,2.11288563682129,1.5,0.7319250547114,115.8895,9.6250596194814,0.010155,0.00111537789880509,0.38801,0.033959205148026,0.122538777223648,0.00932518170802766,1.03,0.119043809462855,1.2475,0.13314532876308,1.07375,0.0989717722704267,0.845,0.0479800305682826,0.761111111111111,0.0202986954516057,1.098275,0.20836924621416,NA,NA,155.92882,19.9513024983748,48.3587242966536,4.20260631380962,9.38763502723841e-05,1.58661272198392e-05,0.0282026584456005,0.0048191981856083,0.0561625,0.0185776068878252,0.0262125,0.0131904109854199,0.02995,0.00730687054373191,0.0370990656800115,0.00972654714382849,0.0131075360568476,0.00571845079238808,0.0239915296231639,0.00783848388603357
"2017_L_01","Soda Bay",2017-04-30,"120",55.26366,-132.995,1025,1300,-0.48,1048,"BH",1149,1210,-0.5,0.679117148,1.443,0,0.190909091,-0.373602393,12.7,NA,NA,15,10,10.9,NA,NA,30,10,785,605,460,143.5,21.4800571959866,0,0,15.875,2.3256143581551,0,0,14.9215,1.78596455531938,0.00767666666666667,0.000494275564167731,0.04980625,0.00365532240980777,0.0512945873847655,0.00178876427256616,0.47125,0.0436478399072787,0.36375,0.0530477379348074,0.30125,0.0747002940326973,0.23,0.0546416899968722,0.176190476190476,0.0131132632078241,0.13125,0.0364290994359494,NA,NA,6.858815,0.852645296539373,7.2776018374007,0.990400764669375,0.000632171093827707,0.000131047686091968,0.153323350437291,0.00942416096063411,0.000412499999999996,0.000278027169792551,0,0,0.000412499999999996,0.000278027169792551,0.00279624376780305,0.0018382464225909,0,0,0.00279624376780305,0.0018382464225909
"2017_L_02","Goats mouth inlet",2017-05-27,"147",55.19286,-132.9,730,1100,-0.91,854,"CM",1012,1040,-0.5,0,1.443,2,0.055555556,-0.470198163,9.88,109.1,47115,30.6,11.3,10.14,112.3,47300,30.7,11.1,2100,1647.3,1166.5,232,24.2015347801392,13.375,3.73658314124396,20,2.29128784747792,0.5,0.5,40.41175,5.26157122699919,0.0032725,0.00122530426250556,0.11701,0.0148454471135092,0.10191305166625,0.00717678473483555,0.8325,0.0535773806217299,1.13,0.0810643483377777,0.741875,0.0503198475114087,0.574791666666667,0.0280260605409402,0.380208333333333,0.0406707617717598,0.7286375,0.135616860437121,NA,NA,26.4319,3.77304915213147,23.9100043619937,3.53895385418801,8.67561559009588e-05,3.54787766718987e-05,0.0305661969512558,0.0129285790266554,0.015775,0.00868450487938144,0.0137375,0.00881103077924809,0.00203750000000001,0.000929081247408272,0.0167304687838846,0.0099213472653123,0.0145431083187229,0.0102298263904353,0.0021873604651617,0.000917690067982636
"2017_L_03","North Pass",2017-05-26,"146",55.22962,-132.925,655,1000,-0.88,755,"BH, CM",935,1000,-0.5,0,1.443,1,0.122807018,-0.457984853,9.74,104.9,46392,30,10.3,9.87,105,46422,30,9.9,2181,1680.4,1082.9,93,10.4129040823668,0,0,96.25,2.63052140404576,0,0,70.83575,8.68795790108766,0.0220225,0.00697292359006301,0.1611325,0.0201063955487871,0.0723117887487316,0.0038202500075577,1.235,0.0891026695126791,1.015,0.113247516529061,0.622083333333333,0.0728145543514264,0.427708333333333,0.0562589829687894,0.366666666666667,0.0586936152932368,0.8523375,0.138359158581544,NA,NA,14.07962,1.49698875237687,6.48743787543988,0.510018198720415,0.000351261640242918,0.000131985866237122,0.154489924265643,0.0579092835056921,0.027925,0.011557414904974,0.00916249999999998,0.00725738386305384,0.0187625,0.00975128082246487,0.0222143378322672,0.00836198724402474,0.00572454966400235,0.00388084861653771,0.0164897881682648,0.00819305793019998
