"site","quadrat","place_name","date","latitude","longitude","start_time_site","end_time_site","tide_height_m","tide_time","weather","freshwater","sediment_description","general_description","dissolved_02_mg.l_surface","dissolved_02_percent_surface","specific_conductivity_surface","salinity_ppt_surface","temperature_C_surface","dissolved_02_mg.l_transect","dissolved_02_percent_transect","specific_conductivity_transect","salinity_ppt_transect","temperature_C_transect","light_intensity_umol.m2.sec_air","light_intensity_umol.m2.sec_surface","light_intensity_umol.m2.sec_transect","sediment_core_A_internal_cm","light_attenu","date_julian","n_surv1","n_surv2","dens_surv1","dens_surv2","sea_otter_duration","pop_mod_dens","n_pits","prop_otter_shells","sea_otter_index","sed1_type","sed1_no","start_time_transect","end_time_transect","depth_m","macroalgae_cover_0.25msq","diatom_cover_0.25msq","eelgrass_shoots_0.25msq","flowering_shoots_0.25msq","notes","eelgrass_shoots_msq","flowering_shoots_msq","macroalgae_cover_msq","diatom_cover_msq","shoot_area","epi_mass","shoot_mass","rhi_mass","node1","node2","node3","node4","node5","exshoot_mass","exepi_mass","iso_mass","gamm_mass","caprel_mass","limp_mass","gast_mass","crab_mass","crust_mass","gastro_mass","graz_massT","ag_mass","bg_mass","agbg_mass","epimass_shootarea","epimass_shootmass","shoot_areaT","grazmass_shootmass","crustmass_shootmass"
"2017_H_01",1,"Salt Lake Bay",2017-04-29,55.67264,-133.378,900,1130,-0.71,938,"cloudy, light wind, cool","stream near one end of transect","fine sand/mud. Lots of clam shells","Gradually slopping back of bay. Eelgrass extensive, pits throughout",12.8,NA,NA,6,8,13.3,NA,NA,28,8,591,341,219,27,0.642228739002933,"119",90,48,9.94475138121547,5.30386740331492,14,2.877,114,0.487179487179487,0.997792222370852,"Mud",1,1055,1115,-0.5,5,NA,54,0,NA,216,0,5,NA,15.952,0.00399999999999999,0.03844,0.0381721739130435,0.42,0.34,0.32,0.28,0.24,0.5913,NA,0,0.00189999999999996,0,0,0,0,0.00189999999999996,0,0.00189999999999996,8.30304,8.24518956521739,1.0070162649779,0.00025075225677031,0.104058272632674,3445.632,0.00301711817575501,0.00301711817575501
"2017_H_01",2,"Salt Lake Bay",2017-04-29,55.67264,-133.378,900,1130,-0.71,938,"cloudy, light wind, cool","stream near one end of transect","fine sand/mud. Lots of clam shells","Gradually slopping back of bay. Eelgrass extensive, pits throughout",12.8,NA,NA,6,8,13.3,NA,NA,28,8,591,341,219,27,0.642228739002933,"119",90,48,9.94475138121547,5.30386740331492,14,2.877,114,0.487179487179487,0.997792222370852,"Mud",1,1055,1115,-0.5,0,NA,41,0,NA,164,0,0,NA,28.986,0.00640000000000001,0.0755,0.0626181400966184,0.54,0.46,0.32,0.24,0.24,0.1692,NA,0,0.00479999999999997,0,0,0,0,0.00479999999999997,0,0.00479999999999997,12.382,10.2693749758454,1.20572089626912,0.00022079624646381,0.0847682119205299,4753.704,0.0196158561503881,0.0196158561503881
"2017_H_01",3,"Salt Lake Bay",2017-04-29,55.67264,-133.378,900,1130,-0.71,938,"cloudy, light wind, cool","stream near one end of transect","fine sand/mud. Lots of clam shells","Gradually slopping back of bay. Eelgrass extensive, pits throughout",12.8,NA,NA,6,8,13.3,NA,NA,28,8,591,341,219,27,0.642228739002933,"119",90,48,9.94475138121547,5.30386740331492,14,2.877,114,0.487179487179487,0.997792222370852,"Gravel",7,1055,1115,-0.5,0,NA,59,0,NA,236,0,0,NA,16.966,0.00850000000000004,0.03678,0.03494,0.44,0.36,0.26,0.26,0.2,0.1738,NA,0,0.00190000000000001,0.00159999999999999,0.002,0,0,0.0035,0.002,0.0055,8.68008,8.24584,1.05266170578134,0.000501002004008018,0.231103860793911,4003.976,0.0261183398233451,0.016620761705765
"2017_H_01",4,"Salt Lake Bay",2017-04-29,55.67264,-133.378,900,1130,-0.71,938,"cloudy, light wind, cool","stream near one end of transect","fine sand/mud. Lots of clam shells","Gradually slopping back of bay. Eelgrass extensive, pits throughout",12.8,NA,NA,6,8,13.3,NA,NA,28,8,591,341,219,27,0.642228739002933,"119",90,48,9.94475138121547,5.30386740331492,14,2.877,114,0.487179487179487,0.997792222370852,"Mud",1,1055,1115,-0.5,0,NA,46,0,NA,184,0,0,NA,18.402,0.00560000000000001,0.03864,0.0351946777777686,0.44,0.32,0.26,0.28,0.18,0.2982,NA,0,0.00309999999999999,0,0,0,0,0.00309999999999999,0,0.00309999999999999,7.10976,6.47582071110943,1.09789327363604,0.000304314748396914,0.144927536231884,3385.968,0.00920318251989072,0.00920318251989072
"2017_H_01",5,"Salt Lake Bay",2017-04-29,55.67264,-133.378,900,1130,-0.71,938,"cloudy, light wind, cool","stream near one end of transect","fine sand/mud. Lots of clam shells","Gradually slopping back of bay. Eelgrass extensive, pits throughout",12.8,NA,NA,6,8,13.3,NA,NA,28,8,591,341,219,27,0.642228739002933,"119",90,48,9.94475138121547,5.30386740331492,14,2.877,114,0.487179487179487,0.997792222370852,"Mud",1,1055,1115,-0.5,0,NA,66,0,NA,264,0,0,NA,27.828,0.00635999999999999,0.05504,0.0480219512195122,0.54,0.72,0.52,0.36,0.3,0.1309,NA,0,0.00239999999999996,0,9.9999999999989e-05,0,0,0.00239999999999996,9.9999999999989e-05,0.00249999999999995,14.53056,12.6777951219512,1.14614251612576,0.000228546787408365,0.115552325581395,7346.592,0.0134451973754972,0.0129073894804773
"2017_H_01",6,"Salt Lake Bay",2017-04-29,55.67264,-133.378,900,1130,-0.71,938,"cloudy, light wind, cool","stream near one end of transect","fine sand/mud. Lots of clam shells","Gradually slopping back of bay. Eelgrass extensive, pits throughout",12.8,NA,NA,6,8,13.3,NA,NA,28,8,591,341,219,27,0.642228739002933,"119",90,48,9.94475138121547,5.30386740331492,14,2.877,114,0.487179487179487,0.997792222370852,"Mud",1,1055,1115,-0.5,0,NA,60,0,NA,240,0,0,NA,30.34,0.00807999999999999,0.06356,0.0522514512471655,0.64,0.56,0.38,0.26,0.225,0.1245,NA,0,0.00190000000000001,0.00150000000000006,0,0,0,0.00340000000000007,0,0.00340000000000007,15.2544,12.5403482993197,1.21642554384454,0.000266315095583388,0.127123977344241,7281.6,0.0180793363820061,0.0180793363820061
"2017_H_01",7,"Salt Lake Bay",2017-04-29,55.67264,-133.378,900,1130,-0.71,938,"cloudy, light wind, cool","stream near one end of transect","fine sand/mud. Lots of clam shells","Gradually slopping back of bay. Eelgrass extensive, pits throughout",12.8,NA,NA,6,8,13.3,NA,NA,28,8,591,341,219,27,0.642228739002933,"119",90,48,9.94475138121547,5.30386740331492,14,2.877,114,0.487179487179487,0.997792222370852,"Mud",1,1055,1115,-0.5,0,NA,72,0,NA,288,0,0,NA,23.222,0.00840000000000001,0.04678,0.0393396299722479,0.6,0.4,0.34,0.24,0.2,0.1833,NA,0,0.003,0,0,0,0,0.003,0,0.003,13.47264,11.3298134320074,1.18913167289578,0.000361725949530618,0.179563916203506,6687.936,0.0130389429763561,0.0130389429763561
"2017_H_01",8,"Salt Lake Bay",2017-04-29,55.67264,-133.378,900,1130,-0.71,938,"cloudy, light wind, cool","stream near one end of transect","fine sand/mud. Lots of clam shells","Gradually slopping back of bay. Eelgrass extensive, pits throughout",12.8,NA,NA,6,8,13.3,NA,NA,28,8,591,341,219,27,0.642228739002933,"119",90,48,9.94475138121547,5.30386740331492,14,2.877,114,0.487179487179487,0.997792222370852,"Mud",1,1055,1115,-0.5,0,NA,55,0,NA,220,0,0,NA,17.402,0.00867999999999998,0.04086,0.0607896805210918,0.46,0.36,0.32,0.26,0.34,0.1027,NA,0,0.000199999999999978,0,0,0,0,0.000199999999999978,0,0.000199999999999978,8.9892,13.3737297146402,0.672153557145659,0.000498793242156073,0.212432697014194,3828.44,0.00139314572304248,0.00139314572304248
"2017_H_01",9,"Salt Lake Bay",2017-04-29,55.67264,-133.378,900,1130,-0.71,938,"cloudy, light wind, cool","stream near one end of transect","fine sand/mud. Lots of clam shells","Gradually slopping back of bay. Eelgrass extensive, pits throughout",12.8,NA,NA,6,8,13.3,NA,NA,28,8,591,341,219,27,0.642228739002933,"119",90,48,9.94475138121547,5.30386740331492,14,2.877,114,0.487179487179487,0.997792222370852,"Mud",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017_H_01",10,"Salt Lake Bay",2017-04-29,55.67264,-133.378,900,1130,-0.71,938,"cloudy, light wind, cool","stream near one end of transect","fine sand/mud. Lots of clam shells","Gradually slopping back of bay. Eelgrass extensive, pits throughout",12.8,NA,NA,6,8,13.3,NA,NA,28,8,591,341,219,27,0.642228739002933,"119",90,48,9.94475138121547,5.30386740331492,14,2.877,114,0.487179487179487,0.997792222370852,"Mud",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
