"species_scientific","site","place_name","date","YYYYMMDD","quadrat","species_common","sp_code","width_mm","mass_g"
"Clinocardium nuttalli","2018_L_02","Natzuhini","7/12/2018",20180712,3,"Cockle","CLMCKL",63,87.07110152577
"Clinocardium nuttalli","2018_H_03","Nossuk Bay","7/16/2018",20180716,2,"Cockle","CLMCKL",19,2.5501865235113
"Clinocardium nuttalli","2018_L_01","North Pass","7/11/2018",20180711,2,"Cockle","CLMCKL",61,79.1785992600614
"Clinocardium nuttalli","2018_H_01","Kaguk Cove","7/14/2018",20180714,1,"Cockle","CLMCKL",35,15.4174099449295
"Clinocardium nuttalli","2018_L_03","Sukkwan","7/13/2018",20180713,4,"Cockle","CLMCKL",24,5.07456146987205
"Clinocardium nuttalli","2018_L_01","North Pass","7/11/2018",20180711,1,"Cockle","CLMCKL",57,64.8415043266278
"Clinocardium nuttalli","2018_H_02","Gaktu Cove","7/15/2018",20180715,5,"Cockle","CLMCKL",24,5.07456146987205
"Clinocardium nuttalli","2018_H_02","Gaktu Cove","7/15/2018",20180715,4,"Cockle","CLMCKL",17,1.83780133842303
"Clinocardium nuttalli","2018_L_02","Natzuhini","7/12/2018",20180712,8,"Cockle","CLMCKL",19,2.5501865235113
"Clinocardium nuttalli","2018_L_02","Natzuhini","7/12/2018",20180712,3,"Cockle","CLMCKL",15,1.27115095686963
"Clinocardium nuttalli","2018_H_02","Gaktu Cove","7/15/2018",20180715,6,"Cockle","CLMCKL",18,2.17476478512449
"Clinocardium nuttalli","2018_H_01","Kaguk Cove","7/14/2018",20180714,3,"Cockle","CLMCKL",27,7.17893046987285
"Clinocardium nuttalli","2018_L_03","Sukkwan","7/13/2018",20180713,2,"Cockle","CLMCKL",29,8.8606566947704
"Clinocardium nuttalli","2018_H_03","Nossuk Bay","7/16/2018",20180716,1,"Cockle","CLMCKL",17,1.83780133842303
"Clinocardium nuttalli","2018_L_03","Sukkwan","7/13/2018",20180713,1,"Cockle","CLMCKL",26,6.42368901959019
"Clinocardium nuttalli","2018_L_01","North Pass","7/11/2018",20180711,1,"Cockle","CLMCKL",14,1.03739809971701
"Clinocardium nuttalli","2018_H_01","Kaguk Cove","7/14/2018",20180714,6,"Cockle","CLMCKL",45,32.3205144054218
"Clinocardium nuttalli","2018_L_02","Natzuhini","7/12/2018",20180712,3,"Cockle","CLMCKL",51,46.7282696140839
"Clinocardium nuttalli","2018_L_03","Sukkwan","7/13/2018",20180713,5,"Cockle","CLMCKL",70,118.753139751926
"Clinocardium nuttalli","2018_L_01","North Pass","7/11/2018",20180711,3,"Cockle","CLMCKL",22,3.92734098323118
