"site","sp_code","total_clam_sp","width","width_se","mass","mass_se"
"2018_H_01","CLMBNT",7,35.8571428571429,1.98120419644902,39.5451441169189,5.30771657066357
"2018_H_01","CLMBUT",1,24,NA,5.2734607245664,NA
"2018_H_01","CLMCKL",3,35.6666666666667,5.2068331172711,18.3056182734081,7.40002525240246
"2018_H_01","CLMMAC",1,45,NA,67.7387567339536,NA
"2018_H_01","CLMPOI",35,27.2,1.32892829760227,22.1779730433445,3.22274866327465
"2018_H_01","CLMSTM",11,28.8181818181818,2.49660927083909,4.82287392721371,0.939200272678987
"2018_H_02","CLMBUT",1,26,NA,6.78892244358478,NA
"2018_H_02","CLMCKL",3,19.6666666666667,2.185812841434,3.02904253113986,1.02737479166357
"2018_H_02","CLMPOI",28,22.2142857142857,1.06824925115117,12.8584761465849,1.82166792900701
"2018_H_02","CLMSTM",136,22.1176470588235,0.327574240039428,2.1602264156599,0.104328793813211
"2018_H_03","CLMBNT",1,47,NA,75.5876687375645,NA
"2018_H_03","CLMBUT",7,31.2857142857143,3.44144408860089,15.2449578905545,5.12568003360607
"2018_H_03","CLMCKL",2,18,1,2.19399393096716,0.356192592544134
"2018_H_03","CLMPOI",5,33.6,2.99332590941915,34.3239190650611,6.15664505059726
"2018_H_03","CLMSTM",57,25.9298245614035,0.805627002943318,3.50760543956362,0.32879440242655
"2018_L_01","CLMBUT",27,58.8148148148148,2.31865777869275,101.395117278799,11.3651000084477
"2018_L_01","CLMCKL",4,38.5,11.9756697794598,37.2462106674094,20.2917278503195
"2018_L_01","CLMPOI",43,29.1860465116279,1.14325786839993,25.4524695613335,2.03097977004991
"2018_L_01","CLMSTM",39,36.5128205128205,1.03506132663454,8.38427201662504,0.625030114310458
"2018_L_02","CLMBUT",17,60.4117647058824,2.72793126682836,107.659150498962,13.5270213676878
"2018_L_02","CLMCKL",4,37,11.8321595661992,34.4051771550587,20.4901649534059
"2018_L_02","CLMMAC",16,26.875,2.39596014157164,22.6692668990862,4.26260463091767
"2018_L_02","CLMPOI",3,54,0.577350269189626,22.6104753334262,0.654368706590141
"2018_L_02","CLMSOF",4,29.5,10.2428837085396,10.5277826634092,9.04933992933445
"2018_L_02","CLMSTM",24,47.2916666666667,1.57364983152877,16.6855587737522,1.34249921721375
"2018_L_03","CLMBNT",6,43.5,2.68017412369669,64.4011511128945,8.84075309464004
"2018_L_03","CLMBUT",10,47.2,7.89767898393783,85.1408673413513,33.6256292405218
"2018_L_03","CLMCKL",4,37.25,10.9649061403492,34.7780117340396,28.0026695037618
"2018_L_03","CLMMAC",3,33.3333333333333,6.00925212577332,35.8333663774237,16.1619904722183
"2018_L_03","CLMPOI",44,30.2045454545455,1.54275896618792,30.3024891679572,3.93462221596835
"2018_L_03","CLMSOF",1,16,NA,0.819896835359774,NA
"2018_L_03","CLMSTM",13,41.3846153846154,3.54194366012769,13.1730344012002,2.64187631536185
