"site","date_set","YYYYMMDD_set","time_set","date_pulled","YYYYMMDD_pulled","time_pulled","time_soak_hr","string","sp_code","mass_g"
"2017_H_01","5/29/2017",20170529,1223,"5/30/2017",20170530,920,20.95,"1","CRABDEC",0
"2017_H_01","5/29/2017",20170529,1223,"5/30/2017",20170530,920,20.95,"1","CRABDUN",0
"2017_H_01","5/29/2017",20170529,1223,"5/30/2017",20170530,920,20.95,"1","CRABHEL",283.68699187272
"2017_H_01","5/29/2017",20170529,1223,"5/30/2017",20170530,920,20.95,"1","CRABRR",0
"2017_H_01","5/29/2017",20170529,1223,"5/30/2017",20170530,920,20.95,"2","CRABGRA",0
"2017_H_01","5/29/2017",20170529,1223,"5/30/2017",20170530,920,20.95,"1","CRABGRA",0
"2017_H_01","5/29/2017",20170529,1223,"5/30/2017",20170530,920,20.95,"2","CRABRR",0
"2017_H_01","5/29/2017",20170529,1223,"5/30/2017",20170530,920,20.95,"2","UNRKCB",0
"2017_H_01","5/29/2017",20170529,1223,"5/30/2017",20170530,920,20.95,"3","CRABDEC",0
"2017_H_01","5/29/2017",20170529,1223,"5/30/2017",20170530,920,20.95,"2","CRABHEL",312.438618315798
"2017_H_01","5/29/2017",20170529,1223,"5/30/2017",20170530,920,20.95,"3","CRABGRA",0
"2017_H_01","5/29/2017",20170529,1223,"5/30/2017",20170530,920,20.95,"3","CRABHEL",57.9202827088044
"2017_H_01","5/29/2017",20170529,1223,"5/30/2017",20170530,920,20.95,"3","CRABRR",0
"2017_H_01","5/29/2017",20170529,1223,"5/30/2017",20170530,920,20.95,"3","CRABDUN",384.788385787201
"2017_H_01","5/29/2017",20170529,1223,"5/30/2017",20170530,920,20.95,"1","UNRKCB",0
"2017_H_01","5/29/2017",20170529,1223,"5/30/2017",20170530,920,20.95,"2","CRABDEC",0
"2017_H_01","5/29/2017",20170529,1223,"5/30/2017",20170530,920,20.95,"2","CRABDUN",42.4579186455904
"2017_H_01","5/29/2017",20170529,1223,"5/30/2017",20170530,920,20.95,"3","UNRKCB",0
"2017_H_02","5/29/2017",20170529,1250,"5/30/2017",20170530,1200,23.83,"1","UNRKCB",0
"2017_H_02","5/29/2017",20170529,1250,"5/30/2017",20170530,1200,23.83,"3","CRABGRA",0
"2017_H_02","5/29/2017",20170529,1250,"5/30/2017",20170530,1200,23.83,"3","CRABRR",0
"2017_H_02","5/29/2017",20170529,1250,"5/30/2017",20170530,1200,23.83,"3","UNRKCB",0
"2017_H_02","5/29/2017",20170529,1250,"5/30/2017",20170530,1200,23.83,"2","CRABDEC",0
"2017_H_02","5/29/2017",20170529,1250,"5/30/2017",20170530,1200,23.83,"2","CRABDUN",73.1051904529483
"2017_H_02","5/29/2017",20170529,1250,"5/30/2017",20170530,1200,23.83,"2","CRABGRA",0
"2017_H_02","5/29/2017",20170529,1250,"5/30/2017",20170530,1200,23.83,"2","CRABHEL",105.008972684378
"2017_H_02","5/29/2017",20170529,1250,"5/30/2017",20170530,1200,23.83,"3","CRABDUN",0
"2017_H_02","5/29/2017",20170529,1250,"5/30/2017",20170530,1200,23.83,"2","CRABRR",0
"2017_H_02","5/29/2017",20170529,1250,"5/30/2017",20170530,1200,23.83,"2","UNRKCB",0
"2017_H_02","5/29/2017",20170529,1250,"5/30/2017",20170530,1200,23.83,"3","CRABDEC",0
"2017_H_02","5/29/2017",20170529,1250,"5/30/2017",20170530,1200,23.83,"1","CRABHEL",40.0406869230683
"2017_H_02","5/29/2017",20170529,1250,"5/30/2017",20170530,1200,23.83,"1","CRABDEC",0
"2017_H_02","5/29/2017",20170529,1250,"5/30/2017",20170530,1200,23.83,"3","CRABHEL",0
"2017_H_02","5/29/2017",20170529,1250,"5/30/2017",20170530,1200,23.83,"1","CRABGRA",0
"2017_H_02","5/29/2017",20170529,1250,"5/30/2017",20170530,1200,23.83,"1","CRABRR",0
"2017_H_02","5/29/2017",20170529,1250,"5/30/2017",20170530,1200,23.83,"1","CRABDUN",31.0134628032229
"2017_H_03","6/24/2017",20170624,1028,"6/25/2017",20170625,1115,24.78,"3","CRABDEC",0
"2017_H_03","6/24/2017",20170624,1028,"6/25/2017",20170625,1115,24.78,"1","CRABDEC",0
"2017_H_03","6/24/2017",20170624,1028,"6/25/2017",20170625,1115,24.78,"1","CRABDUN",33.6919063236521
"2017_H_03","6/24/2017",20170624,1028,"6/25/2017",20170625,1115,24.78,"1","CRABGRA",0
"2017_H_03","6/24/2017",20170624,1028,"6/25/2017",20170625,1115,24.78,"3","CRABDUN",0
"2017_H_03","6/24/2017",20170624,1028,"6/25/2017",20170625,1115,24.78,"1","CRABRR",0
"2017_H_03","6/24/2017",20170624,1028,"6/25/2017",20170625,1115,24.78,"1","UNRKCB",0
"2017_H_03","6/24/2017",20170624,1028,"6/25/2017",20170625,1115,24.78,"2","CRABDEC",0
"2017_H_03","6/24/2017",20170624,1028,"6/25/2017",20170625,1115,24.78,"1","CRABHEL",0
"2017_H_03","6/24/2017",20170624,1028,"6/25/2017",20170625,1115,24.78,"2","CRABGRA",0
