"Sp_ScientificName","SpCode","Sp_CommonName","AutoCtr","StockCode","FamCode","PopLWRef","LengthMin","LengthMax","Type","LmaxCompare","EsQ","Number","Sex","a","aTL","b","CoeffDetermination","SEa","SEb","SDa","SDb","LCLa","UCLa","LCLb","UCLb","Method","Locality","DataRef","C_Code","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS","SpecCode"
"Agonidae","UNPOA","Juvenile poacher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agonopsis vulsa","POASPEAR","Northern spearnose poacher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anarrhichthys ocellatus","WOLFEEL","Wolf-eel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anoplopoma fimbria","SABLEF","Sablefish",1966,528,270,56405,30,84,"FL",NA,NA,NA,"Mixed",0.00192,0.00177,3.4638,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","North Pacific",NA,NA,NA,1287,"2006-03-13T17:50:31.000Z",NA,"2006-03-13T17:50:31.000Z",NA,NA,NA,512
"Anoplopoma fimbria","SABLEF","Sablefish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anoplopoma fimbria","SABLEF","Sablefish",1967,528,270,56527,NA,NA,"FL",NA,NA,NA,"Mixed",0.0058,0.00537,3.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Bering Sea",NA,"643",NA,1287,"2006-03-23T23:24:40.000Z",NA,"2006-03-23T23:24:40.000Z",NA,NA,NA,512
"Anoplopoma fimbria","SABLEF","Sablefish",1969,528,270,80637,68,92,"FL",NA,NA,162,"Male",0.0274,NA,2.78,0.841,NA,NA,NA,NA,NA,NA,2.62,2.95,"type I linear regression","western Bering Sea (Russian EEZ and within 54°-60°N, 164°E-177°W), 1990; 1995-98",80637,"643",NA,3,"2009-03-31T00:00:00.000Z",NA,"2011-05-19T00:00:00.000Z",NA,NA,NA,512
"Anoplopoma fimbria","SABLEF","Sablefish",1968,528,270,80637,54,83,"FL",NA,NA,180,"Female",0.0203,NA,2.86,0.872,NA,NA,NA,NA,NA,NA,2.7,3.02,"type I linear regression","western Bering Sea (Russian EEZ and within 54°-60°N, 164°E-177°W), 1990; 1995-98",80637,"643",NA,3,"2009-03-31T00:00:00.000Z",NA,"2011-05-19T00:00:00.000Z",NA,NA,NA,512
"Artedius harringtoni","SCULSCA","Scalyhead sculpin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aurelia labiata","JLYMOON","Moon jellyfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bathymaster caeruleofasciatus","RONQLAK","Alaskan ronquil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bathymasteridae","UNRONQL","Juvenile ronquil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blepsias bilobus","SCULCRE","Crested sculpin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachyistius frenatus","PERCHKE","Kelp perch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buccinum baeri","SNAILBB","Baer's buccinum snail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cancer magister","CRABDUN","Dungeness crab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cancer productus, Cancridae","CRABRR","Red rock crab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Catalina triopha","DORIDCL","Clown dorid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaetaganath sp.","WRMARRW","Arrow worm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
