species_common,species_scientific,sp_code,LengthMin_cm,LengthMax_cm,Type,LmaxCompare,EsQ,Number,Sex,a_cm-g,aTL_cm-g,b_cm-g,CoeffDetermination,SEa,SEb,SDa,SDb,a CI lwr,a CI upr,b CI lwr,b CI upr,Method,Locality,DataRef,C_Code,Comment,Entered
Pacific Herring,Clupea pallasii,HERRING,,,,,,236,unsexed,0.0238,,2.862,,,,,,,,,,Bayesian,"North Puget Sound, Washington, USA",Fishbase - Bayesian,,,
Pacific Herring,Clupea pallasii,HERRING,19,31,FL,,,,mixed,0.0093,,3.022,,,,,,,,,,Bayesian,"Sea of Okhotsk, Russia",Fishbase - Bayesian,,,
Pacific Herring,Clupea pallasii,HERRING,16.9,32.7,FL,,,82,unsexed,0.00448,,3.127,,,,,,,,,,Bayesian,"Liverpool Bay (69°50'N, 130°20'W), Canada",Fishbase - Bayesian,,,
Pacific Herring,Clupea pallasii,HERRING,,,,,,,unsexed,0.00428,,3.232,,,,,,,,,,Bayesian,"San Francisco Bay, California, USA",Fishbase - Bayesian,,,
Pacific Herring,Clupea pallasii,HERRING,6.7,28.7,,,,3947,,0.0026,,3.283,,,,,,,,,,"""simple linear least squares of log-transformed weight""",South-eastern coast of Korea,"Park and Huh, 2015",,,
Pacific Herring,Clupea pallasii,HERRING,13.8,28.7,,,,112,,0.0031,,3.235,,,,,,,,,,"""simple linear least squares of log-transformed weight""",South-eastern coast of Korea,"Park and Huh, 2015",,,
Pacific Herring,Clupea pallasii,HERRING,6.7,28,,,,3710,,0.0025,,3.305,,,,,,,,,,"""simple linear least squares of log-transformed weight""",South-eastern coast of Korea,"Park and Huh, 2015",,,
Pacific Herring,Clupea pallasii,HERRING,12.8,25.9,,,,104,,0.0038,,3.141,,,,,,,,,,"""simple linear least squares of log-transformed weight""",South-eastern coast of Korea,"Park and Huh, 2015",,,
Shiner perch,Cymatogaster aggregata,PERCHSH,,,TL,,,,,,0.0195,3.02,,,,,,,,,,Bayesian,,Fishbase - Bayesian Ref. 93245,,,
Buffalo sculpin,Enophrys bison,SCULBUF,,,TL,,,,,,0.00912,3.09,,,,,,,,,,Bayesian,,Fishbase - Bayesian; Ref 93245,,,
Walleye pollock,Gadus chalcogrammus,POLLOCK,28,68,FL,,,1445,Mixed,0.0876,,2.308,,,,,,,,,,Bayesian,"SE Sakhalin, Russia 1975-1978",Fishbase - Bayesian,,,
Walleye pollock,Gadus chalcogrammus,POLLOCK,24,64,FL,,,1948,Mixed,0.0599,,2.39,,,,,,,,,,Bayesian,"Peter the Great Bay, Sea of Japan, Russia 1979/1980",Fishbase - Bayesian,,,
Walleye pollock,Gadus chalcogrammus,POLLOCK,16,70,FL,,,2397,Mixed,0.0613,,2.482,,,,,,,,,,Bayesian,"SE Bering Sea, USA / 1979-1980",Fishbase - Bayesian,,,
Walleye pollock,Gadus chalcogrammus,POLLOCK,8,74,FL,,,1105,Mixed,0.0338,,2.599,,,,,,,,,,Bayesian,"Havarin canyon, Russia / 1978-1979",Fishbase - Bayesian,,,
Walleye pollock,Gadus chalcogrammus,POLLOCK,16,76,FL,,,2955,Mixed,0.0206,,2.718,,,,,,,,,,Bayesian,"Western Bering Sea, Russia / 1978-1979",Fishbase - Bayesian,,,
