scientific_name,family,order,class,phylum
Scorpaenichthys marmoratus,Cottidae,Scorpaeniformes,Actinopterygii,Chordata
Anoplarchus insignis,Stichaeidae,Perciformes,Actinopterygii,Chordata
Gadus macrocephalus,Gadidae,Gadiformes,Actinopterygii,Chordata
Salvelinus malma,Salmonidae,Salmoniformes,Actinopterygii,Chordata
Platichthys stellatus,Pleuronectidae,Pleuronectiformes,Actinopterygii,Chordata
Hexagrammos decagrammus,Hexagrammidae,Scorpaeniformes,Actinopterygii,Chordata
Hexagrammos octogrammus,Hexagrammidae,Scorpaeniformes,Actinopterygii,Chordata
Hexagrammos stelleri,Hexagrammidae,Scorpaeniformes,Actinopterygii,Chordata
Pholis laeta,Pholidae,Perciformes,Actinopterygii,Chordata
Apodichthys flavidus,Pholidae,Perciformes,Actinopterygii,Chordata
Clupea pallasii,Clupeidae,Clupeiformes ,Actinopterygii,Chordata
Ophiodon elongatus,Hexagrammidae,Scorpaeniformes,Actinopterygii,Chordata
Cymatogaster aggregata,Embiotocidae,Perciformes,Actinopterygii,Chordata
Syngnathus leptorhynchus,Syngnathidae,Syngnathiformes,Actinopterygii,Chordata
Odontopyxis trispinosa,Agonidae,Scorpaeniformes,Actinopterygii,Chordata
Podothecus accipenserinus,Agonidae,Scorpaeniformes,Actinopterygii,Chordata
Pallasina barbata,Agonidae,Scorpaeniformes,Actinopterygii,Chordata
Gadus chalcogrammus,Gadidae,Gadiformes,Actinopterygii,Chordata
Lumpenus sagitta,Stichaeidae,Perciformes,Actinopterygii,Chordata
Sebastes melanops,Sebastidae,Scorpaeniformes,Actinopterygii,Chordata
Sebastes auriculatus,Sebastidae,Scorpaeniformes,Actinopterygii,Chordata
Sebastes caurinus,Sebastidae,Scorpaeniformes,Actinopterygii,Chordata
Sebastes maliger,Sebastidae,Scorpaeniformes,Actinopterygii,Chordata
Sebastes brevispinis,Sebastidae,Scorpaeniformes,Actinopterygii,Chordata
Oncorhynchus tshawytscha,Salmonidae,Salmoniformes,Actinopterygii,Chordata
Oncorhynchus keta,Salmonidae,Salmoniformes,Actinopterygii,Chordata
Oncorhynchus kisutch,Salmonidae,Salmoniformes,Actinopterygii,Chordata
Oncorhynchus gorbuscha,Salmonidae,Salmoniformes,Actinopterygii,Chordata
Ammodytes personatus,Ammodytidae ,Perciformes,Actinopterygii,Chordata
Enophrys bison,Cottidae,Scorpaeniformes,Actinopterygii,Chordata
Myoxocephalus polyacanthocephalus,Cottidae,Scorpaeniformes,Actinopterygii,Chordata
Rhamphocottus richardsonii,Rhamphocottidae,Scorpaeniformes,Actinopterygii,Chordata
Synchirus gilli,Cottidae,Scorpaeniformes,Actinopterygii,Chordata
Artedius fenestralis,Cottidae,Scorpaeniformes,Actinopterygii,Chordata
Leptocottus armatus,Cottidae,Scorpaeniformes,Actinopterygii,Chordata
Nautichthys oculofasciatus,Hemitripteridae,Scorpaeniformes,Actinopterygii,Chordata
Blepsias cirrhosus,Hemitripteridae,Scorpaeniformes,Actinopterygii,Chordata
Artedius lateralis,Cottidae,Scorpaeniformes,Actinopterygii,Chordata
Oligocottus maculosus,Cottidae,Scorpaeniformes,Actinopterygii,Chordata
Citharichthys sordidus,Paralichthyidae,Pleuronectiformes,Actinopterygii,Chordata
Lepidopsetta spp.,Pleuronectidae,Pleuronectiformes,Actinopterygii,Chordata
Citharichthys stigmaeus,Paralichthyidae,Pleuronectiformes,Actinopterygii,Chordata
Isopsetta isolepis,Pleuronectidae,Pleuronectiformes,Actinopterygii,Chordata
Pleuronichthys coenosus,Pleuronectidae,Pleuronectiformes,Actinopterygii,Chordata
Parophrys vetulus,Pleuronectidae,Pleuronectiformes,Actinopterygii,Chordata
Gasterosteus aculeatus,Gasterosteidae,Gasterosteiformes,Actinopterygii,Chordata
Aulorhynchus flavidus,Aulorhynchidae,Gasterosteiformes,Actinopterygii,Chordata
Artedius spp.,Cottidae,Scorpaeniformes,Actinopterygii,Chordata
Pleuronectidae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Chordata
Hexagrammidae sp.,Hexagrammidae,Scorpaeniformes,Actinopterygii,Chordata
Pholidae,Pholidae,Perciformes,Actinopterygii,Chordata
Hemilepidotus sp.,Cottidae,Scorpaeniformes,Actinopterygii,Chordata
Hemilepidotus sp. ,Cottidae,Scorpaeniformes,Actinopterygii,Chordata
Cottidae,Cottidae,Scorpaeniformes,Actinopterygii,Chordata
Hemilepidotus spinosus,Cottidae,Scorpaeniformes,Actinopterygii,Chordata
Myoxocephalus sp.,Cottidae,Scorpaeniformes,Actinopterygii,Chordata
Cryptacanthodes giganteus,Cryptacanthodidae,Perciformes,Actinopterygii,Chordata
