"","levels.seine2.Sp_ScientificName."
"1",""
"2","Agonidae"
"3","Agonopsis vulsa"
"4","Ammodytes personatus"
"5","Anarrhichthys ocellatus"
"6","Anoplarchus insignis"
"7","Anoplopoma fimbria"
"8","Apodichthys flavidus"
"9","Artedius fenestralis"
"10","Artedius harringtoni"
"11","Artedius lateralis"
"12","Aulorhynchus flavidus"
"13","Aurelia labiata"
"14","Bathymaster caeruleofasciatus"
"15","Bathymasteridae"
"16","Blepsias bilobus"
"17","Blepsias cirrhosus"
"18","Brachyistius frenatus"
"19","Buccinum baeri"
"20","Cancer magister"
"21","Cancer productus, Cancridae"
"22","Catalina triopha"
"23","Chaetaganath sp."
"24","Chitonotus pugetensis"
"25","Citharichthys sordidus"
"26","Citharichthys stigmaeus"
"27","Clinocottus acuticeps"
"28","Clupea pallasii"
"29","Cottidae"
"30","Crangon sp."
"31","Cyanea capillata"
"32","Cyclopteridae"
"33","Cymatogaster aggregata"
"34","Dasycottus setiger"
"35","Dermasterias imbricata"
"36","Division Teleostei"
"37","Elassochirus gilli"
"38","Elassochirus tenuimanus"
"39","Eleginus gracilis"
"40","Enophrys bison"
"41","Enophrys diceraus"
"42","Enophrys lucasi"
"43","Eumicrotremus orbis"
"44","Eupentacta psuedoquinquesemita"
"45","Eutonina species"
"46","Evastarias troschelii"
"47","Fusitriton oregonensis"
"48","Gadidae"
"49","Gadus chalcogrammus"
"50","Gadus macrocephalus"
"51","Gasterosteus aculeatus"
"52","Gobiescocidae"
"53","Gymnocanthus galeatus"
"54","Haminoea vesicula"
"55","Hemilepidotus hemilepidotus"
"56","Hemilepidotus spinosus"
"57","Hermissenda crassicornis"
"58","Hexagrammidae"
"59","Hexagrammos decagrammus"
"60","Hexagrammos lagocephalus"
"61","Hexagrammos octogrammus"
"62","Hexagrammos stelleri"
"63","Hippoglossus stenolepis"
"64","Hippolyte clarki"
"65","Hippolytidae"
"66","Hyas lyratus, Majidae"
"67","Hypomesus pretiosus"
"68","Icelinus borealis"
"69","Idotea resecata"
"70","Idotea w."
"71","Isopsetta isolepis"
"72","Lacuna varigata"
"73","Lepidogobius lepidus"
"74","Lepidopsetta spp."
"75","Leptasterias epichlora"
"76","Leptoclinus maculatus"
"77","Leptocottus armatus"
"78","Limanda aspera"
"79","Liparidae"
"80","Liparis cyclopus"
"81","Liparis florae"
"82","Liparis pulchellus"
"83","Liparis rutteri"
"84","Lottidae"
"85","Lumpenus sagitta"
"86","Lyopsetta exilis"
"87","Mallotus villosus"
"88","Margarites marginatus"
"89","Margarites pupillus"
"90","Melibe leonina"
"91","Microgadus proximus"
"92","Microstomus pacificus"
"93","Myoxocephalus polyacanthocephalus"
"94","Myoxocephalus scorpius"
"95","Myoxocephalus sp."
"96","Myoxocephalus stelleri"
"97","Mytilus trossulus"
"98","Nautichthys oculofasciatus"
"99","Neomysis mercedes"
"100","Odontopyxis trispinosa"
"101","Oligocottus maculosus"
"102","Oligocottus rimensis"
"103","Oligocottus snyderi"
"104","Onchidoris bilamellata"
"105","Oncorhynchus clarkii"
"106","Oncorhynchus gorbuscha"
"107","Oncorhynchus keta"
"108","Oncorhynchus kisutch"
"109","Oncorhynchus mykiss"
"110","Oncorhynchus nerka"
"111","Oncorhynchus tshawytscha"
"112","Ophiodon elongatus"
"113","Oregonia gracilis"
"114","Osmeridae"
"115","Oxylebius pictus"
"116","Pagarus granosimanus"
"117","Pagurus spp."
"118","Pallasina barbata"
"119","Pandalus hypsinotus"
"120","Pandalus platyceros"
"121","Parophrys vetulus"
"122","Pholidae"
"123","Pholis laeta"
"124","Platichthys stellatus"
"125","Pleuronectes quadrituberculatus"
"126","Pleuronectidae"
"127","Pleuronichthys coenosus"
"128","Podothecus accipenserinus"
"129","Psettichthys melanostictus"
"130","Psychrolutes paradoxus"
"131","Psychrolutes sigalutes"
"132","Pugettia gracilis"
"133","Pugettia producta, Majidae"
"134","Pugettia richii"
"135","Pycnopodia helianthoides"
"136","Raja binoculata"
"137","Rhinogobiops nicholsii"
"138","Rimicola muscarum"
"139","Ronquilus jordani"
"140","Saduria sp."
"141","Salmoninae"
"142","Salvelinus malma"
"143","Scorpaenichthys marmoratus"
"144","Scorpaenidae"
"145","Sebastes auriculatus"
"146","Sebastes caurinus"
"147","Sebastes ciliatus"
"148","Sebastes emphaeus"
"149","Sebastes flavidus"
"150","Sebastes maliger"
"151","Sebastes melanops"
"152","Sebastes nebulosus"
"153","Sebastes paucispinis"
"154","Spirinchus thaleichthys"
"155","Staurophora mertensii"
"156","Stellerina xyosterna"
"157","Stichaeidae"
"158","Stichaeus punctatus"
"159","Strongylocentrotus droebachiensis"
"160","Superfamily Doridoidea"
"161","Synchirus gilli"
"162","Syngnathus leptorhynchus"
"163","Tegula pulligo"
"164","Temessus cheiragonus, Cheiragonidae"
"165","Thaleichthys pacificus"
"166","Trichodon trichodon"
"167","Xiphister atropurpureus"
