region,site,latitude,longitude,date_yyyy.mm.dd,year,replicate,n_otter
"west prince of wales island, alaska",Big Clam Bay,55.194569,-132.967041,7/18/2018,2018,1,1
"west prince of wales island, alaska",Big Clam Bay,55.227691,-132.973932,7/26/2018,2018,2,0
"west prince of wales island, alaska",Big Tree Bay,55.567959,-133.170975,7/18/2018,2018,1,1
"west prince of wales island, alaska",Big Tree Bay,55.576103,-133.219879,7/18/2018,2018,1,2
"west prince of wales island, alaska",Big Tree Bay,55.570789,-133.226151,7/18/2018,2018,1,1
"west prince of wales island, alaska",Big Tree Bay,55.572781,-133.232025,7/18/2018,2018,1,1
"west prince of wales island, alaska",Big Tree Bay,55.57848,-133.165192,7/18/2018,2018,1,3
"west prince of wales island, alaska",Big Tree Bay,55.588394,-133.173508,7/18/2018,2018,1,1
"west prince of wales island, alaska",Big Tree Bay,55.571785,-133.244919,7/18/2018,2018,1,13
"west prince of wales island, alaska",Big Tree Bay,55.574501,-133.170029,7/18/2018,2018,1,1
"west prince of wales island, alaska",Big Tree Bay,55.572773,-133.175156,7/18/2018,2018,1,1
"west prince of wales island, alaska",Big Tree Bay,55.571629,-133.183716,7/18/2018,2018,1,12
"west prince of wales island, alaska",Big Tree Bay,55.567612,-133.181015,7/18/2018,2018,1,2
"west prince of wales island, alaska",Big Tree Bay,55.56657,-133.243057,7/18/2018,2018,1,2
"west prince of wales island, alaska",Big Tree Bay,55.559155,-133.189819,7/18/2018,2018,1,1
"west prince of wales island, alaska",Big Tree Bay,55.565865,-133.192719,7/18/2018,2018,1,1
"west prince of wales island, alaska",Big Tree Bay,55.55822,-133.212662,7/18/2018,2018,1,1
"west prince of wales island, alaska",Big Tree Bay,55.56123,-133.215088,7/18/2018,2018,1,1
"west prince of wales island, alaska",Big Tree Bay,55.569893,-133.212616,7/18/2018,2018,1,1
"west prince of wales island, alaska",Big Tree Bay,55.574162,-133.196045,7/18/2018,2018,1,1
"west prince of wales island, alaska",Big Tree Bay,55.582283,-133.199753,7/18/2018,2018,1,1
