"site","place_name","date","latitude","longitude","density1_km2_2017","density2_km2_2017","so_duration_yrs","density_pop_surv_km2","n_pits","prop_SO_shells","sea_otter_index"
"2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,9.3,4.8,14,2.877,114,0.487179487179487,1.08818648399665
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,4.142857143,8.142857143,14,2.877,23,0.378548895899054,0.873424164155534
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,3.466666667,3.4,14,2.877,3,0.352201257861635,0.548218327925368
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,6.5,5.625,14,2.877,49,0.41025641025641,0.950404746925285
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,1.692307692,2.384615385,14,2.877,83,0.399305555555556,0.660432052444096
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,7,7.8,14,2.877,244,0.368534482758621,1.11365067951879
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,4.0625,1.875,14,2.877,128,0.509433962264151,0.83784231656442
"2017_L_01","Soda Bay","4/30/2017",55.26366,-132.995,1.692307692,0.538461538,7,0.154,0,0.190909090909091,-0.580843073421568
"2017_L_02","Goats mouth inlet","5/27/2017",55.19286,-132.9,0,0,7,0.154,2,0.0555555555555556,-0.867704116053566
"2017_L_03","North Pass","5/26/2017",55.22962,-132.925,0,0,7,0.154,1,0.12280701754386,-0.84578755794294
"2017_L_04","Natzuhini Bay","6/28/2017",55.25051,-132.883,0,0,7,0.154,0,0.133828996282528,-0.889488559597139
"2017_L_05","Dunbar Inlet","6/27/2017",55.0848,-132.826,0.090909091,0.090909091,7,0.154,0,0.0833333333333333,-0.894604343330352
"2017_L_06","Farallon Bay","7/23/2017",55.19112,-133.105314,0,0,7,0.154,0,0.105263157894737,-0.911103849792075
"2017_L_07","Hetta Cove","7/22/2017",55.155625,-132.589934,0,0,7,0.154,5,0.135593220338983,-0.753815694885388
"2017_M_02","North Fish Egg Island","5/24/2017",55.49709,-133.17,1.041666667,0.333333333,14,1.341,8,0.0740740740740741,-0.242636667956591
"2017_M_03","South Fish Egg Island","5/25/2017",55.48442,-133.175,1.821428571,0.285714286,14,1.341,190,0.292237442922374,0.194237765073526
"2017_M_04","South Wadleigh Island","6/22/2017",55.52904,-133.147,0.476190476,0.428571429,14,1.341,51,0.302752293577982,0.0077438408710704
"2017_M_05","Shinaku Inlet","6/23/2017",55.59929,-133.16,1.615384615,5.769230769,14,1.341,11,0.19622641509434,0.245971906936009
"2017_M_06","Trocadero Bay","8/21/2017",55.344914,-133.0011,0,0.083333333,14,1.341,1,0.371428571428571,-0.319901604410611
"2017_M_07","Garcia Bay","7/26/2017",55.552669,-133.431392,1.333333333,1.6,14,1.341,64,0.504823151125402,0.35149014079618
"2017_M_08","Port Refugio","8/22/2017",55.282137,-133.334028,0.166666667,0,14,1.341,0,0.0760869565217391,-0.565716957816701
