"","quadrat_ID","avg_biomass","density","flowering_shoots","density_m2","flowering_m2","site"
"1",6,0.00639332198743912,29,0,116,0,"Shakan - eel"
"2",7,0.00793762019667704,18,0,72,0,"Shakan - eel"
"3",8,0.00897199202555417,39,0,156,0,"Shakan - eel"
"4",9,0.00937543137716223,28,0,112,0,"Shakan - eel"
"5",10,0.00929792838527716,48,0,192,0,"Shakan - eel"
"6",11,0.00403038979183713,138,0,552,0,"Baker Island - eel"
"7",12,0.00311444078528613,246,0,984,0,"Baker Island - eel"
"8",13,0.0047295684378402,309,0,1236,0,"Baker Island - eel"
"9",14,0.0138789240212043,255,0,1020,0,"Baker Island - eel"
"10",15,0.0106210944994691,156,0,624,0,"Baker Island - eel"
"11",16,0.00239083238942188,71,0,284,0,"Goats mouth inlet"
"12",17,0.00226021514055094,95,0,380,0,"Goats mouth inlet"
"13",18,0.00273185458075771,61,0,244,0,"Goats mouth inlet"
"14",19,0.00214690991423054,77,0,308,0,"Goats mouth inlet"
"15",20,0.00189706399084402,87,0,348,0,"Goats mouth inlet"
"16",21,0.00313786652903977,67,0,268,0,"Naukati Bay"
"17",22,0.00214973427673556,88,0,352,0,"Naukati Bay"
"18",23,0.00217215624896778,105,0,420,0,"Naukati Bay"
"19",24,0.00319331326120781,58,0,232,0,"Naukati Bay"
"20",25,0.00209991942385721,89,0,356,0,"Naukati Bay"
"21",26,0.00120398116586784,151,0,604,0,"Dunbar Inlet"
"22",27,0.00107548736195509,119,0,476,0,"Dunbar Inlet"
"23",28,0.000650894155180526,99,0,396,0,"Dunbar Inlet"
"24",29,0.000814013784288639,103,0,412,0,"Dunbar Inlet"
"25",30,0.000688476458876707,122,0,488,0,"Dunbar Inlet"
"26",31,0.00186890814643921,141,0,564,0,"Klawock airport"
"27",32,0.00190865536651229,99,0,396,0,"Klawock airport"
"28",33,0.00198037636921588,89,0,356,0,"Klawock airport"
"29",34,0.00186734829777518,75,0,300,0,"Klawock airport"
"30",35,0.00143763112230718,57,0,228,0,"Klawock airport"
"31",36,0.0024069607029301,154,0,616,0,"Salt Lake Bay"
"32",37,0.00250836075102546,113,0,452,0,"Salt Lake Bay"
"33",38,0.00213193455240797,105,0,420,0,"Salt Lake Bay"
"34",39,0.0031957316852479,98,0,392,0,"Salt Lake Bay"
"35",40,0.00383270489772024,77,0,308,0,"Salt Lake Bay"
"36",41,0.00189205152184406,57,0,228,0,"North Pass"
"37",42,0.00245984948144937,51,0,204,0,"North Pass"
"38",43,0.00277638657339607,48,0,192,0,"North Pass"
"39",44,0.00297608235545929,56,0,224,0,"North Pass"
"40",45,0.00281302628279932,34,0,136,0,"North Pass"
"41",46,0.0022415124754304,98,0,392,0,"South Wadleigh Island"
"42",47,0.00242528086945798,53,0,212,0,"South Wadleigh Island"
"43",48,0.00165284408508065,141,0,564,0,"South Wadleigh Island"
"44",49,0.00167594689494571,100,0,400,0,"South Wadleigh Island"
"45",50,0.00199241019882179,43,0,172,0,"South Wadleigh Island"
"46",51,0.00287778875267441,86,2,344,8,"Shinaku Inlet"
"47",52,0.00347127635082892,71,0,284,0,"Shinaku Inlet"
"48",53,0.00289791569553084,71,0,284,0,"Shinaku Inlet"
"49",54,0.00340327593879398,54,4,216,16,"Shinaku Inlet"
"50",55,0.00259307458951676,48,0,192,0,"Shinaku Inlet"
"51",56,0.00446959673737531,117,0,468,0,"Guktu Bay"
"52",57,0.00329882301851517,92,0,368,0,"Guktu Bay"
"53",58,0.00461878620004424,115,0,460,0,"Guktu Bay"
"54",59,0.00459263989576815,79,0,316,0,"Guktu Bay"
"55",60,0.00601735551449993,168,0,672,0,"Guktu Bay"
"56",61,0.00330637311372187,109,0,436,0,"Port Refugio"
"57",62,0.00295358852143315,122,0,488,0,"Port Refugio"
"58",63,0.00297093623106602,117,0,468,0,"Port Refugio"
"59",64,0.00326217962880308,79,0,316,0,"Port Refugio"
"60",65,0.0033744557137011,84,0,336,0,"Port Refugio"
"61",66,0.00295132081025507,202,0,808,0,"North Fish Egg Island"
"62",67,0.00339182174623182,213,3,852,12,"North Fish Egg Island"
"63",68,0.00382551808715478,302,0,1208,0,"North Fish Egg Island"
"64",69,0.00271269781374679,156,0,624,0,"North Fish Egg Island"
"65",70,0.00324852918117565,166,0,664,0,"North Fish Egg Island"
"66",71,0.00492078646495604,74,1,296,4,"Natzuhini Bay"
"67",72,0.00532858385167214,91,0,364,0,"Natzuhini Bay"
"68",73,0.00544769250174719,86,1,344,4,"Natzuhini Bay"
"69",74,0.00632465965435331,65,0,260,0,"Natzuhini Bay"
"70",75,0.00458919906647236,64,2,256,8,"Natzuhini Bay"
"71",76,0.00570570569071224,53,0,212,0,"Heceta"
"72",77,0.0051184235429108,69,3,276,12,"Heceta"
"73",78,0.00513217281837973,43,5,172,20,"Heceta"
"74",79,0.00762773837238768,40,0,160,0,"Heceta"
"75",80,0.00386219090449502,54,2,216,8,"Heceta"
"76",81,0.00352072702021043,92,0,368,0,"Nossuk Bay"
"77",82,0.0073841106649353,63,0,252,0,"Nossuk Bay"
"78",83,0.00457282315149017,62,0,248,0,"Nossuk Bay"
"79",84,0.00656827035859384,89,2,356,8,"Nossuk Bay"
"80",85,0.00406135911004758,76,0,304,0,"Nossuk Bay"
"81",86,0.00543308330195631,67,0,268,0,"Kaguk Cove"
"82",87,0.00420458524302671,81,1,324,4,"Kaguk Cove"
"83",88,0.0052365265126434,96,1,384,4,"Kaguk Cove"
"84",89,0.00915021512292773,113,4,452,16,"Kaguk Cove"
"85",90,0.00449436676369923,64,0,256,0,"Kaguk Cove"
"86",91,0.00146621911939866,82,0,328,0,"Farallon Bay"
