"sp_code","Site","Date","YYYYMMDD","Transect","TransectBin","Transect_m","species_common","species_scientific","Death","width_mm","mass_g","Notes","Measurers"
"CALMHI","2017_H_05","7/24/2017",20170725,"Outside",4,"76-100","Hiatella calm","Hiatella sp","Whole",1.1,0.223807252617303,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CALMHI","2017_H_05","7/24/2017",20170725,"Outside",4,"76-100","Hiatella calm","Hiatella sp","Whole",2.3,2.26008542168569,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CALMHI","2017_H_05","7/24/2017",20170725,"Outside",4,"76-100","Hiatella calm","Hiatella sp","Whole",2,1.4582672567092,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_L_02","7/14/2017",20170715,"Outside",1,"0-25","Butter clam","Saxidomus gigantea","Crab",66,128.403891452559,"Estimate","Tiff Stephens"
"CLAMBU","2017_H_06","7/23/2017",20170724,"Outside",1,"0-25","Butter clam","Saxidomus gigantea","Sea Otter",40,26.4377418646735,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_L_02","7/14/2017",20170715,"Edge",3,"51-75","Butter clam","Saxidomus gigantea","Sea Otter",72,168.97966829768,"","Tiff Stephens"
"CLAMBU","2017_H_06","7/23/2017",20170724,"Outside",1,"0-25","Butter clam","Saxidomus gigantea","Sea Otter",48,47.0014316248526,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_L_06","7/22/2017",20170723,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Crab",60,95.0490377929254,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_H_02","8/21/2017",20170822,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Sea Otter",82,254.731697805942,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_L_04","6/27/2017",20170628,"Edge",1,"0-25","Butter clam","Saxidomus gigantea","Crab",58,85.404912587525,"","Ginny Eckert, Tiff Stephens, Nicole LaRoche"
"CLAMBU","2017_H_07","8/19/2017",20170820,"Edge",1,"0-25","Butter clam","Saxidomus gigantea","Whole",57,80.8436726633709,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_L_06","7/22/2017",20170723,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Crab",62,105.411715421639,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_H_01","8/18/2017",20170819,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Sea Otter",64,116.520701358479,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_H_05","7/24/2017",20170725,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Sea Otter",60,95.0490377929254,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_H_01","8/18/2017",20170819,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Sea Otter",84,274.859449179946,"Estimate","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_L_01","7/8/17",20170709,"Edge",3,"51-75","Butter clam","Saxidomus gigantea","Crab",54,68.1620195629361,"","Ashley Bolwerk, Tiff Stephens, Cathy Mattson"
"CLAMBU","2017_L_02","7/14/2017",20170715,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Crab",72,168.97966829768,"","Tiff Stephens"
"CLAMBU","2017_L_07","7/21/2017",20170722,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Whole",64,116.520701358479,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_M_06","8/20/2017",20170821,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Whole",85,285.319051728118,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_L_07","7/21/2017",20170722,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Whole",68,141.089317813852,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_L_01","7/8/17",20170709,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Crab",57,80.8436726633709,"","Ashley Bolwerk, Tiff Stephens, Cathy Mattson"
"CLAMBU","2017_L_02","7/14/2017",20170715,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Crab",70,154.605145317391,"Estimate","Tiff Stephens"
"CLAMBU","2017_L_01","7/8/17",20170709,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Sea Otter",116,761.199024524664,"","Ashley Bolwerk, Tiff Stephens, Cathy Mattson"
"CLAMBU","2017_L_02","7/14/2017",20170715,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Whole",74,184.241307417809,"","Tiff Stephens"
"CLAMBU","2017_L_06","7/22/2017",20170723,"Edge",3,"51-75","Butter clam","Saxidomus gigantea","Whole",59,90.138885306923,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_L_03","7/23/2017",20170724,"Inside",2,"26-50","Butter clam","Saxidomus gigantea","Crab",90,341.720546013529,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_H_02","8/21/2017",20170822,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Sea Otter",90,341.720546013529,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_L_07","7/21/2017",20170722,"Edge",1,"0-25","Butter clam","Saxidomus gigantea","Whole",72,168.97966829768,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_L_01","7/8/17",20170709,"Edge",1,"0-25","Butter clam","Saxidomus gigantea","Whole",68,141.089317813852,"","Ashley Bolwerk, Tiff Stephens, Cathy Mattson"
"CLAMBU","2017_M_06","8/20/2017",20170821,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Whole",68,141.089317813852,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_H_07","8/19/2017",20170820,"Edge",1,"0-25","Butter clam","Saxidomus gigantea","Whole",53,64.2574282376507,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_H_02","8/21/2017",20170822,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Sea Otter",42,30.8386459713703,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_L_03","7/23/2017",20170724,"Inside",2,"26-50","Butter clam","Saxidomus gigantea","Crab",57,80.8436726633709,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_H_01","8/18/2017",20170819,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Sea Otter",60,95.0490377929254,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_H_05","7/24/2017",20170725,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Sea Otter",49,50.1616160721425,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_L_06","7/22/2017",20170723,"Edge",3,"51-75","Butter clam","Saxidomus gigantea","Whole",62,105.411715421639,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_H_02","8/21/2017",20170822,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Sea Otter",58,85.404912587525,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_L_06","7/22/2017",20170723,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Whole",60,95.0490377929254,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_L_07","7/21/2017",20170722,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Crab",72,168.97966829768,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_L_06","7/22/2017",20170723,"Edge",3,"51-75","Butter clam","Saxidomus gigantea","Whole",67,134.644567867169,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_H_05","7/24/2017",20170725,"Outside",1,"0-25","Butter clam","Saxidomus gigantea","Sea Otter",48,47.0014316248526,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_H_06","7/23/2017",20170724,"Outside",1,"0-25","Butter clam","Saxidomus gigantea","Sea Otter",70,154.605145317391,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_L_07","7/21/2017",20170722,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Crab",82,254.731697805942,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_H_06","7/23/2017",20170724,"Outside",1,"0-25","Butter clam","Saxidomus gigantea","Sea Otter",46,41.0941143612539,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_L_01","7/8/17",20170709,"Edge",3,"51-75","Butter clam","Saxidomus gigantea","Crab",59,90.138885306923,"","Ashley Bolwerk, Tiff Stephens, Cathy Mattson"
"CLAMBU","2017_H_01","8/18/2017",20170819,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Whole",67,134.644567867169,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_M_04","7/11/17",20170712,"Inside",3,"51-75","Butter clam","Saxidomus gigantea","Sea Otter",80,235.634961834314,"","Ashley Bolwerk, Cathy Mattson"
"CLAMBU","2017_L_06","7/22/2017",20170723,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Whole",63,110.871179596928,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_H_01","8/18/2017",20170819,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Sea Otter",71,161.683296506766,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_M_06","8/20/2017",20170821,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Whole",70,154.605145317391,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_L_07","7/21/2017",20170722,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Crab",57,80.8436726633709,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_H_07","8/19/2017",20170820,"Edge",1,"0-25","Butter clam","Saxidomus gigantea","Whole",72,168.97966829768,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_H_01","8/18/2017",20170819,"Outside",4,"76-100","Butter clam","Saxidomus gigantea","Sea Otter",42,30.8386459713703,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_H_01","8/18/2017",20170819,"Outside",4,"76-100","Butter clam","Saxidomus gigantea","Sea Otter",50,53.4639443690103,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_H_05","7/24/2017",20170725,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Sea Otter",43,33.2158819543498,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_M_06","8/20/2017",20170821,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Whole",47,43.9800433338082,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_M_07","7/25/2017",20170726,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Whole",58,85.404912587525,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_L_06","7/22/2017",20170723,"Edge",3,"51-75","Butter clam","Saxidomus gigantea","Crab",54,68.1620195629361,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_H_06","7/23/2017",20170724,"Edge",1,"0-25","Butter clam","Saxidomus gigantea","Whole",53,64.2574282376507,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_L_06","7/22/2017",20170723,"Outside",3,"76-100","Butter clam","Saxidomus gigantea","Crab",56,76.4517278156667,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_L_06","7/22/2017",20170723,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Whole",47,43.9800433338082,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_L_04","6/27/2017",20170628,"Edge",1,"0-25","Butter clam","Saxidomus gigantea","Crab",61,100.138826136883,"","Ginny Eckert, Tiff Stephens, Nicole LaRoche"
