site,date_set,YYYYMMDD_set,time_set,date_pulled,YYYYMMDD_pulled,time_pulled,time_soak_hr,trap,string,species_common,species_scientific,taxon,sp_code,carapace_width_mm,sex,fork_length_mm,unmeasured,notes
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,minnow,1,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,92,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,minnow,1,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,196,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,minnow,1,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,52,M,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,minnow,1,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,50,M,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,minnow,1,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,44,M,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,minnow,1,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,48,M,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,minnow,1,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,40,F,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,minnow,1,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,46,M,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,minnow,1,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,54,M,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,shrimp,1,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,91,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,shrimp,1,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,42,F,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,minnow,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,60,M,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,minnow,2,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,226,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,minnow,2,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,46,M,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,minnow,2,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,48,M,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,minnow,2,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,62,M,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,minnow,2,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,42,F,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,minnow,2,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,42,F,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,shrimp,2,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,48,M,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,shrimp,2,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,38,M,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,shrimp,2,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,40,M,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,shrimp,2,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,50,M,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,minnow,3,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,148,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,minnow,3,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,88,M,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,minnow,3,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,80,M,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,minnow,3,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,56,M,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,minnow,3,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,88,F,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,minnow,3,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,48,F,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,minnow,3,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,62,M,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,minnow,3,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,42,M,,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,shrimp,3,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,152,,
2017_H_01,5/29/2017,20170529,1223,5/30/2017,20170530,920,20.95,shrimp,3,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,44,F,,,
2017_H_02,5/29/2017,20170529,1250,5/30/2017,20170530,1200,23.83,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,52,M,,,
2017_H_02,5/29/2017,20170529,1250,5/30/2017,20170530,1200,23.83,minnow,1,Rock sole,Lepidopsetta spp.,Vertebrata,SOLEROC,,,102,,
2017_H_02,5/29/2017,20170529,1250,5/30/2017,20170530,1200,23.83,minnow,1,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,50,M,,,
2017_H_02,5/29/2017,20170529,1250,5/30/2017,20170530,1200,23.83,minnow,2,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,163,,
2017_H_02,5/29/2017,20170529,1250,5/30/2017,20170530,1200,23.83,minnow,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,58,M,,,
2017_H_02,5/29/2017,20170529,1250,5/30/2017,20170530,1200,23.83,minnow,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,54,M,,,
2017_H_02,5/29/2017,20170529,1250,5/30/2017,20170530,1200,23.83,minnow,2,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,48,M,,,
2017_H_02,5/29/2017,20170529,1250,5/30/2017,20170530,1200,23.83,minnow,2,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,52,M,,,
2017_H_02,5/29/2017,20170529,1250,5/30/2017,20170530,1200,23.83,shrimp,2,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,40,M,,,
2017_H_02,5/29/2017,20170529,1250,5/30/2017,20170530,1200,23.83,minnow,3,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,195,,
2017_H_03,6/24/2017,20170624,1028,6/25/2017,20170625,1115,24.78,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,54,F,,,
2017_H_03,6/24/2017,20170624,1028,6/25/2017,20170625,1115,24.78,minnow,1,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,200,,
2017_H_03,6/24/2017,20170624,1028,6/25/2017,20170625,1115,24.78,minnow,1,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,150,,
2017_H_03,6/24/2017,20170624,1028,6/25/2017,20170625,1115,24.78,minnow,1,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,170,,
2017_H_03,6/24/2017,20170624,1028,6/25/2017,20170625,1115,24.78,minnow,1,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,220,,
2017_H_03,6/24/2017,20170624,1028,6/25/2017,20170625,1115,24.78,minnow,1,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,198,,
2017_H_03,6/24/2017,20170624,1028,6/25/2017,20170625,1115,24.78,minnow,1,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,195,,
2017_H_03,6/24/2017,20170624,1028,6/25/2017,20170625,1115,24.78,minnow,2,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,200,,
2017_H_03,6/24/2017,20170624,1028,6/25/2017,20170625,1115,24.78,minnow,2,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,215,,
2017_H_03,6/24/2017,20170624,1028,6/25/2017,20170625,1115,24.78,minnow,2,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,185,,
2017_H_03,6/24/2017,20170624,1028,6/25/2017,20170625,1115,24.78,minnow,2,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,235,,
2017_H_03,6/24/2017,20170624,1028,6/25/2017,20170625,1115,24.78,minnow,2,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,185,,
2017_H_03,6/24/2017,20170624,1028,6/25/2017,20170625,1115,24.78,minnow,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,51,M,,,
2017_H_03,6/24/2017,20170624,1028,6/25/2017,20170625,1115,24.78,minnow,3,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,158,,
2017_H_03,6/24/2017,20170624,1028,6/25/2017,20170625,1115,24.78,minnow,3,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,166,,
2017_H_03,6/24/2017,20170624,1028,6/25/2017,20170625,1115,24.78,shrimp,3,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,260,,
2017_H_04,6/24/2017,20170624,1110,6/25/2017,20170625,1235,24.78,minnow,1,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,180,,
2017_H_04,6/24/2017,20170624,1110,6/25/2017,20170625,1235,24.78,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,49,M,,,
2017_H_04,6/24/2017,20170624,1110,6/25/2017,20170625,1235,24.78,minnow,1,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,52,F,,,
2017_H_04,6/24/2017,20170624,1110,6/25/2017,20170625,1235,24.78,shrimp,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,44,M,,,
2017_H_04,6/24/2017,20170624,1110,6/25/2017,20170625,1235,24.78,minnow,3,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,54,F,,,
2017_H_04,6/24/2017,20170624,1110,6/25/2017,20170625,1235,24.78,minnow,3,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,45,F,,,
2017_H_05,8/8/2017,20170808,920,8/9/2017,20170808,1353,28.55,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,71,U,,,
2017_H_05,8/8/2017,20170808,920,8/9/2017,20170808,1353,28.55,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,50,M,,,
2017_H_05,8/8/2017,20170808,920,8/9/2017,20170808,1353,28.55,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,41,M,,,
2017_H_05,8/8/2017,20170808,920,8/9/2017,20170808,1353,28.55,shrimp,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,52,M,,,
2017_H_05,8/8/2017,20170808,920,8/9/2017,20170808,1353,28.55,shrimp,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,55,F,,,
2017_H_05,8/8/2017,20170808,920,8/9/2017,20170808,1353,28.55,minnow,2,Butter sole,Isopsetta isolepis,Vertebrata,SOLEBUT,,,242,,
2017_H_05,8/8/2017,20170808,920,8/9/2017,20170808,1353,28.55,minnow,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,56,M,,,
2017_H_05,8/8/2017,20170808,920,8/9/2017,20170808,1353,28.55,minnow,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,50,F,,,
2017_H_05,8/8/2017,20170808,920,8/9/2017,20170808,1353,28.55,minnow,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,45,F,,,
2017_H_05,8/8/2017,20170808,920,8/9/2017,20170808,1353,28.55,shrimp,2,Decorator crab,Oregonia gracilis,Decapoda,CRABDEC,31,F,,,
2017_H_05,8/8/2017,20170808,920,8/9/2017,20170808,1353,28.55,shrimp,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,73,M,,,
2017_H_05,8/8/2017,20170808,920,8/9/2017,20170808,1353,28.55,minnow,3,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,160,,
2017_H_05,8/8/2017,20170808,920,8/9/2017,20170808,1353,28.55,minnow,3,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,215,,
2017_H_05,8/8/2017,20170808,920,8/9/2017,20170808,1353,28.55,minnow,3,Butter sole,Isopsetta isolepis,Vertebrata,SOLEBUT,,,208,,
