sample_serial,data_file,site_type,site,otter_region,latitude,longitude,date_YYYYMMDD,date,month,depth_m,time_24hr,temperature_c,salinity_ppt,DO_mg/L,DO_%,conductivity,light_umol_water,light_umol_air,nox_umol,nh4_umol,po4_umol,tot_N,N:P
envEGH01201704291,env,EG,EGH01,high,55.67264,-133.378,20170429,4/29/2017,4,1,11:30,8,28,13.3,,,219,591,,,,,
envEGH01201704290,env,EG,EGH01,high,55.67264,-133.378,20170429,4/29/2017,4,0,11:30,8,6,12.8,,,341,591,0.585,3.931,0.377,4.516,10.12
envEGH01201708141,env,EG,EGH01,high,55.67264,-133.378,20170814,8/14/2017,8,1,10:30,14,30.6,8.63,100.8,47042,,,0.146,0.82,0.331,0.966,2.921
envEGH01201708144,env,EG,EGH01,high,55.67264,-133.378,20170814,8/14/2017,8,4,10:30,14.1,31,8.05,95.5,47551,,,0.581,2.781,0.599,3.362,5.677
envEGH02201705291,env,EG,EGH02,high,55.7073,-133.342,20170529,5/29/2017,5,1,13:00,10.3,30.9,10.72,116.6,47741,145.4,438.4,,,,,
envEGH02201705290,env,EG,EGH02,high,55.7073,-133.342,20170529,5/29/2017,5,0,13:00,10.9,30.4,10.58,115.6,47004,235.5,438.4,0.182,1.171,0.347,1.353,3.892
envEGH02201708141,env,EG,EGH02,high,55.7073,-133.342,20170814,8/14/2017,8,1,11:30,13.6,30.6,9.34,108.7,47090,,,0.157,1.022,0.213,1.178,5.454
envEGH02201708144,env,EG,EGH02,high,55.7073,-133.342,20170814,8/14/2017,8,4,11:30,12.8,31.4,8.22,94.6,48208,,,0.297,2.031,0.457,2.328,5.108
envEGH03201706251,env,EG,EGH03,high,55.80692,-133.171,20170625,6/25/2017,6,1,11:20,12.8,29.5,8.95,101.4,45527,138.8,298.7,,,,,
envEGH03201706250,env,EG,EGH03,high,55.80692,-133.171,20170625,6/25/2017,6,0,11:20,12.9,29.4,8.68,98.8,45494,249.5,298.7,1.628,3.706,0.55,5.334,9.655
envEGH03201708141,env,EG,EGH03,high,55.80692,-133.171,20170814,8/14/2017,8,1,14:35,14.5,30,8.4,99.2,46264,,,0.146,0.752,0.344,0.897,2.631
envEGH03201708144,env,EG,EGH03,high,55.80692,-133.171,20170814,8/14/2017,8,4,14:35,14.2,30.7,8.21,96.2,47157,,,0.078,0.893,0.397,0.971,2.49
envEGH04201706241,env,EG,EGH04,high,55.73361,-133.29,20170624,6/24/2017,6,1,10:10,11,30.6,10.03,108.2,47365,245.5,786.2,,,,,
envEGH04201706240,env,EG,EGH04,high,55.73361,-133.29,20170624,6/24/2017,6,0,10:10,11.7,28.9,9.55,104.5,44498,452.8,786.2,0.942,3.831,0.935,4.773,5.103
envEGH04201708141,env,EG,EGH04,high,55.73361,-133.29,20170814,8/14/2017,8,1,12:55,12.5,31.4,8.44,96.4,48013,,,1.703,2.586,0.626,4.289,6.821
envEGH04201708144,env,EG,EGH04,high,55.73361,-133.29,20170814,8/14/2017,8,4,12:55,12.4,31.3,8.18,93.2,48170,,,2.623,3.496,0.866,6.119,7.004
envEGH05201707251,env,EG,EGH05,high,55.862405,-133.190722,20170725,7/25/2017,7,1,09:45,13.7,29.7,10.7,124.4,45655,71.1,363.4,,,,,
envEGH05201707250,env,EG,EGH05,high,55.862405,-133.190722,20170725,7/25/2017,7,0,09:45,14.1,29,11.62,135.3,44808,218.6,363.4,0.49,1.199,0.359,1.689,4.692
envEGH05201708141,env,EG,EGH05,high,55.862405,-133.190722,20170814,8/14/2017,8,1,13:50,14.9,29.7,8.55,101.1,45736,,,0.304,2.506,0.441,2.81,5.969
envEGH05201708144,env,EG,EGH05,high,55.862405,-133.190722,20170814,8/14/2017,8,4,13:50,14,30.4,7.87,92,46725,,,0.463,3.001,0.668,3.464,5.208
envEGH06201707241,env,EG,EGH06,high,55.739816,-133.312022,20170724,7/24/2017,7,1,09:30,11.8,31.4,8.5,92,48250,215.2,560.4,,,,,
envEGH06201707240,env,EG,EGH06,high,55.739816,-133.312022,20170724,7/24/2017,7,0,09:30,12,31.3,8.8,99,48220,380.1,560.4,2.148,2.571,0.746,4.719,6.287
envEGH06201708141,env,EG,EGH06,high,55.739816,-133.312022,20170814,8/14/2017,8,1,12:20,12.3,31.4,8,91.1,48190,,,1.613,2.641,0.719,4.254,5.936
envEGH06201708144,env,EG,EGH06,high,55.739816,-133.312022,20170814,8/14/2017,8,4,12:20,12.1,31.5,7.46,85,48355,,,2.628,4.906,0.858,7.534,8.706
envEGH07201708141,env,EG,EGH07,high,55.62082,-133.38664,20170814,8/14/2017,8,1,09:40,13.3,30.3,7.19,83.3,46729,,,0.749,2.331,0.526,3.08,5.858
envEGH07201708144,env,EG,EGH07,high,55.62082,-133.38664,20170814,8/14/2017,8,4,09:40,13.3,30.7,8.55,98.5,47254,,,0.25,1.264,0.387,1.513,3.586
envEGH07201708201,env,EG,EGH07,high,55.62082,-133.38664,20170820,8/20/2017,8,1,08:30,12.9,30.6,8.22,93.1,47185,42.6,131.2,,,,,
envEGH07201708200,env,EG,EGH07,high,55.62082,-133.38664,20170820,8/20/2017,8,0,08:30,12.9,30.7,8.24,92.6,47300,98.2,131.2,2.013,2.076,0.669,4.089,6.087
envEGL01201704301,env,EG,EGL01,low,55.26366,-132.995,20170430,4/30/2017,4,1,13:00,10,30,10.9,,,460,785,,,,,
envEGL01201704300,env,EG,EGL01,low,55.26366,-132.995,20170430,4/30/2017,4,0,13:00,10,15,12.7,,,605,785,0.8,2.246,0.352,3.046,8.576
envEGL01201708141,env,EG,EGL01,low,55.26366,-132.995,20170814,8/14/2017,8,1,11:20,14.3,24,,,,,,0.214,1.581,0.169,1.795,11.9
envEGL01201708144,env,EG,EGL01,low,55.26366,-132.995,20170814,8/14/2017,8,4,11:17,13.7,32,,,,,,0.711,2.786,0.452,3.497,7.626
envEGL02201705271,env,EG,EGL02,low,55.19286,-132.9,20170527,5/27/2017,5,1,11:00,11.1,30.7,10.14,112.3,47300,1166.5,2100,,,,,
