sample_id_label,otter_region,site,site_corr,site_full,date_label,date_corr,sampling_type,month,rep,depth_m,nox_umol,nh4_umol,po4_umol,tot_N,N:P
AK_2017_H01_04292017_1,high,H01,H01,2017_H_01,04292017,4/29/2017,eelgrass,4,1,1,0.167842857,0.946292271,0.253,1.114135128,4.40369616
AK_2017_H01_04292017_2,high,H01,H01,2017_H_01,04292017,4/29/2017,eelgrass,4,2,1,1.002142857,6.916292271,0.5,7.918435128,15.83687026
AK_2017_H01_08132017_1MA,high,H01,H01,2017_H_01,08132017,8/14/2017,nutday,8,1,1,0.079142857,0.825292271,0.32,0.904435128,2.826359776
AK_2017_H01_08132017_1MB,high,H01,H01,2017_H_01,08132017,8/14/2017,nutday,8,2,1,0.213842857,0.814292271,0.341,1.028135128,3.015059028
AK_2017_H01_08132017_4MA,high,H01,H01,2017_H_01,08132017,8/14/2017,nutday,8,1,4,0.699142857,2.776292271,0.673,3.475435128,5.164093801
AK_2017_H01_08132017_4MB,high,H01,H01,2017_H_01,08132017,8/14/2017,nutday,8,2,4,0.463142857,2.786292271,0.525,3.249435128,6.189400245
AK_2017_H02_05292017_A1,high,H02,H02,2017_H_02,05292017,5/29/2017,eelgrass,5,1,1,0.201362857,1.266292271,0.364,1.467655128,4.032019583
AK_2017_H02_05292017_B2,high,H02,H02,2017_H_02,05292017,5/29/2017,eelgrass,5,2,1,0.162142857,1.076292271,0.33,1.238435128,3.752833722
AK_2017_H02_08132017_1MA,high,H02,H02,2017_H_02,08132017,8/14/2017,nutday,8,1,1,0.115642857,0.767292271,0.195,0.882935128,4.527872453
AK_2017_H02_08132017_1MB,high,H02,H02,2017_H_02,08132017,8/14/2017,nutday,8,2,1,0.197374857,1.276292271,0.231,1.473667128,6.379511378
AK_2017_H02_08132017_4MA,high,H02,H02,2017_H_02,08132017,8/14/2017,nutday,8,1,4,0.158342857,1.056292271,0.458,1.214635128,2.652041765
AK_2017_H02_08132017_4MB,high,H02,H02,2017_H_02,08132017,8/14/2017,nutday,8,2,4,0.435142857,3.006292271,0.455,3.441435128,7.563593689
AK_2017_H03_A,high,H03,H03,2017_H_03,na,6/25/2017,eelgrass,6,1,1,1.528142857,2.996292271,0.497,4.524435128,9.103491204
AK_2017_H03_B,high,H03,H03,2017_H_03,na,6/25/2017,eelgrass,6,2,1,1.728142857,4.416292271,0.602,6.144435128,10.20670287
AK_2017_H03_08132017_1MA,high,H03,H03,2017_H_03,08132017,8/14/2017,nutday,8,1,1,0.045142857,0.862292271,0.374,0.907435128,2.426297135
AK_2017_H03_08132017_1MB,high,H03,H03,2017_H_03,08132017,8/14/2017,nutday,8,2,1,0.246042857,0.641292271,0.313,0.887335128,2.834936512
AK_2017_H03_08132017_4MA,high,H03,H03,2017_H_03,08132017,8/14/2017,nutday,8,1,4,0.039142857,1.046292271,0.362,1.085435128,2.998439581
AK_2017_H03_08132017_4MB,high,H03,H03,2017_H_03,08132017,8/14/2017,nutday,8,2,4,0.115942857,0.740292271,0.432,0.856235128,1.98202576
AK_2017_H04_06242017_A,high,H04,H04,2017_H_04,06242017,6/24/2017,eelgrass,6,1,1,0.865142857,3.606292271,0.904,4.471435128,4.946277797
AK_2017_H04_06242017_B,high,H04,H04,2017_H_04,06242017,6/24/2017,eelgrass,6,2,1,1.019142857,4.056292271,0.965,5.075435128,5.259518268
AK_2017_H04_08142017_1MA,high,H04,H04,2017_H_04,08142017,8/14/2017,nutday,8,1,1,1.578142857,3.546292271,0.643,5.124435128,7.969572517
AK_2017_H04_08132017_1MB,high,H04,H04,2017_H_04,08132017,8/14/2017,nutday,8,2,1,1.828142857,1.626292271,0.609,3.454435128,5.672307272
