"","site","date","YYYYMMDD","trans_type","trans_bin","trans_m","pit_bin","sed1_type","sed2_type","sed1_no","sed2_no","field_collector"
"1","2017_H_04","7/7/2013",20170707,"Edge",1,10,0,"Sandy mud","Mud",2,1,"Tiff Stephens"
"2","2017_H_04","7/7/2013",20170707,"Edge",2,20,0,"Sandy mud","Mud",2,1,"Tiff Stephens"
"3","2017_H_04","7/7/2013",20170707,"Edge",3,30,6,"Sand","Pebble",4,6,"Tiff Stephens"
"4","2017_H_04","7/7/2013",20170707,"Edge",4,40,9,"Sandy mud","Sand",2,4,"Tiff Stephens"
"5","2017_H_04","7/7/2013",20170707,"Edge",5,50,0,"Sandy mud","Muddy sand",2,3,"Tiff Stephens"
"6","2017_H_04","7/7/2013",20170707,"Edge",6,60,1,"Sandy mud","Cobble",2,8,"Tiff Stephens"
"7","2017_H_04","7/7/2013",20170707,"Edge",7,70,1,"Sandy mud","Cobble",2,8,"Tiff Stephens"
"8","2017_H_04","7/7/2013",20170707,"Edge",8,80,2,"Sandy mud","Sandy mud",2,2,"Tiff Stephens"
"9","2017_H_04","7/7/2013",20170707,"Edge",9,90,4,"Sandy mud","Sandy mud",2,2,"Tiff Stephens"
"10","2017_H_04","7/7/2013",20170707,"Edge",10,100,2,"Sandy mud","Sandy mud",2,2,"Tiff Stephens"
"11","2017_H_04","7/7/2013",20170707,"Inside",1,10,0,"Sandy mud","Sandy mud",2,2,"Tiff Stephens"
"12","2017_H_04","7/7/2013",20170707,"Inside",2,20,0,"Sandy mud","Sandy mud",2,2,"Tiff Stephens"
"13","2017_H_04","7/7/2013",20170707,"Inside",3,30,1,"Mud","Mud",1,1,"Tiff Stephens"
"14","2017_H_04","7/7/2013",20170707,"Inside",4,40,1,"Mud","Mud",1,1,"Tiff Stephens"
"15","2017_H_04","7/7/2013",20170707,"Inside",5,50,0,"Mud","Mud",1,1,"Tiff Stephens"
"16","2017_H_04","7/7/2013",20170707,"Inside",6,60,0,"Mud","Mud",1,1,"Tiff Stephens"
"17","2017_H_04","7/7/2013",20170707,"Inside",7,70,0,"Mud","Mud",1,1,"Tiff Stephens"
"18","2017_H_04","7/7/2013",20170707,"Inside",8,80,0,"Mud","Mud",1,1,"Tiff Stephens"
"19","2017_H_04","7/7/2013",20170707,"Inside",9,90,0,"Mud","Mud",1,1,"Tiff Stephens"
"20","2017_H_04","7/7/2013",20170707,"Inside",10,100,0,"Mud","Mud",1,1,"Tiff Stephens"
"21","2017_H_04","7/7/2013",20170707,"Outside",1,10,0,"Mud","Sandy mud",1,2,"Tiff Stephens"
"22","2017_H_04","7/7/2013",20170707,"Outside",2,20,0,"Mud","Sandy mud",1,2,"Tiff Stephens"
"23","2017_H_04","7/7/2013",20170707,"Outside",3,30,8,"Sand","Sand",4,4,"Tiff Stephens"
"24","2017_H_04","7/7/2013",20170707,"Outside",4,40,9,"Sand","Pebble",4,6,"Tiff Stephens"
"25","2017_H_04","7/7/2013",20170707,"Outside",5,50,3,"Sand","Pebble",4,6,"Tiff Stephens"
"26","2017_H_04","7/7/2013",20170707,"Outside",6,60,1,"Sand","Cobble",4,8,"Tiff Stephens"
"27","2017_H_04","7/7/2013",20170707,"Outside",7,70,0,"Sand","Cobble",4,8,"Tiff Stephens"
"28","2017_H_04","7/7/2013",20170707,"Outside",8,80,1,"Muddy Sand","Cobble",3,8,"Tiff Stephens"
"29","2017_H_04","7/7/2013",20170707,"Outside",9,90,0,"Muddy Sand","Cobble",3,8,"Tiff Stephens"
"30","2017_H_04","7/7/2013",20170707,"Outside",10,100,0,"Muddy Sand","Sand",3,4,"Tiff Stephens"
"31","2017_H_05","7/24/2013",20170725,"Edge",1,10,0,"Sandy mud","Gravel",2,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens"
"32","2017_H_05","7/24/2013",20170725,"Edge",2,20,0,"Sandy mud","Gravel",2,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens"
"33","2017_H_05","7/24/2013",20170725,"Edge",3,30,0,"Sandy mud","Gravel",2,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens"
"34","2017_H_05","7/24/2013",20170725,"Edge",4,40,0,"Sandy mud","Gravel",2,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens"
"35","2017_H_05","7/24/2013",20170725,"Edge",5,50,1,"Sandy mud","Gravel",2,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens"
"36","2017_H_05","7/24/2013",20170725,"Edge",6,60,0,"Sandy mud","Gravel",2,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens"
"37","2017_H_05","7/24/2013",20170725,"Edge",7,70,0,"Sandy mud","Sandy mud",2,2,"Wendel Raymond, Cathy Mattson, Tiff Stephens"
"38","2017_H_05","7/24/2013",20170725,"Edge",8,80,0,"Sandy mud","Sandy mud",2,2,"Wendel Raymond, Cathy Mattson, Tiff Stephens"
"39","2017_H_05","7/24/2013",20170725,"Edge",9,90,0,"Sandy mud","Mud",2,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens"
"40","2017_H_05","7/24/2013",20170725,"Edge",10,100,0,"Sandy mud","Mud",2,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens"
"41","2017_H_05","7/24/2013",20170725,"Inside",1,10,0,"Mud","Mud",1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens"
"42","2017_H_05","7/24/2013",20170725,"Inside",2,20,0,"Mud","Mud",1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens"
