"","site","site_name","latitude","longitude","date","julian_day","depth_m","so_index","pits_in","pits_edge","pits_out","pits_tot_site","sed1_in","sed1_edge","sed1_out","sed2_in","sed2_edge","sed2_out","sedmean_in","sedmean_edge","sedmean_out","sed1_site","sed2_site","sedmean_site","macroalgae_percent_cover","epiphyte_percent_cover","epiphyte_mass_perplant","epi_mass_shootmass_g.g","epi_mass_leafarea_mg.cm2","flower_density_m2","shoot_mass_perplant","shoot_density_m2","shoot_mass_m2","leaf_length_mean","leaf_length_max","leaf_width_mean","leaf_width_max","leaf_area_blade","leaf_area_plant","rhi_mass_percm","rhi_mass_percm_m2","shoot_mass_m2_sd","rhi_mass_percm_m2_sd","nox_1m","nox_4m","nox_mean","nh4_1m","nh4_4m","nh4_mean","nox.nh4","n_tot","po4_1m","po4_4m","po4_mean","grazer_mass"
"1","2017_H_01","Salt Lake Bay",55.67264,-133.378,2017-04-29,119,-0.5,0.997792222370852,3,6,105,114,1.6,3.4,2.7,1,4.6,3.9,1.3,4,3.3,2.56666666666667,3.16666666666667,2.86666666666667,0.625,NA,0.0070025,0.141607684529828,0.312789645892193,0,0.04945,226.5,11.09021,15.3334672619048,21.6775,0.25171626984127,0.295,4.09159662698413,22.38725,0.0092831926186862,2.07894779550227,3.17031879956214,0.502432373677954,0.146492857,0.581142857,0.363817857,0.819792271,2.781292271,1.800542271,0.202060158686494,2.164360128,0.3305,0.599,0.46475,0.00304999999999999
"2","2017_H_02","Nossuk Bay",55.7073,-133.342,2017-05-29,149,-0.5,0.738043442124362,4,16,3,23,1.3,1.4,2.2,1.6,1.8,3.1,1.45,1.6,2.65,1.63333333333333,2.16666666666667,1.9,0,44.75,0.011245,0.0613977613977613,0.14630687362573,0,0.18315,245,46.13512,32.9741666666667,46.985,0.412654761904762,0.4575,14.2268047619048,76.859,0.0167142858704603,4.09454138793764,22.2405686090519,1.40114383894609,0.156508857,0.296742857,0.226625857,1.021792271,2.031292271,1.526542271,0.148456981051395,1.753168128,0.213,0.4565,0.33475,0.0194
"3","2017_H_03","Chusini Cove",55.80692,-133.171,2017-06-25,176,-0.5,0.528291423193131,0,3,0,3,1,1,6.4,1,1,1,1,1,3.7,2.8,1,1.9,0,100,0.00219999999999999,0.00510760801430129,0.0139024710062387,6,0.43073,220.5,95.5658,51.1543501984127,78.8425,0.500500992063492,0.55,27.1085778769841,158.24525,0.0161283333333333,3.571022,36.9689351529787,1.53247896392143,0.145592857,0.077542857,0.111567857,0.751792271,0.893292271,0.822542271,0.135637840064271,0.934110128,0.3435,0.397,0.37025,0.16905
"4","2017_H_04","Kaguk Cove",55.73361,-133.29,2017-06-24,175,-0.61,1.07918627298595,2,25,22,49,1.2,2.2,3.1,1.2,3.7,5.6,1.2,2.95,4.35,2.16666666666667,3.5,2.83333333333333,0,91.25,0.00720749999999999,0.0174062669806194,0.0446464521324372,0,0.414075,180.5,74.62484,51.0488214285714,82.9225,0.481921626984127,0.5425,25.9331222222222,161.435,0.0188910277364479,3.38706729747557,30.5799745631437,0.955974489642009,1.703142857,2.623142857,2.163142857,2.586292271,3.496292271,3.041292271,0.711257802358056,5.204435128,0.626,0.8655,0.74575,0.1243625
"5","2017_H_05","Naukati Bay",55.862405,-133.190722,2017-07-25,206,-0.65,0.537886119798132,1,1,81,83,1,2,4.8,1,4.8,6.7,1,3.4,5.75,2.6,4.16666666666667,3.38333333333333,0,100,0.014115,0.0344846541456711,0.0981581866292068,2.5,0.4093125,205,83.53737,65.888494047619,92.3125,0.468380952380952,0.4875,31.1021928571429,143.7985,0.0143930227272727,2.94935045454545,23.383146642459,0.540356251737965,0.304097857,0.462642857,0.383370357,2.506292271,3.001292271,2.753792271,0.139215423413468,3.137162628,0.4405,0.668,0.55425,0.1093375
"6","2017_H_06","Guktu Bay",55.739816,-133.312022,2017-07-24,205,-0.7,1.17917706421584,46,96,102,244,1.2,1.4,2.1,1,2.2,3.7,1.1,1.8,2.9,1.56666666666667,2.3,1.93333333333333,0,96.5,0.03219,0.0622341659577759,0.179579085368405,2,0.51724,186,101.21096,65.3175,92.665,0.516541666666667,0.5475,34.7114125,179.2525,0.017491,3.252322,58.3278239549198,1.43217768723457,1.613142857,2.628142857,2.120642857,2.641292271,4.906292271,3.773792271,0.561939477510791,5.894435128,0.719,0.8575,0.78825,0.026225
"7","2017_H_07","Blanquizal Point",55.62082,-133.38664,2017-08-20,232,-0.52,0.627356921598538,11,85,32,128,3.1,3,3.4,3.7,7.3,7.4,3.4,5.15,5.4,3.16666666666667,6.13333333333333,4.65,0.375,15,0.010155,0.0261720058761372,0.0876265753152788,1.5,0.38801,401,155.92882,50.9754375,66.0525,0.505625,0.53,26.0446645833333,115.8895,0.0245077554447296,9.67174485933072,56.4308051604197,2.37735313852174,0.749142857,0.249642857,0.499392857,2.331292271,1.263792271,1.797542271,0.277819812672433,2.296935128,0.526,0.3865,0.45625,0.0561625
"8","2017_L_01","Soda Bay",55.26366,-132.995,2017-04-30,120,-0.5,-0.471015367360759,0,0,0,0,2.9,3.8,4,2.4,5,6.4,2.65,4.4,5.2,3.56666666666667,4.6,4.08333333333333,0,15.875,0.00748518518518519,0.151430833753541,0.464014763683028,0,0.0494297297297297,143.5,6.858815,16.199009009009,21.272972972973,0.217792792792793,0.254054054054054,3.61916666666667,16.1313513513514,0.0102884693444538,1.45552036748014,2.41164508451922,0.560255277432046,0.214142857,0.711142857,0.462642857,1.581292271,2.786292271,2.183792271,0.211852960166466,2.646435128,0.169,0.4515,0.31025,0.000412499999999996
"9","2017_L_02","Goats mouth inlet",55.19286,-132.9,2017-05-27,147,-0.5,-0.661525046347916,1,0,1,2,4,4.5,5.2,5.8,5.9,5.4,4.9,5.2,5.3,4.56666666666667,5.7,5.13333333333333,13.375,20,0.0032725,0.0279676950687975,0.0809789232092151,0.5,0.11701,232,26.4319,20.8051666666667,28.085,0.344047619047619,0.385,7.53778601190476,40.41175,0.02038261033325,4.78200087239874,10.6717945648893,2.00193461488209,0.887642857,0.415142857,0.651392857,8.6962922705,1.501292271,5.09879227075,0.127754343069988,5.75018512775,0.8305,0.412,0.62125,0.015775
"10","2017_L_03","North Pass",55.22962,-132.925,2017-05-26,146,-0.5,-0.639712212310519,1,0,0,1,2.9,2.9,7,5.4,3,4,4.15,2.95,5.5,4.26666666666667,4.13333333333333,4.2,0,96.25,0.0220225,0.136673234760213,0.310895275337665,0,0.1611325,93,14.07962,28.9421458333333,44.4725,0.365014880952381,0.4275,11.2571922619048,70.83575,0.0144623577497463,1.29748757508798,4.2341235926627,0.288509861475003,0.557142857,0.743642857,0.650392857,2.489792271,1.436292271,1.963042271,0.331318824157913,2.613435128,0.492,0.537,0.5145,0.027925
