SIN,Gross Heat
403900,10.3249
403901,12.5029
403902,9.2141
403903,9.2035
403904,8.2414
403905,13.1959
403906,14.1471
403907,14.038
403908,15.074
403909,15.1328
403925,20.2365
403926,19.8869
403927,20.2449
403928,19.9309
403929,20.3686
403930,17.8391
403931,19.0236
403932,18.3301
403933,19.4206
403934,15.8565
403935,17.9501
403936,17.8007
403937,20.5929
403938,19.7789
403939,19.1607
403940,18.9653
403941,18.1348
403942,18.645
403943,18.2688
403944,18.4061
403945,19.5621
403946,19.8886
403947,19.825
403948,19.6259
403949,16.8891
403950,17.2901
403951,18.1767
403952,19.2341
403953,17.1101
403954,21.2957
403955,19.8699
403956,21.5862
403957,19.6349
403958,19.7954
403959,19.2078
403960,20.6917
403961,17.7161
403962,19.8852
403963,20.4837
403964,19.9154
403965,16.3455
403966,20.1765
403967,22.7806
403968,20.7307
403969,21.9948
403970,19.9523
403971,20.1545
403972,20.4649
403973,17.0987
403974,19.6133
403975,20.844
403976,20.2745
403977,18.6343
403978,20.1217
403979,19.4706
403980,17.5577
403981,20.4551
403982,9.4927
403984,20.4961
403985,9.0964
403986,19.0527
403987,19.0025
403988,20.922
403989,20.7933
403990,20.8236
403991,17.8876
403992,20.0182
403993,19.7402
403994,19.9902
403995,19.9907
403996,19.9112
403997,19.896
403998,20.5103
403999,17.7215
404000,21.6586
404001,11.0772
404002,12.3799
404003,13.374
404004,11.8159
404005,19.8153
404006,19.225
404007,20.3572
404008,20.8148
404009,20.9417
404010,24.5338
404011,20.4733
404012,20.2544
404013,19.5258
404014,15.9631
404016,20.4021
404020,20.7444
404021,21.2705
404022,22.5539
404023,18.2111
404024,27.2895
404025,18.5981
404026,22.7306
404027,27.1101
404028,23.2873
404029,18.6604
404030,26.5933
404031,22.6417
404032,18.3336
404033,8.9284
404035,19.2436
404036,18.6998
404037,20.1497
404038,19.2444
404039,18.9342
404040,18.9071
404041,19.061
404043,20.5649
404048,22.278
404049,18.8932
404050,22.466
404051,18.9414
404052,22.6076
404053,20.2433
404054,11.6658
404055,18.756
404056,19.5378
404057,18.4655
404058,19.3882
404059,17.1176
404060,26.4026
404061,17.93
404062,17.1446
404063,15.4426
404064,17.6711
404065,21.4552
404066,18.6571
404067,18.1269
404068,17.1151
404069,17.5711
404070,16.4702
404071,28.0847
404072,18.7031
404073,19.6611
404074,17.3823
404075,17.4853
404076,14.0104
404077,18.4237
404078,17.8744
404079,18.1539
404080,16.9537
404081,21.3567
404082,17.9332
404083,18.0888
404084,22.38
404085,6.8679
404086,18.8549
404087,15.9076
404088,15.5399
404089,16.6767
404090,12.352
404091,25.2073
404092,18.8041
404093,21.6912
404094,19.9276
404095,19.004
404096,13.1506
404097,17.0683
404098,18.2854
404099,16.2845
404101,20.6606
404102,21.7883
404105,20.0822
404106,19.9176
404107,17.7372
404108,22.2988
404109,22.9253
404110,20.2698
404111,17.2859
404112,17.6273
404113,22.6858
404114,20.181
404115,22.6053
404116,19.9218
404117,16.3059
404118,20.4337
404119,19.9836
404120,20.2053
404121,16.8596
404125,18.9631
404126,19.0215
404127,18.174
404134,25.0213
404135,24.9861
404145,23.5608
404151,17.3398
404152,21.5013
404154,19.0157
404155,18.1863
404156,19.288
404161,20.3527
404162,20.1814
404163,20.2262
404164,18.0122
404193,20.5732
404194,20.0581
404195,16.5235
404196,14.9493
404197,20.4393
404198,15.3847
404199,12.3283
404200,13.3
404201,24.4969
404202,19.6615
404203,19.9905
404204,19.4044
404205,21.9016
404206,19.243
404207,24.3084
404208,19.6514
404209,18.8201
404222,19.9572
404240,18.3206
404241,18.9424
404250,13.4881
404251,20.4123
404252,19.0597
404253,19.3644
404254,19.4104
404255,21.6245
404256,22.2397
404257,20.9508
404259,21.7388
404260,22.2626
404261,20.3695
404262,19.3771
404263,19.9887
404264,20.0685
404265,20.1018
404266,19.9928
404267,20.0833
404268,20.8705
404272,19.4743
404273,19.6995
404274,24.8975
404290,18.8716
404291,19.39
404293,18.8716
404299,18.6797
404300,19.207
404301,19.9237
404302,10.1181
404303,18.1698
404304,16.0293
404306,4.1037
404307,2.8942
404308,18.8189
404309,18.5764
404310,18.9363
404311,17.5073
404312,19.2918
404313,19.9168
404314,18.8608
404044,17.7501
404045,19.0982
404046,16.7496
404047,18.7793
404350,23.767
404351,19.3594
404352,25.5655
404353,25.7133
404354,23.1291
404355,27.4097
404356,25.1817
404357,25.3149
404358,25.2551
404359,24.4148
404360,24.1017
404361,24.5759
404362,23.4992
404363,24.0128
404364,24.2618
404365,24.769
404366,24.2861
404367,22.7653
404367,23.531
404368,24.84
404368,24.5002
404369,24.5948
404370,23.6328
404371,23.3662
404372,25.4328
404373,21.8113
404374,23.6179
404375,25.4974
404376,22.0065
404377,24.973
404378,22.68
404379,23.6084
404398,25.5925
404399,21.5879
