Site,CollectionDate,Month,Year,Month and Year,SampleID,Length,Gonad vial mass,Vial+Wet gonad,WetGonadicMass,somatic vial mass,vial+somatic mass,WetSomaticMass,wetTotalMass,WGSI,vial+dry gonadic mass,DryGonadicMass,vial+dry somatic mass,DrySomaticMass,DryShellMass,TOTALWET,DryTotalMass,DGSI,PelletMass,CalGram,CalMus,Unburned fuse,Fuse energy,Bomb,Gravid
Seward,5/14/14,May,2014,14-May,M81,34,,,0.369,,,0.929,1.298,28.396,,0.084,,0.160,1.369,2.667,0.244,34.426,0.238,4867.410,1187.650,,,,gravid
Seward,5/14/14,May,2014,14-May,M71,36,,,0.318,,,0.963,1.280,24.811,,0.065,,0.170,1.831,3.112,0.236,27.686,0.239,4748.160,1118.190,,,,gravid
Seward,5/14/14,May,2014,14-May,M82,33,,,0.336,,,0.761,1.097,30.647,,0.076,,0.140,1.614,2.711,0.216,35.032,0.214,4975.400,1073.690,,,,gravid
Seward,4/28/14,April,2014,14-Apr,M280,36,,,0.328,,,0.723,1.051,31.224,,0.080,,0.139,2.485,3.536,0.219,36.633,0.213,4717.400,1034.050,2.4,17.48,1,
Seward,5/14/14,May,2014,14-May,M69,34,,,0.465,,,0.881,1.345,34.528,,0.075,,0.153,2.006,3.351,0.228,32.719,0.229,4411.780,1004.560,,,,very gravid
Seward,4/28/14,April,2014,14-Apr,M285,31,,,0.326,,,0.672,0.998,32.655,,0.075,,0.141,1.441,2.439,0.217,34.781,0.170,4627.730,1001.900,3.3,15.41,,
Seward,1/24/15,January,2015,15-Jan,M108,41,,,0.319,,,1.413,1.731,18.404,,0.041,,0.183,3.621,5.352,0.223,18.190,0.220,4482.660,1000.530,,,,little gravid
Seward,5/14/14,May,2014,14-May,M72,32,,,0.441,,,0.780,1.221,36.128,,0.083,,0.134,1.501,2.722,0.218,38.264,0.213,4479.350,975.150,,,,gravid
Seward,4/28/14,April,2014,14-Apr,M76,32,,,0.360,,,0.740,1.099,32.721,,0.053,,0.130,1.642,2.741,0.183,28.821,0.183,4849.890,888.500,,,,gravid
Seward,5/14/14,May,2014,14-May,M79,35,,,0.330,,,0.898,1.228,26.890,,0.052,,0.148,2.057,3.284,0.200,26.061,0.202,4423.770,886.080,,,,gravid
Seward,5/1/15,May,2015,15-May,M199,33,,,0.291,,,0.744,1.035,28.123,,0.053,,0.115,1.246,2.281,0.167,31.560,,5154.730,862.390,,,,
Seward,6/17/14,June,2014,14-Jun,M95,33,,,0.254,,,0.856,1.110,22.876,,0.045,,0.133,1.177,2.287,0.178,25.238,0.180,4754.170,847.670,,,,gravid
Seward,5/1/15,May,2015,15-May,M202,33,,,0.329,,,0.693,1.022,32.188,,0.059,,0.113,1.383,2.404,0.173,34.415,,4909.480,847.380,,,,
Seward,5/14/14,May,2014,14-May,M68,32,,,0.296,,,0.714,1.010,29.316,,0.061,,0.120,1.182,2.192,0.181,33.813,0.180,4667.750,843.460,,,,very gravid
