SIN,Moisture
403900,91.7
403901,92.49
403902,92.98
403903,92.75
403904,92.57
403905,92.02
403906,91.33
403907,91.39
403908,89.08
403909,90.72
403910,83.2
403912,80.85
403913,89.21
403915,83.89
403916,76.99
403918,85
403919,82.8
403921,89.13
403922,85.28
403924,83.39
403925,75.91
403926,79.24
403927,77.66
403928,77.24
403929,76.55
403930,85.11
403931,84.7
403932,85.64
403933,81.65
403934,87.73
403935,80.53
403936,81.85
403937,79.21
403938,80.55
403939,77.16
403940,84.92
403941,86.28
403942,84.94
403943,85
403944,85.89
403945,80.83
403946,80.35
403947,79.55
403948,80.15
403949,77.53
403950,89.62
403951,89.84
403952,86.46
403953,86.36
403954,87.93
403955,76.96
403956,76.67
403957,76.38
403958,75.83
403959,78.15
403960,78.21
403961,79.23
403962,87.36
403963,80.51
403964,80.05
403965,84.8
403966,72.15
403967,73
403968,69.74
403969,78.04
403970,77.22
403971,74.82
403972,76.35
403973,73.68
403974,72.91
403975,78.01
403976,79
403977,89.14
403978,82.29
403979,85.63
403980,80.42
403981,81.56
403982,76.85
403983,79.93
403984,73.81
403985,67.72
403986,85.44
403987,88.23
403988,79.18
403989,85.47
403990,83.18
403991,84.01
403992,82.87
403993,84.89
403994,81.72
403995,76.19
403996,80.34
403997,85.84
403998,80.64
403999,86.68
404000,81.49
404001,92.9
404002,94.24
404003,91.82
404004,92.98
404005,78.81
404006,86.18
404007,86.82
404008,86.44
404009,84.66
404010,85.15
404011,88.2
404012,85.73
404013,87.14
404014,77.72
404015,73.62
404016,81.78
404017,75.6
404018,75.61
404019,73.28
404020,83.99
404021,85.63
404022,83.25
404023,86.1
404024,67.36
404025,84.54
404026,79.23
404027,66.79
404028,78.68
404029,81.89
404030,71.87
404031,80.96
404032,83.66
404033,92.79
404034,75.73
404035,84.07
404036,86.06
404037,83.03
404038,87.64
404039,87.18
404040,85.32
404041,85.32
404043,79.41
404048,73.99
404049,78.91
404050,76.53
404051,77.6
404052,75.37
404053,72.58
404054,94.97
404055,85.03
404056,82.79
404057,84.8
404058,79.6
404059,87.06
404060,68.14
404061,82.31
404062,85.74
404063,92.77
404064,83.88
404065,80.67
404066,83.4
404067,84.67
404068,88.34
404069,86.46
404070,87.36
404071,72.44
404072,90.36
404073,83.97
404074,84.49
404075,88.06
404076,92.34
404077,87.37
404078,89.44
404079,87.7
404080,90.38
404081,88.31
404082,87.16
404083,83.83
404084,79.19
404085,86.13
404086,86.41
404087,89.75
404088,86.46
404089,82.79
404090,93.09
404091,71.45
404092,81.55
404093,75.32
404094,86.48
404095,86.07
404096,93.52
404097,88.89
404098,87.72
404099,89.51
404100,74.92
404101,80.51
404102,76.02
404103,75.5
404104,76.2
404105,77.78
404106,81.27
404107,90.48
404108,72.99
404109,73.23
404110,79.41
404111,87.21
404112,86.95
404113,71.55
404114,84.87
404115,72.51
404116,91.28
404117,90.4
404118,75.83
404119,83.26
404120,82.78
404044,87.17
404045,81.72
404046,89.61
404047,84.16
404121,89.29
404122,79.79
404123,79.37
404124,80.38
404125,84.73
404126,84.72
404127,84.99
404128,83.88
404129,82.74
404130,84.29
404131,74.04
404132,78.96
404133,87.98
404134,55.11
404135,77.48
404136,85.65
404137,82.31
404138,71.84
404139,83.83
404140,83.67
404141,69.7
404142,83.78
404143,79.7
404144,63.68
404145,76.1
404146,81.71
404147,74.51
404148,85.96
404149,78.87
404150,65.43
404151,81.72
404152,73.37
404153,80.42
404154,70.7
404155,78.59
404156,75.71
404157,80.81
404158,79.87
404159,77.92
404160,70.16
404161,70.03
404162,84.39
404163,80.5
404164,80.85
404165,85.61
404166,77.87
404167,69.89
404168,85.95
404169,78.81
404170,73.52
404171,84.53
404172,77.91
404173,87.02
404174,78.84
404175,79.91
404176,74.74
404177,71.1
404178,85.88
404179,79.57
404180,64.94
404181,84.9
404182,79.39
404183,72.21
404184,81.91
404185,77.59
404186,67.89
404187,85.49
404188,78.77
404189,71.94
404190,86.79
404191,79.05
404192,61.22
404193,77.38
404194,78.34
404195,84.16
404196,84.66
404197,85.43
404198,91.97
404199,93.69
404200,93.18
404201,63.25
404202,74.01
404203,74.89
