Calorimetry sample ID,Date run,lab ID,pellet number,species,collection site,pan weight,pan + pellet,pellet weight,gross heat (or GE) w/default,fuse correction,pan + ash,starting temp,acid corrrection,gross heat (or GE) w/ fuse and acid corrections,ash tin,tin + ash pre oven,post ashing oven,ashing loss?,grams ash,ash fraction,ash%DM,Ave ash%,ash sem,no of bombs,EE,Delta T,Calc GE cal/gDM,Ave GE cal/gDM,GE cal/g DM sem,no of bombs,GE per gram of organic matter,Ave GE cal/gOM,GE cal/g OM sem,no of bombs
48,10/31/11,004 C1,1,Saxidomus gigantea,BC,12.219,12.7901,0.5711,4108.87,20.02,12.3106,29.583,14.8,4091.68,,,,,0.0916,0.160392226,16.04,15.71,0.328,2,2410.48,0.98386,4091.7,4082.9,8.77,2,4873.3,4844.067936,29.2477112,2
49,10/31/11,004 C2,1,Saxidomus gigantea,BC,12.2856,12.9545,0.6689,4079.4,11.62,12.3885,29.5169,16.9,4074.14,,,,,0.1029,0.153834654,15.38,,,,2410.48,1.14239,4074.1,,,,4814.8,,,
51,10/31/11,005 C1,1,Saxidomus gigantea,BC,12.1776,13.1074,0.9298,4387.88,22.4,12.2947,29.5452,25.7,4363.04,,,,,0.1171,0.125941063,12.59,13.14,0.551,2,2410.48,1.70292,4363.0,4336.1,26.99,2,4991.7,4992.269759,0.569745026,2
50,10/31/11,005 C2,1,Saxidomus gigantea,BC,12.2603,13.0102,0.7499,4325.04,17.08,12.363,29.5449,19.9,4309.07,,,,,0.1027,0.136951594,13.70,,,,2410.48,1.35589,4309.1,,,,4992.8,,,
64,11/2/11,006 C1,1,Saxidomus gigantea,PWS,12.2176,13.0294,0.8118,4469.69,20.16,12.2926,29.4082,20.6,4450.28,,,,,0.075,0.092387288,9.24,9.12,0.117,2,2410.48,1.51567,4450.3,4455.0,4.75,2,4903.3,4902.217315,1.056600912,2
65,11/2/11,006 C2,1,Saxidomus gigantea,PWS,12.2475,12.9082,0.6607,4470.35,14.48,12.307,29.4403,17.5,4459.79,,,,,0.0595,0.090056001,9.01,,,,2410.48,1.23567,4459.8,,,,4901.2,,,
69,11/8/11,013-15 C2,1,Protothaca staminea,BC,12.2966,12.8199,0.5233,4208.91,21.14,12.3637,29.0271,15,4187.63,,,,,0.0671,0.128224728,12.82,12.96,0.142,2,2410.48,0.9241,4187.6,4164.0,23.62,2,4803.6,4784.252177,19.30891038,2
94,11/10/11,013-15 C3,1,Protothaca staminea,BC,12.1691,12.9473,0.7782,4156.2,13.3,12.2711,29.3616,24,4140.4,,,,,0.102,0.131071704,13.11,,,,2410.48,1.35216,4140.4,,,,4764.9,,,
90,11/10/11,022-25 C1,1,Protothaca staminea,PWS,12.2366,12.9327,0.6961,4250.45,19.74,12.3164,28.2675,21.4,4227.27,,,,,0.0798,0.114638701,11.46,11.46,,1,2410.48,1.23782,4227.3,4227.3,,1,4774.6,4774.623322,,1
91,11/10/11,026-30 C1,1,Clinocardium nuttallii,PWS,12.1432,12.7474,0.6042,4503.47,19.6,12.2081,29.2985,16,4485.93,,,,,0.0649,0.107414763,10.74,10.74,,1,2410.48,1.13919,4485.9,4485.9,,1,5025.8,5025.764345,,1
35,10/28/11,034 C1,1,Crassodoma gigantea,BC,12.4016,12.9004,0.4988,4193.98,22.4,12.4779,29.2885,12.6,4173.93,1.0672,1.133,1.134,-0.001,0.0763,0.152967121,15.30,15.97,0.449,3,2410.48,0.87823,4173.9,4199.0,12.71,3,4927.7,4997.312769,40.3970087,3
36,10/28/11,034 C2,1,Crassodoma gigantea,BC,12.302,13.0546,0.7526,4214.91,11.5,12.4208,29.4356,18.8,4207.87,1.0949,1.2003,1.2,0.0003,0.1188,0.157852777,15.79,,,,2410.48,1.32635,4207.9,,,,4996.6,,,
37,10/28/11,034 C3,1,Crassodoma gigantea,BC,12.2391,12.7242,0.4851,2826.67,14.28,12.3207,29.5817,13,4215.2,1.0901,1.1524,1.1533,-0.0009,0.0816,0.16821274,16.82,,,,2410.48,0.85961,4215.2,,,,5067.6,,,
60,10/31/11,035 C1,1,Crassodoma gigantea,BC,12.3273,12.9784,0.6511,4585.53,16.52,12.409,29.7326,14.7,4575.98,,,12.4147,-0.0057,0.0817,0.125479957,12.55,12.58,0.031,2,2410.48,1.24898,4576.0,4569.1,6.85,2,5232.6,5226.55321,6.009681447,2
61,10/31/11,035 C2,1,Crassodoma gigantea,BC,12.2217,12.8625,0.6408,4564.15,10.5,12.3025,29.5991,15.7,4562.28,,,,,0.0808,0.126092385,12.61,,,,2410.48,1.2237,4562.3,,,,5220.5,,,
92,11/10/11,036-38 C3,1,Mytilus californianus,BC,12.2882,13.0332,0.745,4398.07,224,12.374,29.5609,16.1,4379.95,,,,,0.0858,0.115167785,11.52,12.03,0.513,2,2410.48,1.36967,4109.3,4220.0,110.64,2,4644.2,4797.941148,153.7328022,2
75,11/8/11,036-38 C4,1,Mytilus californianus,BC,12.2801,13.0535,0.7734,4349.02,16.52,12.3771,29.4333,22.7,4330.64,,,,,0.097,0.125420222,12.54,,,,2410.48,1.40575,4330.6,,,,4951.7,,,
100,11/18/11,039-41 C2,1,Mytilus californianus,BC,12.2052,12.9847,0.7795,4780.2,21.28,12.2795,29.7965,24.2,4753.93,,,,,0.0743,0.095317511,9.53,9.53,0.002,2,2410.48,1.55619,4753.9,4757.4,3.44,2,5254.8,5258.505608,3.705733784,2
101,11/18/11,039-41 C3,1,Mytilus californianus,BC,12.2733,13.1685,0.8952,4781.1,21.98,12.3586,29.5328,21.2,4760.8,,,,,0.0853,0.09528597,9.53,,,,2410.48,1.78597,4760.8,,,,5262.2,,,
76,11/8/11,042-47 C1,1,Pododesmus macroschisma,BC,12.2939,13.0894,0.7955,4722.23,15.68,12.3763,29.493,21.6,4706.8,,,,,0.0824,0.103582652,10.36,10.34,0.020,2,2410.48,1.56879,4706.8,4688.0,18.84,2,5250.7,5228.496627,22.17918191,2
77,11/8/11,042-47 C2,1,Pododesmus macroschisma,BC,12.2408,12.9764,0.7356,4692.37,23.1,12.3167,29.5619,19,4669.13,,,,,0.0759,0.103181077,10.32,,,,2410.48,1.44233,4669.1,,,,5206.3,,,
79,11/9/11,048-57 C2,1,Lottia pelta,BC,12.2346,12.8625,0.6279,5214.49,16.1,12.2926,29.1871,17.5,5200.79,,,,,0.058,0.092371397,9.24,9.44,0.199,2,2410.48,1.36868,5200.8,5224.1,23.33,2,5730.1,5768.508795,38.42322473,2
78,11/9/11,048-57 C3,1,Lottia pelta,BC,12.2914,12.8799,0.5885,5251.97,9.66,12.3481,28.8827,18,5247.46,,,,,0.0567,0.096346644,9.63,,,,2410.48,1.2926,5247.5,,,,5806.9,,,
73,11/8/11,072-74 C1,1,Strongylocentrotus droebachiensis,BC,12.248,12.7052,0.4572,2814.96,21,12.427,29.4133,5.7,2811.24,,,,,0.179,0.391513561,39.15,39.13,0.022,2,2410.48,0.54429,2811.2,2789.3,21.92,2,4620.1,4582.387493,37.67059173,2
74,11/8/11,072-74 C3,1,Strongylocentrotus droebachiensis,BC,12.2486,12.9096,0.661,2761.43,13.16,12.5071,29.4554,7.9,2767.39,,,12.5097,-0.0026,0.2585,0.39107413,39.11,,,,2410.48,0.76761,2767.4,,,,4544.7,,,
93,11/10/11,080-81 C1,1,Strongylocentrotus purpuratus,BC,12.231,12.6105,0.3795,3067.94,16.52,12.3501,29.2717,6.3,3073.68,,,,,0.1191,0.313833992,31.38,29.60,1.779,2,2410.48,0.49338,3073.7,3164.0,90.33,2,4479.5,4494.236539,14.73338058,2
68,11/8/11,080-81 C3,1,Strongylocentrotus purpuratus,BC,12.3072,12.8125,0.5053,3261.27,19.6,12.4478,29.1359,8.9,3254.35,,,12.4618,-0.014,0.1406,0.278250544,27.83,,,,2410.48,0.69402,3254.3,,,,4509.0,,,
39,10/28/11,086 C2,1,Pugettia producta,BC,12.226,13.3005,1.0745,3060.62,24.22,12.528,29.4699,7.4,3054.46,1.0816,1.373,1.3476,0.0254,0.302,0.281060959,28.11,29.32,1.218,2,2410.48,1.37468,3054.5,2933.8,120.65,2,4248.6,4149.383005,99.18482166,2
38,10/28/11,086 C3,1,Pugettia producta,BC,12.2525,13.2069,0.9544,2811.88,18.48,12.544,29.1202,5.3,2813.15,,,12.5257,0.0183,0.2915,0.305427494,30.54,,,,2410.48,1.1237,2813.2,,,,4050.2,,,
53,10/31/11,087 C1,1,Pugettia producta,BC,12.1738,12.9256,0.7518,2546.63,23.8,12.4099,29.4633,3.3,2543.34,,,12.3987,0.0112,0.2361,0.314046289,31.40,33.06,1.660,2,2410.48,0.80448,2543.3,2516.5,26.82,2,3707.7,3760.946922,53.20414429,2
52,10/31/11,087 C2,1,Pugettia producta,BC,12.2008,12.8885,0.6877,2473.57,10.5,12.4396,29.535,3.4,2489.7,,,12.4209,0.0187,0.2388,0.347244438,34.72,,,,2410.48,0.71607,2489.7,,,,3814.2,,,
58,10/31/11,089 C1,1,Pugettia producta,BC,12.4027,12.9581,0.5554,2973.82,17.36,12.5662,29.7137,3.7,2980.91,,,12.5576,0.0086,0.1635,0.294382427,29.44,28.53,0.903,2,2410.48,0.69557,2980.9,3021.8,40.86,2,4224.5,4228.264299,3.723412474,2
59,10/31/11,089 C2,1,Pugettia producta,BC,12.3028,13.2832,0.9804,3063.62,19.88,12.5737,29.6356,6.1,3062.62,,,12.5587,0.015,0.2709,0.276315789,27.63,,,,2410.48,1.25642,3062.6,,,,4232.0,,,
44,10/28/11,090 C1,1,Parastichopus californicus,BC,12.2829,13.3725,1.0896,2462.35,22.54,12.7904,29.8806,11.6,2453.96,1.1026,1.594,1.5894,0.0046,0.5075,0.465767254,46.58,46.16,0.420,2,2410.48,1.12342,2454.0,2453.1,0.88,2,4593.4,4556.228745,37.21128504,2
45,10/28/11,090 C2,1,Parastichopus californicus,BC,12.1674,13.2427,1.0753,2455.15,17.78,12.6592,29.4162,10.4,2452.19,1.0565,1.5344,1.5321,0.0023,0.4918,0.457360737,45.74,,,,2410.48,1.1056,2452.2,,,,4519.0,,,
42,10/28/11,091 C3,1,Parastichopus californicus,BC,12.2126,13.3262,1.1136,2983.29,20.44,12.6232,29.2066,16.2,2972.84,1.0881,1.4624,1.4591,0.0033,0.4106,0.36871408,36.87,37.16,0.287,2,2410.48,1.3886,2972.8,2971.8,1.05,2,4709.2,4729.098943,19.92038221,2
43,10/28/11,091 C4,1,Parastichopus californicus,BC,12.2439,13.2905,1.0466,2969.98,9.8,12.6358,29.4154,14.4,2970.75,1.0835,1.4415,1.4388,0.0027,0.3919,0.374450602,37.45,,,,2410.48,1.2999,2970.7,,,,4749.0,,,
62,11/2/11,094 C3,1,Mytilus trossulus,PWS,12.1823,12.5933,0.411,4056.99,19.32,12.252,29.1531,9.7,4047.21,,,,,0.0697,0.169586375,16.96,16.96,0.001,2,2410.48,0.70211,4047.2,4057.8,10.56,2,4873.7,4886.5216,12.79727328,2
