SIN,ID,Date.Collected,Size.mm,Species,Frozen.Weight,Live.Weight,Date.Dissected,Dissected.Weight,Notes,SEX,Site.location,Season,site.number,Dried,Ash,Bomb,SI,SPV,Tissue,PreyCat
403900,18-022,5/17/18,470,apc,NA,731.97,NA,731.97,ca cuc 1,NA,Soda Bay,Spring,9,FM135AIPan,y,l,ptn,y,whole,Cucumber
403901,18-023,5/17/18,460,apc,NA,633.49,NA,633.49,ca cuc 2,NA,Soda Bay,Spring,9,FM135AIPan,y,l,ptn,y,whole,Cucumber
403902,18-024,5/17/18,240,apc,NA,131.77,NA,131.77,ca cuc 3,NA,Soda Bay,Spring,9,FM135AIPan,y,l,ptn,y,whole,Cucumber
403903,18-029,5/17/18,80,apc,NA,14.54,NA,14.54,small ca cuc 4,NA,Soda Bay,Spring,8,FM135AIPan,y,l,ptn,y,whole,Cucumber
403904,18-030,5/17/18,80,apc,NA,13.93,NA,13.93,small ca cuc 5,NA,Soda Bay,Spring,8,FM135AIPan,y,l,ptn,y,whole,Cucumber
403905,18-454,8/10/18,220,apc,260.48,NA,NA,260.48,"Soda Bay, no length, est based on mass",NA,Soda Bay,Summer,9,FM135AIPan,y,l,ptn,y,whole,Cucumber
403906,18-455,8/10/18,200,apc,227.94,NA,NA,227.94,"Soda Bay, no length, est based on mass",NA,Soda Bay,Summer,9,FM135AIPan,y,l,ptn,y,whole,Cucumber
403907,18-456,8/10/18,270,apc,381.36,NA,NA,381.36,"Soda Bay, no length, est based on mass",NA,Soda Bay,Summer,9,FM135AIPan,y,l,ptn,y,whole,Cucumber
403908,18-457,8/10/18,230,apc,291.61,NA,NA,291.61,"Soda Bay, no length, est based on mass",NA,Soda Bay,Summer,9,FM135AIPan,y,l,ptn,y,whole,Cucumber
403909,18-458,8/10/18,230,apc,285.99,NA,NA,285.99,"Soda Bay, no length, est based on mass",NA,Soda Bay,Summer,9,FM135AIPan,y,l,ptn,y,whole,Cucumber
403925,18-001,5/3/18,85,sag,NA,177.06,5/3/18,51.82,NA,NA,Craig,Spring,2,FM135AIPan,y,l,cn,y,whole,Clam
403926,18-002,5/3/18,81,sag,NA,153.86,5/3/18,43.96,NA,NA,Craig,Spring,2,FM135AIPan,y,l,cn,y,whole,Clam
