SIN,SampleID,Pellet Wt,Gross Heat,Comments
403900,2415,0.1571,10.3249,
403901,2414,0.1534,12.5029,
403902,2413,0.1579,9.2141,
403903,2412,0.159,9.2035,
403904,2411,0.1551,8.2414,
403905,2410,0.1604,13.1959,
403906,2409,0.1608,14.1471,
403907,2408,0.1225,14.038,
403908,2407,0.1602,15.074,
403909,2406,0.161,15.1328,
403925,2254,0.1509,20.2365,
403926,2255,0.1504,19.8869,
403927,2247,0.1512,20.2449,
403927,2452,0.1504,19.9047,
403928,2256,0.1512,19.9308,
403930,2257,0.15,17.8391,
403931,2258,0.1519,19.0236,
403932,2259,0.1502,18.3301,
403933,2260,0.1493,19.4206,
403934,2261,0.1505,15.8565,
403935,2262,0.1435,17.9501,
403936,2263,0.1512,17.8007,
403937,2264,0.1513,20.5929,
403938,2265,0.1501,19.7789,
403939,2266,0.1505,19.1607,
403940,2306,0.159,18.9653,
403941,2307,0.1627,18.1348,
403942,2308,0.1614,18.645,
403943,2309,0.1594,18.2688,
403944,2310,0.1623,18.4061,
403945,2311,0.1618,19.5621,
403946,2312,0.1627,19.0527,
403946,2313,0.1559,19.0761,
403947,2314,0.1607,19.8886,
403948,2315,0.1669,19.825,
403949,2316,0.154,19.6259,
403950,2317,0.161,16.8891,
403951,2318,0.1613,17.2901,
403952,2319,0.1626,18.1767,
403953,2320,0.1616,19.2341,
403954,2321,0.1602,17.1011,
403960,2322,0.1621,21.2927,
403961,2324,0.1604,20.6917,
403962,2325,0.1581,17.7161,
403963,2326,0.16,19.8852,
403964,2327,0.1604,20.4837,
403967,2328,0.1604,19.9154,
403968,2329,0.1701,22.7806,
403969,2330,0.1667,20.7307,
403970,2435,0.1494,19.9523,
403973,2331,0.161,21.9948,
403977,2332,0.1562,17.0987,
403978,2416,0.1585,20.1217,
403979,2417,0.1677,19.4706,
403980,2418,0.1679,20.4551,
403980,2419,0.1635,20.4961,
403981,2420,0.1641,20.7933,
403984,2421,0.1609,20.8236,
403986,2333,0.1641,18.6343,
403988,2434,0.1519,20.922,
403989,2422,0.163,17.8876,
403990,2423,0.1672,20.0182,
403991,2424,0.1636,19.7402,
403992,2425,0.1638,19.9902,
403993,2426,0.1545,19.9907,
403994,2427,0.1519,19.9112,
403995,2428,0.1561,19.896,
403996,2429,0.1546,20.5103,
403997,2430,0.1561,17.7215,
403998,2431,0.1558,21.6586,
403999,2432,0.1556,17.5577,
404000,2433,0.1515,20.5691,
404001,2437,0.1484,11.0772,
404002,2438,0.1491,12.3799,
404003,2436,0.1513,13.374,
404043,2486,0.153,20.5649,
404043,2487,0.1527,20.3777,
404005,2471,0.1523,19.8153,
404007,2472,0.1531,20.3572,
404008,2473,0.1508,20.8148,
404009,2474,0.1543,20.9417,
404011,2475,0.1552,20.4733,
404012,2476,0.1505,20.2544,
404013,2477,0.1522,19.5258,
404016,2478,0.1482,20.4021,
404010,2479,0.1603,24.5338,
404020,2480,0.1475,20.7444,
404033,2481,0.1506,8.9284,
404021,2482,0.1445,21.2705,
404035,2483,0.1512,19.2436,
404036,2484,0.1501,18.6998,
404037,2485,0.151,20.1497,
404038,2488,0.1489,19.2444,
404039,2489,0.1533,18.9342,
404040,2490,0.1529,18.9071,
404041,2491,0.1555,19.061,
404050,2492,0.1529,22.466,
404028,2493,0.1564,23.2873,
404027,2494,0.1553,27.1101,
404029,2495,0.1507,18.6604,
"composite (404027, 404028, 404029)",2496,0.1574,25.5925,
404026,2497,0.1555,22.7306,
404025,2498,0.1488,18.5981,
404024,2499,0.1422,27.2895,
"composite (404024, 404025, 404026)",2500,0.1316,26.2449,
404031,2501,0.1546,22.6417,
404030,2502,0.1533,26.5933,
404032,2503,0.155,18.3336,
