Study,Prey,energy,sd
NLL,apc,0.228279987,0.074238928
NLL,cam,1.115547348,0.648837251
NLL,cao,0.878177223,0.383705345
NLL,cap,0.792538217,0.349177855
NLL,chl,1.070353848,0.050880391
NLL,cla,0.721914091,0.193255266
NLL,cln,0.673322419,0.175053824
NLL,cra,0.999743997,0.495674071
NLL,crs,0.879630338,0.191469961
NLL,cuc,0.228279987,0.074238928
NLL,cuf,0.228279987,0.074238928
NLL,cum,0.228279987,0.074238928
NLL,dei,1.251047528,0.294339103
NLL,evt,1.251047528,0.174055933
NLL,hak,1.128668642,0.098119313
NLL,mtr,0.788787404,0.098119313
NLL,mus,0.788787404,0.144996288
NLL,nuc,1.154776529,0.144996288
NLL,nus,1.154776529,0.013908574
NLL,pab,0.908193834,0.065321773
NLL,pas,1.240281501,0.440456414
NLL,pio,1.251047528,0.440456414
NLL,pom,1.125039037,0.061472767
NLL,prs,0.675305695,0.170323711
NLL,pup,0.895044694,0.318663339
NLL,pus,0.895044694,0.318663339
NLL,sag,0.793995844,0.210007897
NLL,sax,0.793995844,0.210007897
NLL,sca,1.070353848,0.050880391
NLL,sna,1.144978702,0.078825814
NLL,sta,1.354079394,0.388620623
NLL,std,0.598295309,0.2749705
NLL,stf,0.381080262,0.211662731
NLL,tec,0.964062911,0.15
NLL,tef,1.144978702,0.078825814
NLL,urc,0.502720688,0.267828353
OLD_AK,apc,0.113254943,0.036
OLD_AK,cam,1.223067689,0.441111587
OLD_AK,cao,1.223067689,0.441111587
OLD_AK,cap,1.223067689,0.441111587
OLD_AK,chl,0.529851268,0.085
OLD_AK,cla,0.505295633,0.1
OLD_AK,cln,0.462084095,0.01760612
OLD_AK,cra,0.841,0.123463366
OLD_AK,crs,0.543206036,0.014345456
OLD_AK,cuc,0.113254943,0.036
OLD_AK,cuf,0.113254943,0.036
OLD_AK,cum,0.113254943,0.036
OLD_AK,dei,1.377645334,0.093759949
OLD_AK,evt,1.377645334,0.093759949
OLD_AK,hak,0.977547888,0.19093946
OLD_AK,mtr,0.328648116,0.057256755
OLD_AK,mus,0.328648116,0.057256755
OLD_AK,nuc,1.111340897,0.226322552
OLD_AK,nus,1.111340897,0.226322552
OLD_AK,pab,0.686544552,0.167594354
OLD_AK,pas,0.8,0.15
OLD_AK,pio,1.377645334,0.093759949
OLD_AK,pom,0.529851268,0.1
OLD_AK,prs,0.535053553,0.049681646
OLD_AK,pup,0.732538433,0.187730009
OLD_AK,pus,0.732538433,0.187730009
OLD_AK,sag,0.505295633,0.052
OLD_AK,sax,0.505295633,0.052
OLD_AK,sca,0.529851268,0.085
OLD_AK,sna,1.111340897,0.226322552
OLD_AK,sta,1.01,0.395959501
OLD_AK,std,0.235684925,0.041
OLD_AK,stf,0.3874,0.15
OLD_AK,tec,0.8,0.15
OLD_AK,tef,1.021148555,0.151815128
OLD_AK,urc,0.315,0.05
