"","Species","kcal.mean","kcal.sd"
"1","apc",0.22827998721705,0.0742389276366238
"2","cam",1.11554734811844,0.648837251313045
"3","cao",0.878177222614945,0.383705344561205
"4","cap",0.792538216892304,0.349177854682508
"5","cef",1.17328270945726,0.226524902357212
"6","chr",1.07035384782366,0.0508803912728289
"7","cln",0.673322418631934,0.175053823727956
"8","crg",0.847866634665611,0.134315135868309
"9","crs",0.879630337656144,0.191469960833554
"10","evt",1.25104752780065,0.294339102861574
"11","hak",1.12866864226954,0.174055933396926
"12","lid",1.15396522448353,0.12878824460122
"13","mtr",0.788787404273393,0.0981193130993278
"14","nul",1.15477652945472,0.144996287621991
"15","pab",0.908193833508876,0.013908574060449
"16","pas",1.24028150076055,0.0653217729944804
"17","pio",1.44423227600327,0.440456414166057
"18","pom",1.12503903742626,0.061472767054643
"19","prs",0.67530569547269,0.170323710882857
"20","pup",0.895044693931599,0.318663339391464
"21","sag",0.793995844259002,0.210007897121998
"22","squid eggs",0.140296606096436,NA
"23","std",0.598295308564545,0.274970500062248
"24","stf",0.381080262411696,0.211662731208167
"25","tec",0.964062911469054,0.486239835825686
"26","tes",1.14497870175284,0.0788258139437657
