"","PreyCat","kcal.mean","kcal.sd"
"1","Abalone",1.12866864226954,0.174055933396926
"2","Carn Snail",1.16397166910091,0.184326007414888
"3","Chiton",0.879630337656144,0.191469960833554
"4","Clam",0.721914090903956,0.193255265736298
"5","Crab",0.999743997121452,0.495674071213094
"6","Cucumber",0.22827998721705,0.0742389276366238
"7","Herb Snail",1.14497870175284,0.0788258139437657
"8","Mussel",0.788787404273393,0.0981193130993278
"9","Scallop",1.03914064143385,0.128728858553236
"10","Star",1.35407939350871,0.388620622787822
"11","Urchin",0.502720688257291,0.267828353182159
