Study,Prey,1a,1b,1c,2a,2b,2c,3a,3b,3c,4
NLL,apc,0.1696974,0.94085,3.3243647,7.6346834,14.2064975,23.3257224,35.2458347,50.1967129,68.3900721,97.4003549
NLL,cam,0.0406446,0.4408031,2.5537739,8.1230057,19.278116,38.4391737,68.2772134,111.686952,171.7664895,280.9733251
NLL,can,0.135175115,1.044347243,4.712291863,12.71352695,26.68145381,48.22545823,78.93671805,120.3917553,174.1548377,265.615383
NLL,cap,0.3202129,1.8359204,6.6493562,15.5215315,29.2356764,48.4707008,73.835199,105.8860838,145.1401543,208.1435785
NLL,cla,0.23837102,1.949468384,9.173123392,25.44182225,54.50701717,100.1553883,166.2009232,256.4799708,374.847843,578.4622731
NLL,cln,0.2680847,2.263195,10.9014354,30.7048747,66.5442216,123.4024352,206.3505654,320.5324928,471.1543472,731.8626779
NLL,cra,0.268868485,1.883573811,7.907602986,20.34442618,41.20763474,72.40006495,115.7437381,172.9975293,245.8687851,367.4902248
NLL,evt,0.562825411,3.431547611,13.00450281,31.27593361,60.23792082,101.6638018,157.1758225,228.2830662,316.4054214,459.5490492
NLL,hak,0.119505026,1.122832864,5.852349769,17.36265299,39.11749274,74.82390648,128.3879117,203.8854196,305.5414491,485.2127101
NLL,mtr,0.087925093,0.703498264,3.257269168,8.938548093,18.99862709,34.68887181,57.26070451,87.96559344,128.0550457,196.7219611
NLL,mus,0.087925093,0.703498264,3.257269168,8.938548093,18.99862709,34.68887181,57.26070451,87.96559344,128.0550457,196.7219611
NLL,nuc,0.089963507,0.565415645,2.191232802,5.348173139,10.41467392,17.73206146,27.61571818,40.36141431,56.24934384,82.21053881
NLL,nus,0.089963507,0.565415645,2.191232802,5.348173139,10.41467392,17.73206146,27.61571818,40.36141431,56.24934384,82.21053881
NLL,pas,0.010535274,0.088515362,0.42486368,1.19389179,2.582943389,4.783292428,7.989291477,12.39783475,18.20798626,28.25527212
NLL,pio,0.489102294,3.60977305,15.74799026,41.55416444,85.7737624,152.9922467,247.6759178,374.1964816,536.8474451,811.0858209
NLL,prs,0.193834098,1.920250186,10.40692007,31.67905458,72.75549082,141.3166769,245.5952955,394.3030878,596.5777724,957.8052271
NLL,pup,0.072035469,1.017515832,7.16222184,25.89918456,67.64563727,145.6031913,275.6315659,476.1528475,768.0748194,1326.847348
NLL,pus,0.072035469,1.017515832,7.16222184,25.89918456,67.64563727,145.6031913,275.6315659,476.1528475,768.0748194,1326.847348
NLL,sag,0.23605895,1.925481267,9.042683104,25.04799705,53.61205531,98.4358258,163.2437674,251.7795603,367.8031736,567.2824316
NLL,sax,0.23605895,1.925481267,9.042683104,25.04799705,53.61205531,98.4358258,163.2437674,251.7795603,367.8031736,567.2824316
NLL,sna,1.093206382,4.011566705,10.4571547,19.65582499,31.49217408,45.88402556,62.76789212,82.09224984,103.8138721,135.7750601
NLL,std,0.895862927,6.782654061,30.15150123,80.55191481,167.8155851,301.5465608,491.177657,746.0047019,1075.209561,1633.037205
NLL,stf,2.396190108,10.44935779,30.93352791,63.22561724,107.840382,165.1736177,235.5493056,319.2429174,416.4947778,564.480577
NLL,tec,0.490003043,2.688800309,9.428470864,21.54499173,39.94073597,65.38311533,98.55015309,140.0550513,190.4612505,270.6749749
NLL,tef,1.165912404,7.481665167,29.44248277,72.58973458,142.4261586,243.9595464,381.8488188,560.4874886,784.0571817,1150.859238
OLD_AK,apc,0.114441537,0.732658441,2.819338735,7.19304072,13.89585111,23.56378244,37.5046571,54.59007404,75.87129495,111.9895102
OLD_AK,cam,1.479372855,6.773378935,20.43516269,44.02477273,75.51514203,116.4073185,170.3632302,231.7222014,303.4713285,417.5269895
OLD_AK,can,0.78601267,4.332424094,14.95498872,35.37955203,64.81356474,105.3250341,161.4717921,228.023468,308.6140167,441.448795
OLD_AK,cap,1.343011871,6.493525908,20.381482,45.13330756,78.92781204,123.5691815,183.3292051,252.1214822,333.3935565,463.9687797
OLD_AK,cla,0.711862679,4.86378,7.95948,13.89588,29.43898,61.84812,122.40948,211.81962,339.73612,586.67562
OLD_AK,cln,0.361009997,2.861676706,12.85910762,36.54120006,76.14869692,137.2192052,230.3991977,350.1621731,505.4567155,780.2651993
OLD_AK,cra,2.359293922,9.377836729,25.53316061,51.22068678,83.56095086,123.7320347,174.785782,231.0372725,295.0830818,394.1240949
OLD_AK,evt,2.817610636,7.437105616,15.04374194,24.54723932,34.63395204,45.64631144,58.19996628,70.81903066,84.11780104,103.1072289
OLD_AK,hak,0.379651169,2.437490092,9.399153871,24.01483953,46.43999806,78.81426626,125.5323021,182.824646,254.2251165,375.4727348
OLD_AK,mtr,0.649091282,2.681189678,7.506743163,15.35386249,25.39211826,38.01267306,54.21669554,72.22470494,92.87722403,125.0548221
OLD_AK,mus,0.649091282,2.681189678,7.506743163,15.35386249,25.39211826,38.01267306,54.21669554,72.22470494,92.87722403,125.0548221
OLD_AK,nuc,0.46891261,2.641122069,9.261105545,22.14974176,40.88974238,66.85787299,103.0550877,146.1678679,198.5883716,285.3572034
OLD_AK,nus,0.46891261,2.641122069,9.261105545,22.14974176,40.88974238,66.85787299,103.0550877,146.1678679,198.5883716,285.3572034
OLD_AK,pas,1.892857932,7.207486022,19.0215357,37.34010608,59.99531124,87.75859521,122.6433121,160.711894,203.705472,269.6367642
OLD_AK,pio,2.817610636,7.437105616,15.04374194,24.54723932,34.63395204,45.64631144,58.19996628,70.81903066,84.11780104,103.1072289
OLD_AK,prs,0.477840561,3.122217897,12.19386564,31.43239439,61.16363007,104.3215481,166.8909029,243.9231453,340.2421818,504.366923
OLD_AK,pup,1.274485742,6.545916655,21.46680949,49.00762127,87.55905687,139.4581016,210.0547024,292.425325,390.8533819,550.8677503
OLD_AK,pus,1.274485742,6.545916655,21.46680949,49.00762127,87.55905687,139.4581016,210.0547024,292.425325,390.8533819,550.8677503
OLD_AK,sag,0.324640475,2.304437731,9.557843039,25.68904411,51.47843378,89.89619915,146.827409,218.2240767,308.8997807,465.9315951
OLD_AK,sax,0.324640475,2.304437731,9.557843039,25.68904411,51.47843378,89.89619915,146.827409,218.2240767,308.8997807,465.9315951
OLD_AK,sna,1.507703291,6.905053251,20.83671933,44.89630794,77.0178379,118.7333365,173.7797421,236.3828055,309.5906146,425.971515
OLD_AK,std,0.47312408,3.821474745,17.40764697,49.93738751,104.7605184,189.7884009,320.1673318,488.443183,707.4156161,1096.334499
OLD_AK,stf,1.08241238,6.047400996,21.08083584,50.21317018,92.43037909,150.7826892,231.9461088,328.4412913,445.5900092,639.1932002
OLD_AK,tec,2.203988744,9.798744127,28.93854999,61.4264403,104.2712009,159.3966138,231.5681751,313.1045452,407.9207541,557.7830072
OLD_AK,tef,0.712549564,4.399282583,16.48902672,41.30610909,78.77720375,132.2147663,208.5341998,301.3152264,416.0946688,609.5210421
