Species,x.1a,x.1b,x.1c,x.2a,x.2b,x.2c,x.3a,x.3b,x.3c,x.4,Study
apc,0.114441537,0.732658441,2.819338735,7.19304072,13.89585111,23.56378244,37.5046571,54.59007404,75.87129495,111.9895102,OLD_AK
cam,0.321534703,1.975200687,7.5118584,18.19490791,35.08886438,59.29441053,91.99299399,133.7151866,185.4742111,269.9624312,NLL
cam,1.479372855,6.773378935,20.43516269,44.02477273,75.51514203,116.4073185,170.3632302,231.7222014,303.4713285,417.5269895,OLD_AK
can,0.211204102,1.410956648,5.707626375,14.40158917,28.62916517,49.56565845,78.47570625,116.0556396,163.4312234,242.0400883,NLL
can,0.78601267,4.332424094,14.95498872,35.37955203,64.81356474,105.3250341,161.4717921,228.023468,308.6140167,441.448795,OLD_AK
cao,0.107590003,1.239827658,7.490962361,24.653662,59.69537859,120.9879913,218.5659802,361.6559162,561.878756,931.4407176,NLL
cao,0.78601267,4.332424094,14.95498872,35.37955203,64.81356474,105.3250341,161.4717921,228.023468,308.6140167,441.448795,OLD_AK
cap,0.324346272,1.88463677,6.879900465,16.21841802,30.6538989,50.97374437,78.02632629,112.1214345,153.9699153,221.5434797,NLL
cap,1.343011871,6.493525908,20.381482,45.13330756,78.92781204,123.5691815,183.3292051,252.1214822,333.3935565,463.9687797,OLD_AK
cef,0.086404773,0.426954119,1.38340607,3.013561545,5.371518775,8.523526443,12.54548295,17.43555867,23.25403088,32.35708104,NLL
chr,0.569047951,2.17810358,5.848311162,11.24888012,18.28101007,26.94437285,37.28221706,49.15857608,62.61377995,82.64309136,NLL
chr,0.370938751,2.020626811,6.915551527,16.26340279,29.66948416,48.0529443,73.45206798,103.4789957,139.7593744,199.4216934,OLD_AK
cla,0.217821554,1.905174768,9.396982868,27.03783445,59.25245439,110.8915185,187.3980521,292.958144,433.079074,678.1364677,NLL
cla,0.711862679,4.86378,7.95948,13.89588,29.43898,61.84812,122.40948,211.81962,339.73612,586.67562,OLD_AK
cln,0.26667896,2.299975696,11.22764128,32.08481529,69.95638027,130.3936836,219.6077148,342.3193564,504.7701632,788.101843,NLL
cln,0.361009997,2.861676706,12.85910762,36.54120006,76.14869692,137.2192052,230.3991977,350.1621731,505.4567155,780.2651993,OLD_AK
cra,0.162650098,1.165939146,4.967552387,12.97222901,26.45373329,46.7418167,75.27759966,112.9544188,161.0977125,242.0868206,NLL
cra,2.359293922,9.377836729,25.53316061,51.22068678,83.56095086,123.7320347,174.785782,231.0372725,295.0830818,394.1240949,OLD_AK
cum,1.139187822,3.600614639,8.397372508,14.71301204,22.31060137,31.113518,41.10227946,52.0994221,64.10861456,81.3316961,NLL
cum,0.114441537,0.732658441,2.819338735,7.19304072,13.89585111,23.56378244,37.5046571,54.59007404,75.87129495,111.9895102,OLD_AK
eul,0.518137483,3.60138485,14.99953605,38.58524021,77.81204428,136.2679342,217.8274345,324.780486,460.6396494,687.8169716,NLL
eul,1.507703291,6.905053251,20.83671933,44.89630794,77.0178379,118.7333365,173.7797421,236.3828055,309.5906146,425.971515,OLD_AK
evt,0.387905165,3.147391597,14.68956955,40.74753426,86.90377817,159.1500014,264.1095147,406.5428822,592.9122117,914.1080755,NLL
evt,2.817610636,7.437105616,15.04374194,24.54723932,34.63395204,45.64631144,58.19996628,70.81903066,84.11780104,103.1072289,OLD_AK
hak,0.004746581,0.183368898,2.698283578,16.01225878,60.05839181,172.6649024,417.9732981,887.3550552,1714.500345,3649.906729,NLL
kat,0.045480568,0.381812091,1.827248352,5.15349223,11.1273755,20.57962952,34.43462133,53.37851526,78.32815636,121.6144178,NLL
mac,0.08380515,0.84084898,4.588158417,14.11475052,32.50681453,63.29869773,110.5819718,177.8306497,269.4717802,434.1000897,NLL
mac,0.29597436,1.69909216,6.040754294,14.58703813,27.11094063,44.56912827,69.02720124,98.28202371,133.9805149,193.2903895,OLD_AK
man,0.06002689,0.699431211,4.260500257,14.0977031,34.27265108,69.68499738,126.2243837,209.3375784,325.8826015,541.4624354,NLL
man,0.29597436,1.69909216,6.040754294,14.58703813,27.11094063,44.56912827,69.02720124,98.28202371,133.9805149,193.2903895,OLD_AK
mtr,0.137124843,0.821280266,3.065682401,7.334407635,14.01528714,23.51067351,36.25290125,52.42045779,72.38014316,104.8004155,NLL
mtr,0.649091282,2.681189678,7.506743163,15.35386249,25.39211826,38.01267306,54.21669554,72.22470494,92.87722403,125.0548221,OLD_AK
nul,0.182445938,0.673977913,1.762998903,3.332860345,5.34724467,7.800852315,10.70151926,14.00768867,17.7279306,23.22771777,NLL
nul,0.46891261,2.641122069,9.261105545,22.14974176,40.88974238,66.85787299,103.0550877,146.1678679,198.5883716,285.3572034,OLD_AK
pas,0.019611009,0.135717994,0.56345228,1.446375033,2.91221777,5.093605879,8.133691481,12.11647448,17.17147223,25.61703767,NLL
pas,1.892857932,7.207486022,19.0215357,37.34010608,59.99531124,87.75859521,122.6433121,160.711894,203.705472,269.6367642,OLD_AK
pio,0.823446357,5.009353838,18.91472673,45.59715397,87.62425603,147.6536854,228.538934,331.522691,459.0419325,666.8006992,NLL
pio,2.817610636,7.437105616,15.04374194,24.54723932,34.63395204,45.64631144,58.19996628,70.81903066,84.11780104,103.1072289,OLD_AK
pom,0.032515079,0.396664771,2.499262788,8.457010492,20.90402566,43.07091723,78.88824229,132.0761092,207.315744,347.7462943,NLL
pom,0.370938751,2.020626811,6.915551527,16.26340279,29.66948416,48.0529443,73.45206798,103.4789957,139.7593744,199.4216934,OLD_AK
prs,0.213408627,1.922716592,9.69256799,28.29397275,62.67353738,118.3029182,201.3612034,316.7143155,470.7051623,741.5833111,NLL
prs,0.477840561,3.122217897,12.19386564,31.43239439,61.16363007,104.3215481,166.8909029,243.9231453,340.2421818,504.366923,OLD_AK
pup,0.314177066,2.525740147,11.70834246,32.33203098,68.72570588,125.5243558,207.8427956,319.3235292,464.9347232,715.4342746,NLL
pup,1.274485742,6.545916655,21.46680949,49.00762127,87.55905687,139.4581016,210.0547024,292.425325,390.8533819,550.8677503,OLD_AK
sag,0.492774176,3.048241745,11.65216028,28.31911804,54.75087353,92.70597596,144.0717804,209.7136524,291.2550739,424.5387833,NLL
sag,0.324640475,2.304437731,9.557843039,25.68904411,51.47843378,89.89619915,146.827409,218.2240767,308.8997807,465.9315951,OLD_AK
sca,0.053881294,0.507265008,2.641244505,7.877139734,17.72827413,33.89189052,58.30363423,92.53824561,138.6258008,220.3957295,NLL
sca,0.370938751,2.020626811,6.915551527,16.26340279,29.66948416,48.0529443,73.45206798,103.4789957,139.7593744,199.4216934,OLD_AK
sna,0.120521014,1.668512068,11.53815921,41.52497577,107.4469468,229.6267638,433.6505003,745.1921647,1196.67659,2060.463068,NLL
sna,1.507703291,6.905053251,20.83671933,44.89630794,77.0178379,118.7333365,173.7797421,236.3828055,309.5906146,425.971515,OLD_AK
sta,0.569520162,3.97119255,16.57868594,42.71393361,86.23768436,151.1627804,241.8240126,360.796732,512.0166023,765.0370712,NLL
sta,2.817610636,7.437105616,15.04374194,24.54723932,34.63395204,45.64631144,58.19996628,70.81903066,84.11780104,103.1072289,OLD_AK
std,0.173144121,1.388076304,6.421414978,17.7083999,37.60350268,68.62586083,113.5539829,174.3609862,253.7421024,390.2297569,NLL
std,0.47312408,3.821474745,17.40764697,49.93738751,104.7605184,189.7884009,320.1673318,488.443183,707.4156161,1096.334499,OLD_AK
stf,0.380892419,2.387941309,9.218563741,22.55135924,43.81164349,74.47116928,116.1094098,169.4783506,235.9445928,344.8715061,NLL
stf,1.08241238,6.047400996,21.08083584,50.21317018,92.43037909,150.7826892,231.9461088,328.4412913,445.5900092,639.1932002,OLD_AK
tec,0.48043255,2.804518759,10.27282371,24.27137195,45.95128998,76.51359392,117.2516167,168.6474784,231.7868868,333.8312608,NLL
tes,0.141438292,1.729780174,10.91886949,36.99230706,91.52021648,188.7056147,345.8402267,579.3100309,909.7344673,1526.754635,NLL
tes,0.712549564,4.399282583,16.48902672,41.30610909,78.77720375,132.2147663,208.5341998,301.3152264,416.0946688,609.5210421,OLD_AK
urc,0.173144121,1.388076304,6.421414978,17.7083999,37.60350268,68.62586083,113.5539829,174.3609862,253.7421024,390.2297569,NLL
apc,0.114441537,0.732658441,2.819338735,7.19304072,13.89585111,23.56378244,37.5046571,54.59007404,75.87129495,111.9895102,OLD_AK
hak,0.379651169,2.437490092,9.399153871,24.01483953,46.43999806,78.81426626,125.5323021,182.824646,254.2251165,375.4727348,OLD_AK
kat,0.252535947,1.637654098,6.360903048,16.33426311,31.69944063,53.95093961,86.14623198,125.7167676,175.1243647,259.189188,OLD_AK
urc,0.47312408,3.821474745,17.40764697,49.93738751,104.7605184,189.7884009,320.1673318,488.443183,707.4156161,1096.334499,OLD_AK
tec,2.203988744,9.798744127,28.93854999,61.4264403,104.2712009,159.3966138,231.5681751,313.1045452,407.9207541,557.7830072,OLD_AK
apc,4.879532381,12.95281729,26.56786486,42.7540787,60.8648009,80.70474247,102.2063741,124.9767785,149.0222207,182.3567004,NLL
