Species,mean,sd,PreyCat
apc,0.22827998721705048,0.07423892763662379,NA
cam,0.908245488623591,0.3715314030674932,NA
cao,0.8781772226149452,0.3837053445612047,NA
cap,0.7925382168923043,0.3491778546825085,NA
cef,1.1732827094572649,0.2265249023572124,NA
chr,1.070353847823664,0.050880391272828916,NA
cln,0.673322418631934,0.17505382372795603,NA
crg,0.8478666346656114,0.13431513586830862,NA
crs,0.8796303376561441,0.1914699608335536,NA
evt,1.2902334772262045,0.24193388411290687,NA
hak,1.128668642269541,0.17405593339692624,NA
lid,1.1539652244835268,0.12878824460122007,NA
map,NaN,NA,NA
mtr,0.7887874042733927,0.09811931309932782,NA
nul,1.1547765294547185,0.14499628762199093,NA
pab,0.9081938335088764,0.013908574060449035,NA
pas,1.2402815007605545,0.06532177299448044,NA
pio,1.5915504440186579,0.23634283586559754,NA
pom,1.1250390374262629,0.06147276705464303,NA
prs,0.67530569547269,0.17032371088285686,NA
pup,0.8950446939315987,0.31866333939146396,NA
sag,0.7939958442590024,0.2100078971219977,NA
std,0.6491585085018992,0.3301728724050043,NA
stf,0.3810802624116957,0.21166273120816662,NA
tec,0.8155772883513885,0.20838797741580395,NA
tes,1.144978701752842,0.0788258139437657,NA
NA,1.128668642269541,0.17405593339692624,Abalone
NA,1.1639716691009065,0.1843260074148878,Carn Snail
NA,0.8796303376561441,0.1914699608335536,Chiton
NA,0.7219140909039562,0.19325526573629778,Clam
NA,0.8994014199506699,0.329129583593016,Crab
NA,0.22827998721705048,0.07423892763662379,Cucumber
NA,1.144978701752842,0.0788258139437657,Herb Snail
NA,0.7887874042733927,0.09811931309932782,Mussel
NA,1.039140641433852,0.12872885855323613,Scallop
NA,1.4182931881129972,0.2805179291886691,Star
NA,0.5357407890021977,0.311787185562259,Urchin
