SIN,%Ash,%Lipid,%Protein
403900,4.33,0.35296,
403901,3.2,0.6648,
403902,3.67,0.26923,
403903,3.96,0.34832,
403904,4.39,0.38498,
403905,3.17,0.61223,
403906,3.21,0.59394,
403907,3.25,0.5082,
403908,3.71,0.74275,
403909,3.27,0.61345,
403925,2.73,1.99414,
403926,2.37,1.69438,
403927,2.29,1.42997,
403928,2.54,1.73863,
403929,,2.52723,
403930,2.69,0.77532,
403931,2.29,0.72441,
403932,2.7,1.13425,
403933,2.41,1.48475,
403934,3.75,0.55753,
403935,2.98,1.61351,
403936,2.33,1.39609,
403937,3.17,2.51227,
403938,2.84,1.84739,
403939,2.9,1.52654,
403940,2.46,1.30161,
403941,2.66,1.19615,
403942,2.44,1.51585,
403943,2.64,1.30505,
403944,2.54,0.99147,
403945,2.47,1.57042,
403946,2.69,1.72522,
403947,2.82,1.63489,
403948,2.6,2.29639,
403949,2.62,2.15929,
403950,2.44,0.57797,
403951,2.72,0.77489,
403952,2.48,1.04625,
403953,2.22,1.18901,
403954,2.78,0.87752,
403967,2.897464,1.06486,
403968,2.354827,3.4723,
403969,2.697433,2.41137,
403970,,1.70571,
403971,,2.60996,
403972,,1.05103,
403973,2.057501,3.4717,
403974,,1.16673,
403975,,1.4342,
403977,3.45,0.6197,
403978,2.49,0.84697,
403979,,0.92,
403980,,1.31855,
403981,2.611518,2.42579,
403982,,1.67448,
403984,3.631152,3.04197,
403985,,2.38473,
403986,3.116613,0.67644,
403989,3.09,,
403990,2.14,1.28506,
403991,2.38,1.69783,
403992,2.64,1.6522,
403993,2.23,1.18165,
403994,2.56,1.29454,
403995,2.95,1.9269,
403996,2.3,2.1401,
403997,2.9,0.75371,
403998,2.47,2.69931,
403999,3.45,1.34305,
404000,2.65,1.73686,
404001,3.54,0.14846,
404002,2.59,0.12207,
404003,3.07,0.18923,
404004,2.81,0.14811,
404005,2.528856,2.29676,
404009,2.07,,
404014,,3.53486,
404016,,2.17717,
404019,,11.14698,
404020,3.186333,2.85041,
404021,,3.20148,404020 same species and location
404022,2.61,,
404024,1.95,,
404025,3.39,,
404027,1.82,,
404028,2.4,,
404029,3.36,,
404030,1.96,,
404031,2.18,,
404033,4.3,0.2133,
404035,2.37,0.76376,
404036,2.5,0.58627,
404037,2.14,1.14788,
404038,2.16,0.56094,
404039,2.21,0.47971,
404040,2.31,0.50809,
404041,2.19,0.603,
404043,2.37966,1.61166,
404044,2.64,0.95785,
404045,2.581208,1.3393,
404046,2.75,0.75168,
404047,2.470071,0.97575,
404054,2.26,,
404055,2.15,1.02843,
404056,2.19,1.4375,
404057,2.16,0.92941,
404058,2.18,0.99184,
404059,3,,
404060,2.37,,
404061,2.41,,
404062,2.75,,
404063,2.18,0.22746,
404064,2.27,,
404065,2.48,,
404066,2.48,,
404067,4.91,0.8914,
404068,2.16,0.53803,
404069,2.2,0.66331,
404070,2.5,,
404071,2.25,,
404072,2.49,1.51058,
404073,1.99,1.09851,
404074,3.01,,
404075,2.79,,
404076,2.7,0.75206,
404077,2.4,0.69589,
404078,2.06,,
404079,2.3,,
404080,2.62,0.79707,
404081,1.96,1.95253,
404082,2.7,0.70222,
404083,2.67,0.99815,
404084,2.45,,
404085,7.81,0.98807,
404086,1.83,0.75276,
404087,2.65,0.5705,
404088,3.926231,11.56734,
404090,,11.08737,
404094,,1.88576,
404095,3.143505,15.17946,
404096,,14.78181,
404097,,1.50011,
404098,2.590924,1.42253,
404099,,1.14143,
404105,3.26,3.22176,
404106,2.84,1.4246,
404107,2.86,1.06291,
404108,2.5,4.60639,
404109,2.05,4.84255,
404110,3.08,,
404111,3.22,,
404112,2.93,0.83682,
404113,2.24,4.5705,
404114,2.6,1.45376,
404115,2.49,5.53948,
404116,2.16,1.57867,
404117,2.64,0.43228,
404118,3.15,2.37876,
404119,2.62,,
404120,2.86,,
404154,,3.69649,
404155,3.834406,1.27079,
404161,2.415181,1.20399,
404194,3.745487,3.28635,
404195,3.716476,1.06177,
404196,4.512374,0.55026,
404197,,2.41021,
404198,,1.24763,
404199,,0.74811,
404202,,1.55426,
404203,,1.37603,
404204,,1.1571,
404205,2.813512,4.06308,
404206,,1.34696,
404222,,1.5571,
404240,,0.91063,
404241,,1.22271,
404250,,1.73333,
404251,,0.4934,
404252,2.575571,0.85928,
404253,2.626863,1.25873,
404299,,0.79106,
404300,,0.84724,
404302,6.252685,1.11148,
404303,3.480016,2.88485,
404304,5.865516,3.78289,
404306,16.34488,1.67535,
404307,27.99519,1.34184,
