SIN,KJ,moisture,ash,lipid_dry,protein_wet,protein_dry
403900,10.32,91.7,4.33,0.35,2.86,34.5
403901,12.5,92.49,3.2,0.66,3.19,42.51
403902,9.21,92.98,3.67,0.27,1.98,28.23
403903,9.2,92.75,3.96,0.35,2.12,29.25
403904,8.24,92.57,4.39,0.38,1.87,25.13
403905,13.2,92.02,3.17,0.61,3.32,41.56
403906,14.15,91.33,3.21,0.59,3.92,45.16
403907,14.04,91.39,3.25,0.51,3.85,44.76
403908,15.07,89.08,3.71,0.74,5.17,47.32
403909,15.13,90.72,3.27,0.61,4.21,45.33
403925,20.24,75.91,2.73,1.99,16.27,67.55
403926,19.89,79.24,2.37,1.69,14.69,70.76
403927,20.24,77.66,2.29,1.43,17.38,77.8
403928,19.93,77.24,2.54,1.74,15.44,67.82
403929,20.37,76.55,,2.53,15.5,66.11
403930,17.84,85.11,2.69,0.78,9.04,60.69
403931,19.02,84.7,2.29,0.72,10.14,66.27
403932,18.33,85.64,2.7,1.13,9.56,66.59
403933,19.42,81.65,2.41,1.48,12.8,69.74
403934,15.86,87.73,3.75,0.56,7.49,61.07
403935,17.95,80.53,2.98,1.61,12.34,63.38
403936,17.8,81.85,2.33,1.4,11.04,60.85
403937,20.59,79.21,3.17,2.51,12.38,59.56
403938,19.78,80.55,2.84,1.85,12.54,64.48
403939,19.16,77.16,2.9,1.53,15.93,69.74
403940,18.97,84.92,2.46,1.3,9.95,66
403941,18.13,86.28,2.66,1.2,8.5,61.95
403942,18.65,84.94,2.44,1.52,9.44,62.72
403943,18.27,85,2.64,1.31,9.47,63.12
403944,18.41,85.89,2.54,0.99,9.1,64.49
403945,19.56,80.83,2.47,1.57,13.15,68.58
403946,19.89,80.35,2.69,1.73,12.39,63.06
403947,19.83,79.55,2.82,1.63,14.47,70.74
403948,19.63,80.15,2.6,2.3,12.73,64.13
403949,16.89,77.53,2.62,2.16,14.87,66.19
403950,17.29,89.62,2.44,0.58,6.48,62.39
403951,18.18,89.84,2.72,0.77,6.49,63.84
403952,19.23,86.46,2.48,1.05,8.7,64.26
403953,17.11,86.36,2.22,1.19,9.62,70.56
403954,21.3,87.93,2.78,0.88,7.71,63.87
403955,19.87,76.96,,,15.93,69.13
403956,21.59,76.67,,,16.66,71.4
403957,19.63,76.38,,,16.33,69.13
403958,19.8,75.83,,,16.73,69.23
403959,19.21,78.15,,,14.64,67
403960,20.69,78.21,,,16.45,75.51
403961,17.72,79.23,,,15.16,72.98
403962,19.89,87.36,,,8.34,65.99
403963,20.48,80.51,,,15.47,79.39
403964,19.92,80.05,,,15.19,76.15
403965,16.35,84.8,,,9.03,59.39
403966,20.18,72.15,,,15.86,56.93
403967,22.78,73,,1.06,20.05,74.25
403968,20.73,69.74,,3.47,22.07,72.95
403969,21.99,78.04,,2.41,15.19,69.16
403970,19.95,77.22,,1.71,17.36,76.22
403971,20.15,74.82,,2.61,19.02,75.53
403972,20.46,76.35,,1.05,19.03,80.45
403973,17.1,73.68,,3.47,20.95,79.61
403974,19.61,72.91,,1.17,20.63,76.15
403975,20.84,78.01,,1.43,16.82,76.48
403976,20.27,79,,,17.21,81.93
403977,18.63,89.14,,0.62,7.14,65.77
403978,20.12,82.29,2.49,0.85,13.81,77.97
403979,19.47,85.63,,0.92,10.37,72.19
403980,17.56,80.42,,1.32,15.28,78.04
403981,20.46,81.56,,2.43,13,70.52
403982,9.49,76.85,,1.67,6.82,29.46
403983,,79.93,,,9.11,45.37
403984,20.5,73.81,,3.04,18.9,72.16
403985,9.1,67.72,,2.38,8.54,26.46
403986,19.05,85.44,,0.68,10.82,74.33
403987,19,88.23,,,6.27,53.27
403988,20.92,79.18,,,11.76,56.49
403989,20.79,85.47,3.09,,9.61,66.12
403990,20.82,83.18,2.14,1.29,10.73,63.81
403991,17.89,84.01,2.38,1.7,10,62.56
403992,20.02,82.87,2.64,1.65,10.62,61.97
403993,19.74,84.89,2.23,1.18,9.59,63.47
403994,19.99,81.72,2.56,1.29,13.03,71.29
403995,19.99,76.19,2.95,1.93,15.31,64.29
403996,19.91,80.34,2.3,2.14,12.22,62.18
403997,19.9,85.84,2.9,0.75,8.88,62.72
403998,20.51,80.64,2.47,2.7,12.8,66.13
403999,17.72,86.68,3.45,1.34,8.12,60.94
404000,21.66,81.49,2.65,1.74,13.87,74.94
404001,11.08,92.9,3.54,0.15,2.44,34.34
404002,12.38,94.24,2.59,0.12,2.45,42.56
404003,13.37,91.82,3.07,0.19,3.36,41.03
404004,11.82,92.98,2.81,0.15,3.42,48.72
404005,19.82,78.81,,2.3,13.02,61.43
404006,19.23,86.18,,,9.95,71.98
404007,20.36,86.82,,,7.88,59.79
404008,20.81,86.44,,,9.27,68.38
404009,20.94,84.66,2.07,,11.63,75.82
404010,24.53,85.15,,,9.55,64.29
404011,20.47,88.2,,,7.37,62.43
404012,20.25,85.73,,,8.71,61
404013,19.53,87.14,,,7.99,62.1
404014,15.96,77.72,,3.53,7.21,32.34
404015,21.59,73.62,,,5.99,22.69
404016,20.4,81.78,,2.18,10.31,56.58
404017,,75.6,,,7.41,30.39
404018,,75.61,,,10.07,41.28
404019,,73.28,,11.15,7.86,29.43
404020,20.74,83.99,,2.85,6.07,37.92
404021,21.27,85.63,,3.2,5.94,41.3
404022,22.55,83.25,2.61,,8.65,51.64
404023,18.21,86.1,,,9.81,70.6
404024,27.29,67.36,1.95,,13.09,40.1
404025,18.6,84.54,3.39,,9.48,61.35
404026,22.73,79.23,,,12.91,62.17
404027,27.11,66.79,1.82,,14.26,42.94
404028,23.29,78.68,2.4,,12.05,56.54
404029,18.66,81.89,3.36,,11.69,64.55
404030,26.59,71.87,1.96,,13.41,47.68
404031,22.64,80.96,2.18,,12.31,64.68
404032,18.33,83.66,,,10.4,63.64
404033,8.93,92.79,4.3,0.21,1.93,26.72
404035,19.24,84.07,2.37,0.76,10.17,63.81
404036,18.7,86.06,2.5,0.59,9.27,66.53
404037,20.15,83.03,2.14,1.15,10.39,61.25
404038,19.24,87.64,2.16,0.56,7.14,57.77
404039,18.93,87.18,2.21,0.48,6.98,54.48
404040,18.91,85.32,2.31,0.51,8.47,57.71
404041,19.06,85.32,2.19,0.6,9.08,61.84
404043,20.56,79.41,,1.61,13.26,64.39
404044,17.75,87.17,,0.96,8.12,63.27
404045,19.1,81.72,,1.34,12.14,66.35
404046,16.75,89.61,,0.75,6.12,58.87
404047,18.78,84.16,,0.98,10.22,64.51
404048,22.28,73.99,,,19.4,74.6
404049,18.89,78.91,,,16.1,76.36
404050,22.47,76.53,,,14.5,61.79
404051,18.94,77.6,,,14.59,65.13
404052,22.61,75.37,,,15.31,62.15
404053,20.24,72.58,,,18.52,67.55
404054,11.67,94.97,2.26,,1.7,33.84
404055,18.76,85.03,2.15,1.03,8.48,56.62
404056,19.54,82.79,2.19,1.44,11.17,64.9
404057,18.47,84.8,2.16,0.93,9.75,64.15
404058,19.39,79.6,2.18,0.99,13.1,64.22
404059,17.12,87.06,3,,6.84,52.86
404060,27.12,68.14,2.37,,12.84,40.3
404061,17.93,82.31,2.41,,10.39,58.74
404062,17.14,85.74,2.75,,8.47,59.38
