"","Season","Species","length.mean","length.sd","length.n","mass.mean","mass.sd","mass.n","edible.mean","edible.sd","edible.n","Kcal.mean","Kcal.sd","Kcal.n","protein.mean","protein.sd","protein.n","lipid.mean","lipid.sd","lipid.n","ash.mean","ash.sd","ash.n","moisture.mean","moisture.sd","moisture.n"
"1","Spring","apc",266,193.080294178355,5,305.14,349.752180979619,5,100,0,5,2.3647227529734,0.390134679037395,5,31.924,6.81273660139595,5,0.402,0.149899966644426,5,3.91,0.492696661243,5,92.498,0.484221023913667,5
"2","Spring","cam",71.9,63.2617578004279,5,65.112,139.252209210483,5,23.4039295505345,12.8097130467016,5,3.4739483742135,1.45353809895763,4,49.556,22.8007067872906,5,1.9425,1.01062274530773,4,NA,NA,0,76.75,6.62991327243426,5
"3","Spring","cao",29.25,0.353553390593274,2,1.695,0.615182899632296,2,23.4711628403951,9.77787428280382,2,4.3654397698665,0.647279868909574,2,58.16,1.73948268171891,2,NA,NA,0,NA,NA,0,78.475,8.94490078200982,2
"4","Spring","cap",139.5,13.9552857369529,5,136.108,32.916580472461,5,40.3479452969945,4.88731431381888,5,4.6003824084528,0.280510678476652,5,72.898,5.22326239049888,5,1.228,0.717753439559853,5,2.49,NA,1,83.808,3.55620162533004,5
"5","Spring","cef",62.4285714285714,10.1629579496185,7,3.44571428571429,1.80784270280775,7,14.86648925992,3.87760936493305,7,4.87776563703514,0.378202011652553,7,73.2957142857143,2.83884869353087,7,1.91285714285714,0.94974934036503,7,NA,NA,0,75.5414285714286,3.37211322749513,7
"6","Spring","cln",38.5,11.4455231422596,9,10.4233333333333,8.9341997403237,9,46.8127669291795,4.89318938883026,9,4.704164010306,0.28527108762381,9,67.63,4.92201432342491,9,1.878,0.330106043567821,5,2.545,0.259441708289165,6,82.5011111111111,3.51303445914086,9
"7","Spring","crs",148,NA,1,91.25,NA,1,34.3833603376163,NA,1,4.184990439111,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,82.75,NA,1
"8","Spring","evt",43.25,16.9768750279398,8,25.3825,30.1902679446776,8,15.0868621584722,5.0761829825808,8,5.61334846947863,0.456013455551718,8,NA,NA,0,NA,NA,0,NA,NA,0,77.19375,2.00753535816576,8
"9","Spring","hak",54.25,13.7885822331377,2,11.405,10.1186980387795,2,65.2601969057665,NA,1,4.5542543013855,0.0794312110672324,2,NA,NA,0,NA,NA,0,NA,NA,0,76.14,0.60811183182043,2
"10","Spring","mtr",31.1111111111111,6.87739857148843,9,1.04444444444444,0.553468858905158,9,33.5777440560062,5.85912414435108,9,NA,NA,0,64.1711111111111,3.31826929454363,9,NA,NA,0,NA,NA,0,79.7588888888889,1.36198792619873,9
"11","Spring","nul",28.1666666666667,2.2286019533929,6,0.766666666666667,0.150155474980657,6,23.517525359013,1.62563329604778,6,4.784894836722,0.218530199787022,5,68.675,1.85895400696198,6,NA,NA,0,NA,NA,0,76.7916666666667,0.77246143377302,6
"12","Spring","pab",143,7.07106781186548,2,397.32,71.7006276123159,2,50.1645921442333,1.68832089341784,2,4.483747609236,0.0608409276259663,2,NA,NA,0,NA,NA,0,NA,NA,0,79.745,0.0353553390593254,2
