"","Season","PreyCat","length.mean","length.sd","length.n","mass.mean","mass.sd","mass.n","edible.mean","edible.sd","edible.n","Kcal.mean","Kcal.sd","Kcal.n","protein.mean","protein.sd","protein.n","lipid.mean","lipid.sd","lipid.n","ash.mean","ash.sd","ash.n","moisture.mean","moisture.sd","moisture.n"
"1","Spring","Abalone",54.25,13.7885822331377,2,11.405,10.1186980387795,2,65.2601969057665,NA,1,4.5542543013855,0.0794312110672324,2,NA,NA,0,NA,NA,0,NA,NA,0,76.14,0.60811183182043,2
"2","Spring","Carn Snail",46.6153846153846,19.2290512053094,13,2.20923076923077,1.89100265088154,13,18.8592751518091,5.36361731634979,13,4.839069470238,0.312526154605944,12,71.1630769230769,3.34929192669979,13,1.91285714285714,0.94974934036503,7,NA,NA,0,76.1184615384615,2.5209186359799,13
"3","Spring","Chiton",148,NA,1,91.25,NA,1,34.3833603376163,NA,1,4.184990439111,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,82.75,NA,1
"4","Spring","Clam",53.1805555555556,28.0375138437716,36,37.7283333333333,90.7442621090407,36,42.0903981536986,7.22380486551849,36,4.7446622044785,0.2916594743809,36,65.3811764705882,4.68566528681207,34,1.7632,0.432827140245772,25,2.60875,0.306087689907718,24,81.645,3.52485176993303,36
"5","Spring","Crab",79.3157894736842,49.9817218052748,19,61.1105263157895,84.9615922032279,19,31.1420532851591,11.0425052032745,19,4.339547481789,0.822060792888025,18,63.7678947368421,15.7777700786572,19,1.71636363636364,1.03227198670963,11,2.49,NA,1,79.7042105263158,5.68438242105261,19
"6","Spring","Cucumber",266,193.080294178355,5,305.14,349.752180979619,5,100,0,5,2.3647227529734,0.390134679037395,5,31.924,6.81273660139595,5,0.402,0.149899966644426,5,3.91,0.492696661243,5,92.498,0.484221023913667,5
"7","Spring","Herb Snail",23.6,1.81659021245849,5,1.156,0.949331343630874,5,19.7452665213172,12.779054629679,5,4.6978967487816,0.357721411040966,5,78.924,2.52505049454461,5,1.78,1.13777560763682,4,NA,NA,0,75.99,2.65012263867165,5
"8","Spring","Mussel",31.1111111111111,6.87739857148843,9,1.04444444444444,0.553468858905158,9,33.5777440560062,5.85912414435108,9,NA,NA,0,64.1711111111111,3.31826929454363,9,NA,NA,0,NA,NA,0,79.7588888888889,1.36198792619873,9
"9","Spring","Star",52.2857142857143,20.7528629032555,14,35.8557142857143,33.843463342114,14,16.9980082612107,5.96722446908201,14,5.78718246289564,0.434686886550846,14,46.87,NA,1,NA,NA,0,NA,NA,0,76.0585714285714,2.44695055793268,14
"10","Spring","Urchin",38.125,12.1471631020815,8,1.4225,1.72581864632411,8,4.86789050521675,2.36661638279028,8,4.835086041303,0.576516813278089,5,33.6214285714286,6.89492912356955,7,5.1825,3.98801015545347,4,NA,NA,0,77.52375,4.7196154126006,8
