Species,n,a,b,x.1a,x.1b,x.1c,x.2a,x.2b,x.2c,x.3a,x.3b,x.3c,x.4
apc,18,0.13165684411374354,1.4084511214611475,4.879532381487475,12.952817287011342,26.567864857967137,42.75407869906144,60.86480089687139,80.70474246520313,102.20637407580908,124.97677853132558,149.02222072400568,182.35670035638097
cam,24,3.8892217092575894e-4,2.6189528813799803,0.32153470346327795,1.9752006871963714,7.5118583995677355,18.194907909223392,35.0888643758891,59.29441053008941,91.99299399159649,133.7151866454355,185.47421110694134,269.962431249097
cao,15,1.2688910652663413e-5,3.5265236537343383,0.10759000314148796,1.2398276581395986,7.490962360639803,24.65366199852892,59.69537859048693,120.98799129420368,218.56598021856803,361.65591617465833,561.8787559671472,931.4407176230171
cap,16,4.8201826598730116e-4,2.538679735022798,0.3243462719677977,1.8846367701109379,6.879900465220858,16.21841801636527,30.653898895384312,50.9737443668801,78.02632629001006,112.1214344957581,153.9699153069482,221.54347971622306
cef,27,2.3389006501150998e-4,2.304898136288321,0.08640477254080663,0.4269541185152433,1.3834060701686894,3.013561544709124,5.371518774603699,8.523526442905837,12.545482948799611,17.435558668242862,23.25403088238666,32.35708103557893
chr,6,0.003963261967969436,1.9364504306568258,0.5690479512041877,2.1781035797644304,5.8483111621470405,11.248880120625387,18.28101007384279,26.94437284825281,37.282217062573075,49.15857608227124,62.613779949049345,82.64309136171568
cln,37,9.190934416377443e-5,3.1084427038496525,0.2666789601960642,2.299975695708094,11.227641277074092,32.084815293978565,69.95638027337395,130.39368363233982,219.60771482035958,342.3193564020579,504.77016323038134,788.1018429557822
cum,5,0.016113308672310978,1.6602375723762135,1.1391878219888039,3.600614639211043,8.397372507905983,14.713012035601777,22.310601367006235,31.113518003766103,41.10227946017153,52.09942210341513,64.10861455844581,81.33169609904849
eul,6,3.968112960144494e-4,2.797144916040234,0.518137483354852,3.6013848502436194,14.99953605109809,38.58524021171334,77.8120442848783,136.26793418831082,217.82743452296074,324.7804860418118,460.6396493943801,687.8169715532963
evt,23,1.6756852565041015e-4,3.0203807998248293,0.3879051646651497,3.1473915971793245,14.689569551150168,40.74753425588735,86.90377817162246,159.15000137166743,264.10951474109885,406.5428821798655,592.9122117115995,914.1080755394138
hak,5,6.367768022255991e-9,5.271716567980697,0.004746580599435167,0.1833688981798792,2.6982835777637906,16.012258778805013,60.0583918092282,172.66490242189914,417.97329813265685,887.3550552200513,1714.5003454052267,3649.9067294457523
kat,26,1.731934750288264e-5,3.0695406082372223,0.04548056815410776,0.38181209108011593,1.8272483522466048,5.1534922299169805,11.127375498415145,20.57962951764032,34.4346213290988,53.378515261678004,78.32815635941199,121.61441776667307
lid,12,1.578940748764983e-4,2.380712227672188,0.07085074035632426,0.36898625131897195,1.2427179697357924,2.777313812773706,5.0454346977609035,8.128614006873596,12.117309204807418,17.02380439056126,22.920950564821702,32.242065307957695
mac,14,1.6499673630152147e-5,3.3267359098204032,0.08380514954989067,0.8408489804421059,4.588158417454446,14.11475052106928,32.50681452782586,63.298697733060415,110.58197177219819,177.83064972421712,269.4717802294536,434.1000896785208
man,32,6.795164961410408e-6,3.5425013558070964,0.060026889585804516,0.6994312106311217,4.2605002571014445,14.097703101199329,34.2726510838787,69.68499737783932,126.2243836898848,209.33757836379093,325.8826015100373,541.462435383394
map,15,6.860219082327883,-1.1101771842994639,0.39779882030681113,0.18427518585571412,0.10460355880716486,0.0718923342920466,0.05442240460231492,0.04357066629115536,0.036169197223426416,0.030866423214137847,0.026868830567753823,0.022916299099040287
mtr,83,1.8217379685478446e-4,2.582384666735361,0.13712484275620912,0.8212802660397146,3.065682401377306,7.334407634654694,14.015287143517881,23.5106735143787,36.25290125122064,52.420457785856684,72.38014316331292,104.80041549380411
nul,36,0.0014490795628205352,1.8852322816082183,0.1824459381798828,0.6739779132280352,1.7629989029860549,3.332860344763225,5.347244669901639,7.800852315433673,10.701519257247277,14.007688668421071,17.727930596243016,23.227717769394186
