Species,Size.mm,weight.g
Pandalus platyceros,150,45
Pandalus platyceros,200,109
Pandalus platyceros,170,84
Pandalus platyceros,150,57
Pandalus platyceros,140,37
Pandalus hypsinotis,130,20
Pandalus platyceros,170,46
Pandalus platyceros,150,29
Pandalus hypsinotis,125,33
Pandalus platyceros,145,29
Pandalus hypsinotis,105,16
Pandalus hypsinotis,110,19
Pandalus platyceros,90,11
Pandalus hypsinotis,130,28
Lebbeus groenlandicus,65,15
Pandalus platyceros,105,15
Pandalus platyceros,150,25
Pandalus platyceros,100,10
Pandalus platyceros,110,14
Pandalus platyceros,105,7
