SIN,ID,Date Collected,Size mm,Species,Frozen Weight,Live Weight,Date Dissected,Dissected Weight,Notes,SEX,Site location,Season,site number,Dried,Ash,Bomb,SI,SPV,Tissue
403900,18-022,5/17/18,470,apc,,731.97,,,ca cuc 1,,Soda Bay,Spring,9,FM135AIPan,y,l,ptn,y,whole
403901,18-023,5/17/18,460,apc,,633.49,,,ca cuc 2,,Soda Bay,Spring,9,FM135AIPan,y,l,ptn,y,whole
403902,18-024,5/17/18,240,apc,,131.77,,,ca cuc 3,,Soda Bay,Spring,9,FM135AIPan,y,l,ptn,y,whole
403903,18-029,5/17/18,80,apc,,14.54,,,small ca cuc 4,,Soda Bay,Spring,8,FM135AIPan,y,l,ptn,y,whole
403904,18-030,5/17/18,80,apc,,13.93,,,small ca cuc 5,,Soda Bay,Spring,8,FM135AIPan,y,l,ptn,y,whole
403905,18-454,8/10/18,220,apc,260.48,,,,"Soda Bay, no length, est based on mass",,Soda Bay,Summer,9,FM135AIPan,y,l,ptn,y,whole
403906,18-455,8/10/18,200,apc,227.94,,,,"Soda Bay, no length, est based on mass",,Soda Bay,Summer,9,FM135AIPan,y,l,ptn,y,whole
403907,18-456,8/10/18,270,apc,381.36,,,,"Soda Bay, no length, est based on mass",,Soda Bay,Summer,9,FM135AIPan,y,l,ptn,y,whole
403908,18-457,8/10/18,230,apc,291.61,,,,"Soda Bay, no length, est based on mass",,Soda Bay,Summer,9,FM135AIPan,y,l,ptn,y,whole
403909,18-458,8/10/18,230,apc,285.99,,,,"Soda Bay, no length, est based on mass",,Soda Bay,Summer,9,FM135AIPan,y,l,ptn,y,whole
403925,18-001,5/3/18,85,sag,,177.06,5/3/18,51.82,,,Craig,Spring,2,FM135AIPan,y,l,cn,y,whole
403926,18-002,5/3/18,81,sag,,153.86,5/3/18,43.96,,,Craig,Spring,2,FM135AIPan,y,l,cn,y,whole
403927,18-003,5/3/18,62,sag,,56.73,5/3/18,22.77,,,Craig,Spring,2,FM135AIPan,y,l,cn,y,whole
403928,18-004,5/3/18,60,sag,,54.29,5/3/18,20.61,,,Craig,Spring,2,FM135AIPan,y,l,cn,y,whole
403929,18-005,5/3/18,23,sag,,3.4,5/3/18,1.57,,,Craig,Spring,2,FM135AI<0.5g,,s,cn,y,whole
403930,18-278,8/8/18,64.5,sag,79.99,,8/9/18,42.37,S. Wadleigh,,Craig,Summer,2,FM135AIPan,y,l,cn,y,whole
403931,18-279,8/8/18,55.5,sag,61.37,,8/9/18,23.51,S. Wadleigh,,Craig,Summer,2,FM135AIPan,y,l,cn,y,whole
403932,18-280,8/8/18,67,sag,96,,8/9/18,48.24,S. Wadleigh,,Craig,Summer,2,FM135AIPan,y,l,cn,y,whole
403933,18-281,8/8/18,51,sag,39.88,,8/9/18,18.73,S. Wadleigh,,Craig,Summer,2,FM135AIPan,y,l,cn,y,whole
403934,18-282,8/8/18,73.5,sag,124.09,,8/9/18,57.08,S. Wadleigh,,Craig,Summer,2,FM135AIPan,y,l,cn,y,whole
403935,18-007,5/3/18,42,prs,,24.08,5/3/18,7.22,,,Craig,Spring,2,FM135AIPan,y,l,cn,y,whole
403936,18-008,5/3/18,45,prs,,27.29,5/3/18,10.45,,,Craig,Spring,2,FM135AIPan,y,l,cn,y,whole
403937,18-009,5/3/18,52,prs,,34.57,5/3/18,8.43,,,Craig,Spring,2,FM135AIPan,y,l,cn,y,whole
403938,18-010,5/3/18,39,prs,,17.71,5/3/18,6.47,,,Craig,Spring,2,FM135AIPan,y,l,cn,y,whole
403939,18-011,5/3/18,47.5,prs,,31.61,5/3/18,9.98,,,Craig,Spring,2,FM135AIPan,y,l,cn,y,whole
403940,18-295,8/8/18,53,prs,49.29,,8/9/18,19.85,S. Wadleigh,,Craig,Summer,2,FM135AIPan,y,l,cn,y,whole
403941,18-296,8/8/18,58,prs,62.42,,8/9/18,22.28,S. Wadleigh,,Craig,Summer,2,FM135AIPan,y,l,cn,y,whole
403942,18-297,8/8/18,55.5,prs,52.52,,8/9/18,20.93,S. Wadleigh,,Craig,Summer,2,FM135AIPan,y,l,cn,y,whole
403943,18-298,8/8/18,60,prs,84.15,,8/9/18,31.6,S. Wadleigh,,Craig,Summer,2,FM135AIPan,y,l,cn,y,whole
403944,18-299,8/8/18,54,prs,51.32,,8/9/18,19.57,S. Wadleigh,,Craig,Summer,2,FM135AIPan,y,l,cn,y,whole
403945,18-012,5/3/18,50,cln,,42.32,5/3/18,16.04,,,Craig,Spring,2,FM135AIPan,y,l,cn,y,whole
403946,18-013,5/3/18,42,cln,,22.19,5/3/18,10.86,,,Craig,Spring,2,FM135AIPan,y,l,cn,y,whole
403947,18-014,5/3/18,52,cln,,47.14,5/3/18,22.27,,,Craig,Spring,2,FM135AIPan,y,l,cn,y,whole
403948,18-015,5/3/18,54.5,cln,,49.03,5/3/18,25.68,,,Craig,Spring,2,FM135AIPan,y,l,cn,y,whole
403949,18-016,5/3/18,30,cln,,9.99,5/3/18,3.96,,,Craig,Spring,2,FM135AIPan,y,l,cn,y,whole
403950,18-285,8/8/18,44,cln,26.4,,8/9/18,12.44,S. Wadleigh,,Craig,Summer,2,FM135AIPan,y,l,cn,y,whole
403951,18-286,8/8/18,59,cln,56.31,,8/9/18,27.31,S. Wadleigh,,Craig,Summer,2,FM135AIPan,y,l,cn,y,whole
403952,18-287,8/8/18,59.5,cln,65.15,,8/9/18,33.23,S. Wadleigh,,Craig,Summer,2,FM135AIPan,y,l,cn,y,whole
403953,18-288,8/8/18,56.5,cln,46.08,,8/9/18,19.41,S. Wadleigh,,Craig,Summer,2,FM135AIPan,y,l,cn,y,whole
403954,18-289,8/8/18,46.5,cln,27.61,,8/9/18,12.28,S. Wadleigh,,Craig,Summer,2,FM135AIPan,y,l,cn,y,whole
403955,18-136,5/3/18,27,nul,2.88,,5/26/18,0.68,Wadleigh,,Craig,Spring,2,FM135<0.5g,,s,ptn,,whole
403956,18-137,5/3/18,29,nul,4.02,,5/26/18,0.94,Wadleigh,,Craig,Spring,2,FM135<0.5g,,s,ptn,,whole
403957,18-138,5/3/18,30,nul,3.47,,5/26/18,0.77,Wadleigh,,Craig,Spring,2,FM135<0.5g,,s,ptn,,whole
403958,18-139,5/3/18,25,nul,2.51,,5/26/18,0.54,Wadleigh,,Craig,Spring,2,FM135<0.5g,,s,ptn,,whole
403959,18-140,5/3/18,27,nul,2.87,,5/26/18,0.75,Wadleigh,,Craig,Spring,2,FM135<0.5g,,s,ptn,,whole
403960,18-464,5/7/18,55,tec,44.08,,6-Sep,12.18,Nossuk,m,Nossuk,Spring,4,FM135,,l,cn,,whole
403961,18-465,5/7/18,52,tec,41.61,,6-Sep,16.4,Nossuk,m,Nossuk,Spring,4,FM135,,l,cn,,whole
403962,18-466,5/7/18,57,tec,40.98,,6-Sep,16.29,Nossuk,m,Nossuk,Spring,4,FM135,,l,cn,,whole
403963,18-467,5/7/18,59,tec,50.67,,6-Sep,14.1,Nossuk,m,Nossuk,Spring,4,FM135,,l,cn,,whole
403964,18-468,5/7/18,66,tec,84.92,,6-Sep,37.95,Nossuk,m,Nossuk,Spring,4,FM135,,l,cn,,whole
403965,18-271,5/13/18,29.5,cao,7.01,,8/8/18,2.13,San Alberto,f/gravid,Craig,Spring,5,FM135,,s,cn,,whole
403966,18-272,5/13/18,29,cao,7.61,,8/8/18,1.26,San Alberto,f/gravid,Craig,Spring,5,FM135<0.5g,,s,ptn,,whole
403967,18-043,5/13/18,64,cef,23.67,,5/20/18,3.49,,,Craig,Spring,5,FM135,p,l,cn,y,whole
403968,18-044,5/13/18,67,cef,29.21,,5/20/18,5.77,,,Craig,Spring,5,FM135,p,l,cn,y,whole
403969,18-045,5/13/18,69,cef,29.23,,5/20/18,5.72,,,Craig,Spring,5,FM135,p,l,cn,y,whole
403970,18-046,5/13/18,53,cef,11.37,,5/20/18,1.54,,,Craig,Spring,5,FM135,,l,cn,y,whole
403971,18-047,5/13/18,45,cef,8.03,,5/20/18,1.27,,,Craig,Spring,5,FM135,,s,cn,y,whole
403972,18-061,5/13/18,24,tes,5.44,,5/20/18,1,listed as tef on bag,,Craig,Spring,5,FM135<0.5g,,s,ptn,y,whole
403973,18-062,5/13/18,26,tes,7.53,,5/20/18,2.68,listed as tef on bag,,Craig,Spring,5,FM135,p,l,cn,y,whole
403974,18-063,5/13/18,23,tes,6.65,,5/20/18,0.36,listed as tef on bag,,Craig,Spring,5,FM135<0.5g,,s,ptn,y,whole
403975,18-064,5/13/18,24,tes,4.57,,5/20/18,1.35,listed as tef on bag,,Craig,Spring,5,FM135,,s,cn,y,whole
403976,18-065,5/13/18,21,tes,3.98,,5/20/18,0.39,listed as tef on bag,,Craig,Spring,5,FM135<0.5g,,s,ptn,,whole
403977,18-180,5/15/18,143,cap,310.54,355.97,9/10/18,149.95,"RRC1, dissected weight when frozen. ",m,Soda Bay,Spring,6,FM135,y,l,cn,y,whole
403978,18-181,5/15/18,160,cap,487.46,550.01,9/10/18,170.4,RRC2 ,m,Soda Bay,Spring,6,FM135AlPan,y,l,cn,y,whole
403979,18-182,5/15/18,138,cap,295.31,372.8,9/10/18,113.94,"RRC3, dissected weight after homoginized",m,Soda Bay,Spring,6,FM135,,l,cn,y,whole
403980,18-257,5/15/18,135,cap,391.19,,8/8/18,155.82,"North Pass, RRC4",m,Soda Bay,Spring,6,FM135,,l,cn,y,whole
403981,18-275,5/15/18,121.5,cap,225.62,,8/8/18,90.43,RRC5 North Pass,m,Soda Bay,Spring,6,FM135,p,l,cn,y,whole
403982,18-245,5/15/18,43,cam,13.21,,8/8/18,1.97,Soda Bay,m,Soda Bay,Spring,6,FM135<0.5g,,s,ptn,y,whole
403983,18-246,5/15/18,43.5,cam,13.31,,8/8/18,1.23,Soda Bay,f,Soda Bay,Spring,6,FM135<0.5g,,,ptn,y,whole
403984,18-247,5/15/18,47,cam,21.59,,8/8/18,5.14,Soda Bay,m,Soda Bay,Spring,6,FM135,p,l,cn,y,whole
403985,18-248,5/15/18,41,cam,11.49,,8/8/18,3.02,Soda Bay,m,Soda Bay,Spring,6,FM135<0.5g,,s,ptn,y,whole
403986,18-503,5/15/18,185,cam,734.55,757.95,12/20/18,314.2,N Pass pot,m,Soda Bay,Spring,6,FM135,p,l,cn,y,whole
403987,18-345,8/8/18,32.5,cao,10.11,,8/9/18,3.2,Alberto Is.,f,Craig,Summer,5,FM135<0.5g,,s,cn,,whole
403988,18-346,8/8/18,31.5,cao,11.23,,8/9/18,2.29,Alberto Is.,m,Craig,Summer,5,FM135<0.5g,,l,cn,,whole
403989,18-115,5/2/18,75,sag,93.56,,5/20/18,47.63,,,Nossuk,Spring,1,FM135AlPan,y,l,cn,,whole
403990,18-168,5/17/18,51,prs,34.66,,5/26/18,15.7,,,Soda Bay,Spring,8,FM135AlPan,y,l,cn,y,whole
403991,18-169,5/17/18,68,prs,90.83,,5/26/18,35.9,,,Soda Bay,Spring,8,FM135AlPan,y,l,cn,y,whole
403992,18-170,5/17/18,56,prs,41.55,,5/26/18,18.42,,,Soda Bay,Spring,8,FM135AlPan,y,l,cn,y,whole
403993,18-171,5/17/18,45,prs,20.8,,5/26/18,8.2,,,Soda Bay,Spring,8,FM135AlPan,y,l,cn,y,whole
