"","Species","Season","n","mean.moist","sd.moist","mean.kcald","sd.kcald","mean.kcalw","sd.kcalw","mean.lipid","sd.lipid","mean.protein","sd.protein"
"1","apc","Spring",5,92.498,0.484221023913667,2.3647227529734,0.390134679037395,0.177872084101986,0.0345086023083377,5.35865817798511,1.98086949952242,31.924,6.81273660139595
"2","apc","Summer",5,90.908,1.12070067368589,3.4220841294798,0.19196044431118,0.312558173946917,0.0540408702074499,6.74447256664302,0.61595635675098,44.826,2.07706042280912
"3","apc","Winter",5,92.946,0.86167279172549,2.7523900569276,0.399105945326195,0.194409703602248,0.0411095861487718,2.31362425439097,0.347699019130937,38.674,8.41509833572965
"4","cam","Spring",5,76.75,6.62991327243426,3.4739483742135,1.45353809895763,0.793322478364456,0.335297477951147,7.71615567654981,2.87457787090473,49.556,22.8007067872906
"5","cam","Summer",8,83.12,4.44137687788692,4.63641252316988,0.381762969508291,0.794901111251397,0.254069223152182,11.1023313848097,2.6816104956961,64.845,6.23537603402668
"6","cam","Winter",4,76.18,7.21822692910108,5.11173518083875,0.601916147522607,1.24985725362711,0.468687243474697,14.4119358544458,5.38013646614644,68.9725,1.15144474465777
"7","cao","Spring",2,78.475,8.94490078200982,4.3654397698665,0.647279868909574,0.968610181491707,0.529811247895742,NA,NA,58.16,1.73948268171891
"8","cao","Summer",2,83.705,6.39931636973825,4.770554492556,0.324484947338481,0.787744263738184,0.358157696738226,NA,NA,54.88,2.27688383542068
"9","cap","Spring",5,83.808,3.55620162533004,4.6003824084528,0.280510678476652,0.745477103132991,0.170292530345108,7.36604926013064,3.33275011623541,72.898,5.22326239049888
"10","cap","Summer",4,84.765,8.6485933345641,4.7335086034605,0.638327303792802,0.75445070494802,0.520952694837018,13.0837060690553,7.3397886067592,62.665,5.66292327336332
"11","cap","Winter",1,75.83,NA,4.882887188523,NA,1.18019383346601,NA,9.84691766652875,NA,66.89,NA
"12","cef","Spring",7,75.5414285714286,3.37211322749513,4.87776563703514,0.378202011652553,1.19792829809037,0.220574695702301,7.69488718050021,3.24465316902801,73.2957142857143,2.83884869353087
"13","cef","Summer",3,76.79,5.89254613897931,4.682122370199,0.161342149417572,1.09302031531531,0.318059331662542,4.87962107090712,1.12344283609475,73.4266666666667,3.10760894150685
"14","cef","Winter",4,74.94,2.70926804383275,4.72215583099575,0.346870669715663,1.1903497249558,0.222178704152948,6.64671445688337,5.022583552953,68.905,3.14990476046499
"15","chr","Summer",3,79.26,0.739121099685301,5.163320585547,0.154197294070965,1.07133349250165,0.0622692789579551,NA,NA,NA,NA
"16","chr","Winter",1,77.58,NA,4.760994263112,NA,1.06741491378971,NA,NA,NA,NA,NA
"17","cln","Spring",9,82.5011111111111,3.51303445914086,4.704164010306,0.28527108762381,0.81740163573266,0.137385359750349,9.23286605341227,1.46207861570837,67.63,4.92201432342491
"18","cln","Summer",9,87.73,1.82653360220939,4.275812618829,0.372281644149118,0.52528927652652,0.0921660848670135,7.0828881288137,1.2638693326969,60.8488888888889,5.65464067037961
"19","cln","Winter",4,85.1325,1.95073276830358,4.57158221725275,0.182098479222671,0.682218749892482,0.115752328345974,5.33058035217152,1.10381596140419,63.37,2.37093511790883
"20","crg","Summer",2,82.445,2.75064537881567,4.8291108979005,0.00845012883694016,0.847866634665611,0.134315135868309,NA,NA,NA,NA
"21","crs","Spring",1,82.75,NA,4.184990439111,NA,0.721910850746648,NA,NA,NA,NA,NA
"22","crs","Summer",2,78.575,3.21733585439879,4.457456978265,0.216323298225654,0.958490081110892,0.189758628200967,NA,NA,NA,NA
"23","evt","Spring",8,77.19375,2.00753535816576,5.61334846947863,0.456013455551718,1.28375495916671,0.176013617933817,NA,NA,NA,NA
