"","Species","n","mean.moist","sd.moist","mean.kcald","sd.kcald","mean.kcalw","sd.kcalw","mean.lipid","sd.lipid","mean.protein","sd.protein"
"1","apc",15,92.1173333333333,1.20718365667879,2.8463989797936,0.551275989047672,0.22827998721705,0.0742389276366238,4.80558499967303,2.22119304704842,38.4746666666667,8.02948927985075
"2","cam",17,79.6135294117647,6.40668785447722,4.464627150348,0.975782885430439,0.908245488623591,0.371531403067493,11.0804538880601,4.27204097490417,61.3194117647059,14.5370911251995
"3","cao",4,81.09,7.03124929629626,4.56799713121125,0.47901971020152,0.878177222614945,0.383705344561205,NA,NA,56.52,2.51451784642702
"4","cap",10,83.393,6.15151661516627,4.6818833644629,0.424448063948375,0.792538216892304,0.349177854682508,9.90119882434032,5.56474673661609,68.204,6.99168426696235
"5","cef",14,75.6371428571429,3.5700343212559,4.79138213527329,0.325630502237526,1.17328270945726,0.226524902357212,6.79213795026831,3.48769680442614,72.0692857142857,3.43669891764604
"6","chr",4,78.84,1.03431136511208,5.06273900493825,0.237313760867105,1.07035384782366,0.0508803912728289,NA,NA,NA,NA
"7","cln",22,85.1186363636364,3.51780409787067,4.50482356960118,0.359015572447237,0.673322418631934,0.175053823727956,7.33226536324197,1.97582303784885,64.0813636363636,5.67313241386814
"8","crg",2,82.445,2.75064537881567,4.8291108979005,0.00845012883694016,0.847866634665611,0.134315135868309,NA,NA,NA,NA
"9","crs",3,79.9666666666667,3.31448839692242,4.366634798547,0.219417159000381,0.879630337656144,0.191469960833554,NA,NA,NA,NA
"10","evt",23,77.1413043478261,3.37968032962214,5.61621913620026,0.376597407212728,1.2902334772262,0.241933884112907,NA,NA,51.785,5.56493036793813
"11","hak",5,75.508,3.43213053364816,4.603250477286,0.107725058202305,1.12866864226954,0.174055933396926,NA,NA,NA,NA
"12","lid",2,74.93,2.03646752981726,4.5972753338835,0.140272138693197,1.15396522448353,0.12878824460122,NA,NA,NA,NA
"13","map",6,77.17,6.00021999596682,NA,NA,NA,NA,NA,NA,78.185,2.12258097607606
"14","mtr",30,82.084,2.04920270450191,4.6132887182022,0.136327814089106,0.788787404273393,0.0981193130993278,NA,NA,61.2358620689655,6.00312211462941
"15","nul",17,76.4905882352941,2.06254536491999,4.90758444792,0.331914322655818,1.15477652945472,0.144996287621991,NA,NA,67.9117647058823,4.14949881807146
"16","pab",2,79.745,0.0353553390593254,4.483747609236,0.0608409276259663,0.908193833508876,0.013908574060449,NA,NA,NA,NA
"17","pas",5,74.942,1.4707039130974,4.954588909353,0.220747385076603,1.24028150076055,0.0653217729944804,NA,NA,NA,NA
"18","pio",17,73.3941176470588,3.1999200357656,5.96727027236965,0.280207807198544,1.59155044401866,0.236342835865598,NA,NA,46.5275,3.36735677745419
"19","pom",3,77.48,0.47791212581394,4.993626512916,0.176869627644158,1.12503903742626,0.061472767054643,NA,NA,NA,NA
"20","prs",33,85.1230303030303,3.20463676261492,4.50721362696218,0.382299207426789,0.67530569547269,0.170323710882857,7.089560689386,2.33762206382447,60.8984848484848,4.68631193024704
"21","pup",5,79.288,5.65478293128923,4.2418738043028,0.485356451963467,0.895044693931599,0.318663339391464,8.8044182698595,4.88124060860117,51.006,6.81321363234707
"22","sag",31,82.6964516129032,3.779634504717,4.54457842400468,0.289520595034734,0.793995844259002,0.210007897121998,7.46243820940289,2.0287007358996,63.51,5.28509350279949
"23","std",18,83.2755555555556,6.67912923368469,4.1991714461196,0.803044775651666,0.649158508501899,0.330172872405004,23.1075179307628,25.9841293263111,35.4482352941176,6.44591366224963
"24","stf",13,85.85,10.8671024963726,3.69003128744209,1.05834344500464,0.381080262411696,0.211662731208167,48.4529431841234,72.9587308147972,30.22,16.2282475388385
"25","tec",8,82.58625,3.95293358514552,4.65314292469688,0.332770046355557,0.815577288351389,0.208387977415804,NA,NA,69.51625,7.77767122234266
"26","tes",9,75.6233333333333,2.00446376869227,4.708147439241,0.256492924167344,1.14497870175284,0.0788258139437657,6.39591740501506,2.86850120560652,76.9977777777778,3.15485252340651
